
[00:00:00.000 --> 00:00:10.560]   He's a giant among giants, a true American hero, and our group's now namesake.
[00:00:10.560 --> 00:00:18.000]   He's a visionary who founded our beloved Vanguard and is considered the father of indexing.
[00:00:18.000 --> 00:00:24.120]   His life's work has been to ensure that investors get, that we investors get our fair share.
[00:00:24.120 --> 00:00:29.080]   As we send the dedication to our Bondman's Guide to Investing, while some mutual fund
[00:00:29.080 --> 00:00:32.840]   founders chose to make billions, he chose to make a difference.
[00:00:32.840 --> 00:00:36.680]   Please welcome our friend and mentor, Mr. Jack Brogan.
[00:00:36.680 --> 00:00:49.080]   [Applause]
[00:00:49.080 --> 00:00:50.520]   Well, good morning.
[00:00:50.520 --> 00:00:52.200]   Good morning.
[00:00:52.200 --> 00:00:57.080]   I don't know how many people get a welcome like that and walk into a big crowded room.
[00:00:57.080 --> 00:00:59.320]   Thank you so very much.
[00:00:59.320 --> 00:01:07.160]   It's wonderful to be with you, and thank you also, not just for being here, not just for
[00:01:07.160 --> 00:01:14.520]   being with you, but for all you do for helping other investors and obviously helping Vanguard
[00:01:14.520 --> 00:01:16.520]   throughout the year.
[00:01:16.520 --> 00:01:20.840]   I don't get a chance, really don't have the time to read everything that appears on your
[00:01:20.840 --> 00:01:34.520]   site, it's gotten so popular, and so, yes.
[00:01:34.520 --> 00:01:44.760]   And we've been very busy trying to do this presentation, because as some of you know,
[00:01:44.760 --> 00:01:52.200]   my wife got a knee on a Monday morning, and she insisted on coming home yesterday.
[00:01:52.200 --> 00:01:58.520]   So, my days have been quite filled with being a caregiver for our family, instead of a care
[00:01:58.520 --> 00:01:59.720]   recipient.
[00:01:59.720 --> 00:02:06.440]   So now I have a little bit more than what I offered in the last, well, 50 years.
[00:02:06.440 --> 00:02:09.400]   [Laughter]
[00:02:09.400 --> 00:02:15.880]   In fact, I had my first heart attack in 1960, so that's 50 years ago.
[00:02:15.880 --> 00:02:20.920]   So it's sort of amazing, I don't know how many I've had since then, maybe seven or eight.
[00:02:20.920 --> 00:02:29.400]   And then I got my heart transplant 15 years ago, it was February 31st, and I have to say
[00:02:29.400 --> 00:02:41.560]   that it's quite remarkable, quite stunning, to be able to live through these last 15 years
[00:02:41.560 --> 00:02:48.600]   and see so many of the things that I hoped for and expected come true.
[00:02:48.600 --> 00:02:52.920]   And you can't really think about how the world has changed in that 15 years.
[00:02:52.920 --> 00:02:56.760]   You don't have to explain to anybody what their destiny is, you don't have to explain
[00:02:56.760 --> 00:02:59.560]   it to anybody, it's a little colossal.
[00:02:59.560 --> 00:03:08.920]   There's a columnist in the Economist magazine, Bob Wood, and I read his columns and I'm like,
[00:03:08.920 --> 00:03:10.760]   "How do you hear me?"
[00:03:10.760 --> 00:03:17.240]   It's great PR for Vanguard, even though he doesn't mention Vanguard, they don't even
[00:03:17.240 --> 00:03:21.160]   say anything about Vanguard, and still it has to be right in that, and that's the good PR
[00:03:21.160 --> 00:03:27.960]   for Vanguard, their ideas get so deeply embedded that you don't need to have your name mentioned,
[00:03:27.960 --> 00:03:31.160]   you can use the name or your own name mentioned.
[00:03:31.160 --> 00:03:39.560]   So of course it works, these ideas that we've had, but it's because they have to work.
[00:03:39.560 --> 00:03:47.080]   If you've got a man on your side, be careful, watch out, these are real trouble.
[00:03:47.080 --> 00:03:55.880]   So let me just open up the Q&A, I've got three remarks, I can't read them all, so I'll just
[00:03:55.880 --> 00:04:00.760]   say, and by the way, I just want to say thank you so much to Kevin, for all the work he's
[00:04:00.760 --> 00:04:07.880]   done for me and now, for letting me get this chance, and for Emily, who's been working
[00:04:07.880 --> 00:04:12.680]   for me ever since I ran, my sister who'll be here in no time, who's been with me for
[00:04:12.680 --> 00:04:19.640]   20, I didn't go, "Okay, it's true, you've got 90 years," I ran, well, that was my reputation,
[00:04:19.640 --> 00:04:30.200]   I hope, but it's my health, the last time I spoke to you, I was in the intensive care
[00:04:30.200 --> 00:04:35.080]   unit at the Brigham and Women's Hospital, dealing with the second consecutive autism
[00:04:35.080 --> 00:04:41.320]   really, you know, and I'll set up the issues, and my health is good now, I don't have much
[00:04:41.320 --> 00:04:47.640]   energy, I used to, I'm kind of falling apart, but I'm happy to be up and running, and trying
[00:04:47.640 --> 00:04:53.400]   to work a little bit less hard, but without any thought, really, of retiring, I don't
[00:04:53.400 --> 00:05:01.800]   know how I can do that, actually, and my wife, she's an internist, and we work at 150% capacity,
[00:05:01.800 --> 00:05:12.760]   so I cut back to maybe, what do you think, 80, 90, 205, I don't know, something like
[00:05:12.760 --> 00:05:20.280]   that, but so, things are good, I'm up and running, whatever it is I'm going to be dealing
[00:05:20.280 --> 00:05:23.960]   with, the kind of maladies I have, and what's going to happen next, but I don't worry about
[00:05:23.960 --> 00:05:28.360]   that, and I never will, never have worried about it, and I never expect to worry about
[00:05:28.360 --> 00:05:33.560]   that, I should say, in the last couple of years, I've been feeling more comfortable
[00:05:33.560 --> 00:05:46.840]   than ever, at Vanguard, maybe had some management issues, as they say, and very comfortable
[00:05:46.840 --> 00:05:51.000]   with Bill and Ed, our new presidents, very fine person, who's been with us for probably
