
[00:00:00.000 --> 00:00:00.660]   [VIDEO PLAYBACK]
[00:00:00.660 --> 00:00:03.640]   - Hop in a driverless taxi with the Google-owned self-driving
[00:00:03.640 --> 00:00:05.920]   company Waymo opening up its robo-taxis
[00:00:05.920 --> 00:00:08.200]   to all users in that city.
[00:00:08.200 --> 00:00:11.520]   - The technology, of course, is hugely expensive.
[00:00:11.520 --> 00:00:13.520]   - Alphabet's autonomous vehicle unit,
[00:00:13.520 --> 00:00:16.840]   Waymo, completing another major round of funding.
[00:00:16.840 --> 00:00:21.040]   - Tahedra has served as co-CEO at Waymo since 2021.
[00:00:21.040 --> 00:00:24.360]   - We are on a mission to build the world's most experienced
[00:00:24.360 --> 00:00:26.600]   driver and make it safe and easy for people and things
[00:00:26.600 --> 00:00:27.840]   to get where they're going.
[00:00:27.840 --> 00:00:29.720]   - This is not a move fast and break things.
[00:00:29.720 --> 00:00:33.740]   This is a move with great, great iterative pace and focus
[00:00:33.740 --> 00:00:34.240]   on safety.
[00:00:34.240 --> 00:00:44.240]   - Please join me in welcoming Tahedra from Waymo to the stage.
[00:00:44.240 --> 00:00:45.240]   - Hi.
[00:00:45.240 --> 00:00:46.240]   - Thank you for coming.
[00:00:46.240 --> 00:00:46.920]   - Hi, thank you.
[00:00:46.920 --> 00:00:47.480]   - It's a pleasure.
[00:00:47.480 --> 00:00:48.280]   - Thanks for coming.
[00:00:48.280 --> 00:00:49.400]   - Thank you so much.
[00:00:49.400 --> 00:00:49.900]   - Hi.
[00:00:49.900 --> 00:00:50.400]   - How are you?
[00:00:50.400 --> 00:00:51.360]   Good to see you.
[00:00:51.360 --> 00:00:51.880]   - Hi, David.
[00:00:51.880 --> 00:00:53.240]   Thank you.
[00:00:53.240 --> 00:00:55.000]   - Tahedra, thanks so much for being here.
[00:00:55.000 --> 00:00:56.000]   - Yeah, thank you.
[00:00:56.000 --> 00:00:59.560]   - Tahedra's been co-CEO of Waymo since 2021,
[00:00:59.560 --> 00:01:01.680]   where she leads the company's business operations
[00:01:01.680 --> 00:01:04.040]   and expansion in autonomous driving.
[00:01:04.040 --> 00:01:06.720]   Recently, Waymo has been reported to be completing--
[00:01:06.720 --> 00:01:09.220]   I don't know if Waymo put this out or if it was in the news,
[00:01:09.220 --> 00:01:11.680]   but over 100,000 paid trips per week now.
[00:01:11.680 --> 00:01:12.320]   Is that public?
[00:01:12.320 --> 00:01:13.800]   Is that like a true thing?
[00:01:13.800 --> 00:01:14.920]   - It's completely true.
[00:01:14.920 --> 00:01:16.320]   And it's over 100,000.
[00:01:16.320 --> 00:01:17.840]   - Over 100,000.
[00:01:17.840 --> 00:01:19.160]   - Per week, yeah.
[00:01:19.160 --> 00:01:22.360]   - And we can now see Waymo's autonomous ride-hailing
[00:01:22.360 --> 00:01:25.760]   services in Phoenix, LA, San Francisco in the Bay Area,
[00:01:25.760 --> 00:01:27.280]   Austin.
[00:01:27.280 --> 00:01:30.040]   And I think on X, you announced $5 billion
[00:01:30.040 --> 00:01:32.160]   in additional committed funding from Alphabet--
[00:01:32.160 --> 00:01:33.540]   I don't know if that was recent--
[00:01:33.540 --> 00:01:34.960]   to support Waymo's expansion.
[00:01:34.960 --> 00:01:35.960]   - It was recent, yes.
[00:01:35.960 --> 00:01:36.760]   - Congratulations.
[00:01:36.760 --> 00:01:37.560]   - Thank you.
[00:01:37.560 --> 00:01:39.680]   - So thanks for joining us.
[00:01:39.680 --> 00:01:43.960]   The Waymo story started a long time ago as a Google X project.
[00:01:43.960 --> 00:01:47.400]   When did you join, and how did you kind of become co-CEO?
[00:01:47.400 --> 00:01:49.080]   - Yeah, thank you.
[00:01:49.080 --> 00:01:51.840]   So Waymo started as the Google Self-Driving Car Project
[00:01:51.840 --> 00:01:53.800]   back in 2009.
[00:01:53.800 --> 00:01:57.920]   And actually, my co-CEO was one of those founding team members,
[00:01:57.920 --> 00:01:59.400]   Dmitry Dolgov.
[00:01:59.400 --> 00:02:03.960]   And in 2016, at the end of 2016, we spun out
[00:02:03.960 --> 00:02:06.240]   and sort of became Waymo.
[00:02:06.240 --> 00:02:08.480]   And that's when I joined.
[00:02:08.480 --> 00:02:10.800]   At that point, it had been determined
[00:02:10.800 --> 00:02:13.280]   that the technology was on a good enough path
[00:02:13.280 --> 00:02:17.360]   to start to think about commercialization and scale.
[00:02:17.360 --> 00:02:20.840]   And so the fun thing about joining a moonshot
[00:02:20.840 --> 00:02:23.160]   is I came from a big tech company.
[00:02:23.160 --> 00:02:24.640]   So I'm like, oh, product market fit.
[00:02:24.640 --> 00:02:25.520]   Like, it's all there.
[00:02:25.520 --> 00:02:27.800]   I'm going to join, and we're going to scale.
[00:02:27.800 --> 00:02:30.200]   And the reality is it was an opportunity
[00:02:30.200 --> 00:02:34.720]   to learn how much this is a process of discovery,
[00:02:34.720 --> 00:02:37.040]   how much this is a process of figuring out
[00:02:37.040 --> 00:02:39.560]   not only the technology roadmap, but also
[00:02:39.560 --> 00:02:40.940]   the external environment.
[00:02:40.940 --> 00:02:43.760]   And at that time, I had been head of policy
[00:02:43.760 --> 00:02:45.520]   at a lot of companies.
[00:02:45.520 --> 00:02:49.000]   And I joined under the idea that if the technology works,
[00:02:49.000 --> 00:02:50.760]   the market opportunity would come
[00:02:50.760 --> 00:02:52.900]   from being able to open markets.
[00:02:52.900 --> 00:02:54.840]   And so that was super terrifying to me,
[00:02:54.840 --> 00:02:58.040]   because if you're at most large tech companies doing policy
[00:02:58.040 --> 00:03:02.000]   work, you're actually trying to avoid costs,
[00:03:02.000 --> 00:03:04.880]   or you're trying to defeat legislation that's harmful.
[00:03:04.880 --> 00:03:07.200]   But this was really the opportunity of, like,
