
[00:00:00.000 --> 00:00:05.500]   [no audio]
[00:00:05.500 --> 00:00:10.400]   And so today I kind of just want to cover the fundamentals of PyTorch,
[00:00:10.400 --> 00:00:15.700]   really just kind of see what are the similarities between PyTorch and NumPy and Python,
[00:00:15.700 --> 00:00:18.700]   which you guys are used to at this point,
[00:00:18.700 --> 00:00:25.500]   and see how we can build up a lot of the building blocks that we'll need in order to define more complex models.
[00:00:25.500 --> 00:00:32.300]   So specifically we're going to talk today about tensors, what are tensor objects, how do we manipulate them,
[00:00:32.300 --> 00:00:37.500]   what is AutoGrad, how PyTorch helps us compute different gradients,
[00:00:37.500 --> 00:00:42.500]   and finally how we actually do optimization and how we write the training loop for our neural networks.
[00:00:42.500 --> 00:00:48.800]   And if we have time at the end, then we'll try and go through a bit of a demo to kind of put everything together
[00:00:48.800 --> 00:00:56.200]   and see how everything comes together when you want to solve an actual NLP task.
[00:00:56.200 --> 00:00:58.800]   All right, so let's get started.
[00:00:58.800 --> 00:01:02.700]   So if you go to the course website, there is a notebook,
[00:01:02.700 --> 00:01:08.800]   and you can just make a copy of this Colab notebook and then just run the cells as we go.
[00:01:08.800 --> 00:01:13.400]   And so to start, today we're talking about PyTorch, like I said.
[00:01:13.400 --> 00:01:16.900]   It's a deep learning framework that really does two main things.
[00:01:16.900 --> 00:01:22.800]   One is it makes it very easy to author and manipulate tensors and make use of your GPU
[00:01:22.800 --> 00:01:25.800]   so that you can actually leverage a lot of that capability.
[00:01:25.800 --> 00:01:31.300]   And two is it makes the process of authoring neural networks much simpler.
[00:01:31.300 --> 00:01:36.300]   You can now use different building blocks like linear layers and different loss functions
[00:01:36.300 --> 00:01:43.300]   and compose them in different ways in order to author the types of models that you need for your specific use cases.
[00:01:43.300 --> 00:01:48.200]   And so PyTorch is one of the two main frameworks along with TensorFlow.
[00:01:48.200 --> 00:01:51.800]   In this class, we'll focus on PyTorch, but they're quite similar.
[00:01:51.800 --> 00:01:58.800]   And so we'll start by importing Torch, and we'll import the neural network module, which is Torch.nn.
[00:01:58.800 --> 00:02:04.300]   And for this first part of the tutorial, I want to talk a bit about tensors.
[00:02:04.300 --> 00:02:09.800]   One thing that you guys are all familiar with now is NumPy arrays.
[00:02:09.800 --> 00:02:16.800]   And so pretty much you can think about tensors as the equivalent in PyTorch to NumPy arrays.
[00:02:16.800 --> 00:02:21.800]   They're essentially multi-dimensional arrays that you can manipulate in different ways,
[00:02:21.800 --> 00:02:28.300]   and you'll essentially use them to represent your data, to be able to actually manipulate it,
[00:02:28.300 --> 00:02:33.800]   and perform all the different matrix operations that underlie your neural network.
[00:02:33.800 --> 00:02:38.800]   And so in this case, for example, if we're thinking of an image,
[00:02:38.800 --> 00:02:44.800]   one way you can think about it in terms of a tensor is it's a 256 by 256 tensor,
[00:02:44.800 --> 00:02:50.300]   where it has a width of 256 pixels and a height of 256 pixels.
[00:02:50.300 --> 00:02:57.300]   And for instance, if we have a batch of images, and those images contain three channels, like red, green, and blue,
[00:02:57.300 --> 00:03:04.800]   then we might have a four-dimensional tensor, which is the batch size by the number of channels, by the width and the height.
[00:03:04.800 --> 00:03:08.800]   And so everything we're going to see today is all going to be represented as tensors,
[00:03:08.800 --> 00:03:12.800]   which you can just think of as multi-dimensional arrays.
[00:03:12.800 --> 00:03:15.800]   And so to kind of get some intuition about this,
[00:03:15.800 --> 00:03:20.800]   we're going to spend a little bit of time going through essentially lists of lists,
[00:03:20.800 --> 00:03:26.800]   and how we can convert them into tensors, and how we can manipulate them with different operations.
[00:03:26.800 --> 00:03:32.800]   So to start off with, we just have a simple list of lists that you're all familiar with.
[00:03:32.800 --> 00:03:35.800]   In this case, it's a two-by-three list.
[00:03:35.800 --> 00:03:38.800]   And now we want to create a tensor.
[00:03:38.800 --> 00:03:44.800]   And so here, the way we'll create this tensor is by doing torch dot tensor,
[00:03:44.800 --> 00:03:49.800]   and then essentially writing the same syntax that we had before.
[00:03:49.800 --> 00:03:55.800]   Just write out the list of lists that represents that particular tensor.
[00:03:55.800 --> 00:04:02.800]   And so in this case, we get back a tensor object, which is the same shape and contains the same data.
[00:04:02.800 --> 00:04:06.800]   And so now, the second thing with a tensor is that it contains a data type.
[00:04:06.800 --> 00:04:08.800]   So there's different data types.
[00:04:08.800 --> 00:04:13.800]   For instance, there are different varying level of precision floating point numbers that you can use.
[00:04:13.800 --> 00:04:18.800]   You can have integers. You can have different data types that actually populate your tensor.
[00:04:18.800 --> 00:04:21.800]   And so by default, I believe this will be float 32,
[00:04:21.800 --> 00:04:28.800]   but you can explicitly specify which data type your tensor is by passing in the dtype argument.
[00:04:28.800 --> 00:04:33.800]   And so we see here now, even though we wrote in a bunch of integers,
[00:04:33.800 --> 00:04:37.800]   they have a decimal point, which indicates that they're floating point numbers.
[00:04:37.800 --> 00:04:39.800]   And so same thing here.
[00:04:39.800 --> 00:04:45.800]   We can create another tensor, in this case with data type float 32.
[00:04:45.800 --> 00:04:51.800]   And in this third example, you see that we create another tensor.
[00:04:51.800 --> 00:04:59.800]   We don't actually specify the data type, but PyTorch essentially implicitly takes the data type to be floating point,
[00:04:59.800 --> 00:05:03.800]   since we actually passed in a floating point number into this tensor.
[00:05:03.800 --> 00:05:09.800]   So pretty much at a high level, tensors are like multi-dimensional arrays.
[00:05:09.800 --> 00:05:11.800]   We can specify the data type for them.
[00:05:11.800 --> 00:05:13.800]   We can populate them just like NumPy arrays.
[00:05:13.800 --> 00:05:17.800]   Okay, so now, great, we know how to create tensors.
[00:05:17.800 --> 00:05:23.800]   We know that ultimately everything that we work with, all the data we have is going to be expressed as tensors.
[00:05:23.800 --> 00:05:27.800]   Now the question is, what are the functions that we have to manipulate them?
[00:05:27.800 --> 00:05:32.800]   And so we have some basic utilities that can help us instantiate tensors easily,
[00:05:32.800 --> 00:05:36.800]   specifically torch.0s and torch.1s.
[00:05:36.800 --> 00:05:45.800]   These are two ways to create tensors of a particular shape, in this case tensors of all zeros or tensors of all ones.
[00:05:45.800 --> 00:05:50.800]   And you'll see that this will be very helpful when you do your homeworks.
[00:05:50.800 --> 00:05:54.800]   Typically, you'll want to just need to create a bunch of a zero matrix,
[00:05:54.800 --> 00:06:00.800]   and it'll be very easy to just specify the shape here without having to write everything out super explicitly.
[00:06:00.800 --> 00:06:04.800]   And then you can update that tensor as needed.
[00:06:04.800 --> 00:06:09.800]   Another thing you can do is, just like we have ranges in Python,
[00:06:09.800 --> 00:06:14.800]   so if you want to loop over a bunch of numbers, you can specify a range.
[00:06:14.800 --> 00:06:22.800]   You can also use torch.a_range to be able to actually instantiate a tensor with a particular range.
[00:06:22.800 --> 00:06:26.800]   In this case, we just looped over the numbers 1 through 10.
[00:06:26.800 --> 00:06:30.800]   You could reshape this and make it 1 through 5 and then 6 through 10.
[00:06:30.800 --> 00:06:34.800]   That's another way to be able to instantiate tensors.
[00:06:34.800 --> 00:06:41.800]   And finally, something to note is that when we apply particular operations,
[00:06:41.800 --> 00:06:46.800]   such as just simple Python operations like addition or multiplication,
[00:06:46.800 --> 00:06:52.800]   by default they're going to be element-wise, so they'll apply to all the elements in our tensor.
[00:06:52.800 --> 00:06:58.800]   So in this case, we took our tensor, I think this one was probably from earlier above,
[00:06:58.800 --> 00:07:04.800]   and we added 2 everywhere. Here we multiplied everything by 2.
[00:07:04.800 --> 00:07:10.800]   But pretty much the PyTorch semantics for broadcasting work pretty much the same as the NumPy semantics.
[00:07:10.800 --> 00:07:19.800]   So if you pretty much have different matrix operations where you need to batch across a particular dimension,
[00:07:19.800 --> 00:07:25.800]   PyTorch will be smart about it and it will actually make sure that you broadcast over the appropriate dimensions.
[00:07:25.800 --> 00:07:31.800]   Although of course you have to make sure that the shapes are compatible based on the actual broadcasting rules.
[00:07:31.800 --> 00:07:40.800]   So we'll get to that in a little bit when we look at reshaping and how different operations have those semantics.
[00:07:40.800 --> 00:07:50.800]   In this case, we have to define the, I guess I'm not personally aware of how you would define kind of a jagged tensor that has unequal dimensions.
[00:07:50.800 --> 00:07:56.800]   But typically we don't want to do that because it makes our computation a lot more complex.
[00:07:56.800 --> 00:08:03.800]   And so in cases where we have, you know, for instance, we have different sentences that we turn into tokens,
[00:08:03.800 --> 00:08:06.800]   we might have different length sentences in our training set.
[00:08:06.800 --> 00:08:13.800]   We'll actually pad all the dimensions to be the same because ultimately we want to do everything with matrix operations.
[00:08:13.800 --> 00:08:16.800]   And so in order to do that, we need to have a matrix of a fixed shape.
[00:08:16.800 --> 00:08:25.800]   But yeah, that's a good point. I'm not sure if there is a way to do that, but typically we just get around this by padding.
[00:08:25.800 --> 00:08:30.800]   Okay, so now we know how to define tensors. We can do some interesting things with them.
[00:08:30.800 --> 00:08:36.800]   So here we've created two tensors. One of them is a 3 by 2 tensor.
[00:08:36.800 --> 00:08:39.800]   The other one is a 2 by 4 tensor.
[00:08:39.800 --> 00:08:47.800]   And I think the answer is written up here, but what do we expect is the shape when we multiply these two tensors?
[00:08:47.800 --> 00:08:52.800]   So we have a 3 by 2 tensor and a 2 by 4 tensor.
[00:08:52.800 --> 00:08:54.800]   Yeah, 3 by 4.
[00:08:54.800 --> 00:09:02.800]   And so more generally, we can use Matmul in order to do matrix multiplication.
[00:09:02.800 --> 00:09:06.800]   It also implements batched matrix multiplication.
[00:09:06.800 --> 00:09:11.800]   And so I won't go over the entire review of broadcasting semantics,
[00:09:11.800 --> 00:09:19.800]   but the main gist is that the dimensions of two tensors are compatible if you can left pad the tensors with ones
[00:09:19.800 --> 00:09:25.800]   so that the dimensions that line up either A, have the same number in that dimension,
[00:09:25.800 --> 00:09:28.800]   or B, one of them is a dummy dimension. One of them has a 1.
[00:09:28.800 --> 00:09:36.800]   And in that case, in those dummy dimensions, PyTorch will actually make sure to copy over the tensor as many times as needed
[00:09:36.800 --> 00:09:39.800]   so that you can then actually perform the operation.
[00:09:39.800 --> 00:09:45.800]   And that's useful when you want to do things like batched dot products or batched matrix multiplications.
[00:09:45.800 --> 00:09:52.800]   And I guess the final point here is there's also a shorthand notation that you can use.
[00:09:52.800 --> 00:09:59.800]   So instead of kind of having to type out Matmul every time, you can just use the at operator, similar to NumPy.
