
[00:00:00.000 --> 00:00:05.180]   So as someone who writes and talks a lot about producing meaningful stuff in a distracted world,
[00:00:05.180 --> 00:00:11.000]   I always get excited when prominent individuals give us insight into their own processes
[00:00:11.000 --> 00:00:16.940]   for achieving this goal. So you can imagine how happy I was when I saw Tim Ferriss recently linked
[00:00:16.940 --> 00:00:27.040]   to a blog post that was titled simply Productivity that was published in 2018 by OpenAI's Sam Altman.
[00:00:27.040 --> 00:00:30.560]   Here's the opening two sentences of this essay.
[00:00:30.560 --> 00:00:35.580]   I think I am at least somewhat more productive than average and people sometimes ask me for
[00:00:35.580 --> 00:00:42.560]   productivity tips. So I decided to just write them all down in one place. So I'm excited about
[00:00:42.560 --> 00:00:48.080]   getting to this essay because when Sam wrote it, 2018, think about it, OpenAI was at a crucial
[00:00:48.080 --> 00:00:55.100]   turning point. They had just released GPT-1, but they were operating as a nonprofit. Elon Musk had
[00:00:55.100 --> 00:00:59.360]   just left the board of directors after failing to convince the board that they should merge OpenAI
[00:00:59.360 --> 00:01:05.720]   with his Tesla company to help out its financial situation. Instead, Sam led a move from a nonprofit
[00:01:05.720 --> 00:01:10.480]   the next year to a capped profit status that opened up venture capital funding. They could hire a bunch
[00:01:10.480 --> 00:01:16.280]   more talent and that's really where the OpenAI story we know today really took off. So he was pretty
[00:01:16.280 --> 00:01:22.420]   productive during this period. So it's useful to look back and say, how was he thinking about getting
[00:01:22.420 --> 00:01:30.440]   important work done on the eve of OpenAI making all of these important leaps? So what I'm going to do is
[00:01:30.440 --> 00:01:37.040]   pull out, I think I have five, let me look at my notes here. I have five ideas from his essay and for
[00:01:37.040 --> 00:01:40.840]   each we'll get into it. I agree with a lot. I disagree with others. I think there's some big
[00:01:40.840 --> 00:01:45.360]   important ideas he highlights in some. So we will get in the Sam Altman's productivity essay. Let me just
[00:01:45.360 --> 00:01:50.520]   load it on the screen now for those who are watching instead of listening. This is what the essay looks
[00:01:50.520 --> 00:01:56.600]   like. I missed that classic blog format, Jesse, back in the end of Web 2 where you kept things simple and just
[00:01:56.600 --> 00:02:02.380]   wrote long essays. But here it is published in April of 2018. So seven years ago, basically to the day.
[00:02:02.380 --> 00:02:07.100]   That's what it looks like. So I'm going to jump through here and I'm going to pull out some quotes. All right,
[00:02:07.100 --> 00:02:12.540]   Jesse, we can bring it back to full screen. All right, here's idea number one. I'm reading now from Sam's
[00:02:12.540 --> 00:02:18.920]   essay. Compound growth gets discussed as a financial concept, but it works in careers as
[00:02:18.920 --> 00:02:24.780]   well and it is magic. A small productivity gain compounded over 50 years is worth a lot. So it's
[00:02:24.780 --> 00:02:30.600]   worth figuring out how to optimize productivity. If you get 10% more done and 1% better every day
[00:02:30.600 --> 00:02:37.860]   compared to someone else, the compound difference is massive. All right, so I have mixed feelings about
[00:02:37.860 --> 00:02:42.880]   this first idea of applying the compound growth idea to productivity. I think there's some piece
[00:02:42.880 --> 00:02:49.260]   of this that's right and some piece of this that's not right. That getting 1% better, sure. If you could
[00:02:49.260 --> 00:02:56.060]   get 1% better at something every day, you are compounding. So your current skill level grows that
[00:02:56.060 --> 00:03:01.820]   your 1% is being applied to. And if you put that out over a certain number of years, you would be the
[00:03:01.820 --> 00:03:07.360]   world's very best expert in like five years or however the math works out. That's not really how getting
