
[00:00:00.000 --> 00:00:06.580]   While everyone else is focused on other stuff like Twitter spats, let's focus on the real news,
[00:00:06.580 --> 00:00:12.780]   the developments in AI, which I would say are accelerating. Particularly if you are Google
[00:00:12.780 --> 00:00:20.300]   who have just released the latest version of Gemini 2.5 Pro, fairly unambiguously the best
[00:00:20.300 --> 00:00:25.920]   language model in the world. For the majority of benchmarks, and yes, including my own SimpleBench,
[00:00:25.920 --> 00:00:33.140]   it beats out all other models including Claude Opus 4, Grok 3 and OpenAI's O3. Though we are
[00:00:33.140 --> 00:00:38.880]   expecting O3 Pro from OpenAI fairly shortly. And that's before you get to the fact that it's quicker
[00:00:38.880 --> 00:00:46.940]   to respond, it's cheaper via the API, it can ingest up to 1 million tokens. That's 4 or 5 times more
[00:00:46.940 --> 00:00:51.640]   than other models. Now before we get too hyped up though, there's a reason why the CEO of Google
[00:00:51.640 --> 00:00:56.600]   DeepMind, Demisa Sabas, responsible for Gemini, and the CEO of Google itself, Sundar Bachai,
[00:00:56.600 --> 00:01:02.060]   yesterday, both said that they don't expect AGI before 2030. Now sorry for those listening on the
[00:01:02.060 --> 00:01:07.440]   podcast, but take a look at these two lines here and which two of these vertical lines would you say
[00:01:07.440 --> 00:01:14.060]   is longest? Well, Gemini 2.5 Pro, the latest version, 0605. Yes, if you are not in America,
[00:01:14.060 --> 00:01:18.280]   that naming scheme is incredibly confusing. But this latest version, what do you think it says?
[00:01:18.280 --> 00:01:23.320]   It says, at first glance, line A appears to be much longer than line B. However,
[00:01:23.320 --> 00:01:28.700]   this is a trick of the eye and they are the same length. In fact, later on, the model doubles down
[00:01:28.700 --> 00:01:34.260]   by saying, you can test this yourself by placing a ruler up against the screen. You'll find they are
[00:01:34.260 --> 00:01:39.160]   identical in length. For those listening, they are pretty obviously not the same length. Now,
[00:01:39.160 --> 00:01:44.120]   of course, that is anecdotal, but there is a reason why Sundar Bachai said that in the near to
[00:01:44.120 --> 00:01:49.840]   medium term, Google will be hiring more workers, not firing them. Of course, you can't always trust
[00:01:49.840 --> 00:01:54.580]   CEOs, which is why I'm going to dedicate the end portion of this video to investigating all those
[00:01:54.580 --> 00:02:00.020]   headlines you've been seeing recently about a white collar bloodbath. I found that when you dig deeper,
[00:02:00.020 --> 00:02:06.440]   not everything is as it seems. Now, somewhat strangely, I want to start with an interview released
[00:02:06.440 --> 00:02:13.120]   in the last 18 hours on Lex Friedman with the CEO of Google, Sundar Bachai. Because the first half of
[00:02:13.120 --> 00:02:19.240]   this video is going to be about Gemini 2.5 Pro. But that's not even the biggest and best version of
[00:02:19.240 --> 00:02:25.900]   Gemini 2.5, which is Gemini 2.5 Ultra, unavailable to practically anyone. So all these record benchmark
[00:02:25.900 --> 00:02:30.900]   scores you're going to see, this isn't even their biggest and best model. Each year, I sit and say,
[00:02:30.960 --> 00:02:35.620]   okay, we are going to throw 10x more compute over the course of next year at it, and will we see
[00:02:35.620 --> 00:02:41.700]   progress? Sitting here today, I feel like the year ahead will have a lot of progress. I think it's
[00:02:41.700 --> 00:02:46.220]   compute limited in this sense, right? Like, you know, we can all, part of the reason you've seen us do
[00:02:46.220 --> 00:02:54.760]   flash, nano flash in pro models, but not an ultra model. It's like for each generation, we feel like
[00:02:54.760 --> 00:03:01.440]   we've been able to get the pro model at like, I don't know, 80-90% of ultra's capability. But ultra
[00:03:01.440 --> 00:03:10.740]   would be a lot more slow and a lot more expensive to serve. But what we've been able to do is to go to
[00:03:10.740 --> 00:03:15.240]   the next generation and make the next generation's pro as good as the previous generation's ultra,
[00:03:15.240 --> 00:03:21.500]   but be able to serve it in a way that it's fast and you can use it and so on. The models we all use the
[00:03:21.500 --> 00:03:31.420]   most is maybe like a few months behind the maximum capability we can deliver, right? Because that
[00:03:31.420 --> 00:03:37.580]   won't be the fastest, easiest to use, etc. But as the latest version of Gemini 2.5 Pro is apparently
[00:03:37.580 --> 00:03:42.700]   going to be a stable release used by hundreds of millions of people over the coming months, let's
[00:03:42.700 --> 00:03:48.880]   quickly dive into those benchmark results. On the right, by the way, you can see the results of the
[00:03:48.880 --> 00:03:55.300]   three iterations of Gemini 2.5 Pro. To be clear, the latest one is what's going to be rolled out to
[00:03:55.300 --> 00:04:01.180]   everyone in the coming couple of weeks. On obscure knowledge as tested by humanity's last exam,
[00:04:01.180 --> 00:04:08.020]   it nudges out other models. For incredibly challenging science-based questions, it gets 86.4%
[00:04:08.020 --> 00:04:15.880]   when PhDs in those respective domains get around 60%. On very approximate gauges of hallucinations,
[00:04:15.880 --> 00:04:22.200]   it scores better than any other model. And on reading charts and visuals and other types of
[00:04:22.200 --> 00:04:29.620]   graphs, it's at least on par with O3, which is around four times more expensive and a lot slower than
[00:04:29.620 --> 00:04:36.680]   Gemini 2.5 Pro. Again, it's worth highlighting that Gemini 2.5 Pro is really the middle model of the Gemini
