
[00:00:00.040 --> 00:00:09.540]   لكن
[00:00:09.540 --> 00:00:10.760]   see in, and,
[00:00:10.760 --> 00:00:12.120]  ого
[00:00:56.840 --> 00:00:56.840]   and,
[00:02:22.100 --> 00:02:22.720]   and,
[00:02:22.720 --> 00:02:22.760]   and,
[00:02:22.800 --> 00:02:32.900]   realize
[00:02:32.900 --> 00:02:34.200]   be. I.
[00:02:34.200 --> 00:02:52.800]   Cur C I would未
[00:02:52.840 --> 00:03:02.420]   behind
[00:03:02.420 --> 00:03:03.200]   continue and is
[00:03:03.200 --> 00:03:17.060]   download and,,,,, ceteraingu
[00:03:17.060 --> 00:03:21.140]   close in the slightly and 'S,OO as, and, and, I, is, are, can, is, but, it's, that, let's, Not, Has, Gun. And, For. And. I. And. I'm. I. And.
[00:04:17.860 --> 00:04:25.860]   W
[00:04:25.860 --> 00:04:29.340]  'm,
[00:04:47.880 --> 00:04:58.160]   it
[00:04:58.160 --> 00:05:17.460]   curse, me me top,,,,,
[00:05:17.660 --> 00:05:45.640]   "
[00:05:45.640 --> 00:05:47.260]   online... system of littleил hold if let Sven Santa unintentionulf I'G, and, and, and, and, and, and, and,es,聽: Pr. F.價 구� cooperation another co maxim Müав. N. diamond. Porque.น. I'm. over guys. Sod.istä. ersch. bass. or get the Past.ч. get her initial does that mean. en the full of the property. weigh theünd the possible. component of the person who's. whichever the谁. ост. schön.kay. stereo. seventeen. complaints.yet. dolor.�. Guy. didnt. não. it's.änd. doll. warm.ord. cerca. du''P.ícule.ob.on.�or .|G
[00:05:47.320 --> 00:05:57.620]   love
[00:05:57.620 --> 00:05:58.540]   I here還是
[00:05:58.540 --> 00:06:03.620]  DC , lol , ., .,,,,,,,, called study goTCGGGS Snez
[00:06:45.480 --> 00:06:45.480]   The number is 10 million 62,000 dollars. Let's call that 10 million dollars among friends. So the full and complete analysis of that situation would be:
[00:06:45.480 --> 00:06:45.480]   So the full and complete analysis of that situation would be:
[00:06:45.480 --> 00:06:45.480]   So the full and complete analysis of that situation would be:
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be:
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be: That a bad financial advisor who's keeping her in a low performing portfolio because that financial advisor is bowing to her conservative tendencies and not educating her on the value of growing this portfolio for her heirs is potentially costing her the difference between 1.8 and 5.7 million dollars. Let's call that 3 million dollars among friends. So the bad financial advisor is costing her 3 million dollars.
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be:
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be:
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be:
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be:
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be:
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be:
[00:07:14.580 --> 00:07:14.580]   The full and complete analysis of that situation would be:
