
[00:00:00.000 --> 00:00:01.200]   Let's just make sure.
[00:00:01.200 --> 00:00:07.400]   There's always a 20-second delay where
[00:00:07.400 --> 00:00:10.360]   I'm freaking out if I miss the setting or something.
[00:00:10.360 --> 00:00:17.680]   Awesome, we're live.
[00:00:17.680 --> 00:00:18.360]   Hey, everybody.
[00:00:18.360 --> 00:00:20.320]   This is a surprise announcement.
[00:00:20.320 --> 00:00:23.640]   As you can see, we are with the legend, Hedzo Tales,
[00:00:23.640 --> 00:00:26.480]   the legendary Tattletail master, all of our heroes
[00:00:26.480 --> 00:00:29.920]   for storytelling, data analysis, and many more things,
[00:00:29.920 --> 00:00:31.360]   if I just keep talking about that,
[00:00:31.360 --> 00:00:33.840]   it'll take me an hour, which it did,
[00:00:33.840 --> 00:00:35.600]   because I've already interviewed--
[00:00:35.600 --> 00:00:37.480]   I've had the opportunity to interview him
[00:00:37.480 --> 00:00:38.680]   on "Chai Time Data Science."
[00:00:38.680 --> 00:00:40.360]   I won't go into that.
[00:00:40.360 --> 00:00:42.920]   We're here to talk about the Kaggle Hidden Gems
[00:00:42.920 --> 00:00:46.600]   competition, which Martin will be telling us more about.
[00:00:46.600 --> 00:00:49.120]   And I'm also curious to ask a few questions around that.
[00:00:49.120 --> 00:00:52.280]   So I'll ask Martin to please share
[00:00:52.280 --> 00:00:55.400]   why are we doing a competition, and why have you been doing
[00:00:55.400 --> 00:00:58.960]   the Hidden Gems for so long?
[00:00:58.960 --> 00:00:59.880]   Thank you, Sania.
[00:00:59.880 --> 00:01:00.400]   Thank you.
[00:01:00.400 --> 00:01:01.760]   Thank you so much for having me.
[00:01:01.760 --> 00:01:03.560]   This is very, very exciting.
[00:01:03.560 --> 00:01:07.520]   This is kind of the first time I'm doing an event like this.
[00:01:07.520 --> 00:01:10.680]   And it's just amazing, all around amazing.
[00:01:10.680 --> 00:01:16.440]   So the background is that I have been doing this weekly series
[00:01:16.440 --> 00:01:20.040]   of Hidden Gems for a good two years now.
[00:01:20.040 --> 00:01:23.720]   And every week, I pick three notebooks
[00:01:23.720 --> 00:01:26.280]   out of the large set of notebooks
[00:01:26.280 --> 00:01:29.720]   that are being published every day on Kaggle,
[00:01:29.720 --> 00:01:30.960]   every week on Kaggle.
[00:01:30.960 --> 00:01:35.280]   And because there are so many people on Kaggle,
[00:01:35.280 --> 00:01:36.920]   such a large community now, we're
[00:01:36.920 --> 00:01:42.640]   coming up to 10 million registered users, which is a lot.
[00:01:42.640 --> 00:01:47.520]   And not all the notebooks get the attention
[00:01:47.520 --> 00:01:48.920]   that they deserve.
[00:01:48.920 --> 00:01:52.040]   Not all the notebooks get the views, the feedback
[00:01:52.040 --> 00:01:53.920]   from the community, and the upvotes
[00:01:53.920 --> 00:01:56.120]   that their quality would deserve.
[00:01:56.120 --> 00:01:59.640]   And I'm trying my little bit to rectify that situation.
[00:01:59.640 --> 00:02:01.680]   So I'm going through the notebooks on Kaggle,
[00:02:01.680 --> 00:02:05.400]   and I'm picking three notebooks every week, which
[00:02:05.400 --> 00:02:10.920]   I think are underrated, which have one or several aspects
[00:02:10.920 --> 00:02:15.200]   of quality, like narration or great data visualizations,
[00:02:15.200 --> 00:02:19.520]   interesting insights, new angles, new ideas.
[00:02:19.520 --> 00:02:23.120]   And I'm trying to highlight those in my weekly posts.
