
[00:00:00.000 --> 00:00:04.000]   [Intro music]
[00:00:04.000 --> 00:00:08.000]   Tomorrow is July 4th, Independence Day here in the United States.
[00:00:08.000 --> 00:00:12.000]   A big day of celebration for us here. Every year it raises
[00:00:12.000 --> 00:00:17.000]   questions for Christians about nationalism and what's a healthy level of patriotism.
[00:00:17.000 --> 00:00:21.000]   Matt, a podcast listener, writes in to ask this.
[00:00:21.000 --> 00:00:25.000]   "Pastor John, hello. Obviously as Christians we are to live as strangers,
[00:00:25.000 --> 00:00:29.000]   exiles, aliens, and pilgrims on this earth. Is there an
[00:00:29.000 --> 00:00:33.000]   appropriate place in the Christian life to be patriotic? If so,
[00:00:33.000 --> 00:00:37.000]   what is it, and at what point does our patriotism go
[00:00:37.000 --> 00:00:40.000]   too far?" Pastor John, what would you say to Matt?
[00:00:40.000 --> 00:00:44.000]   Yes, I think there is, and I think it's
[00:00:44.000 --> 00:00:48.000]   right, or at least it can be right and good. It is
[00:00:48.000 --> 00:00:52.000]   true, and we need to stress it at the beginning, maybe stress it
[00:00:52.000 --> 00:00:56.000]   at the end. We are pilgrims here. We are exiles,
[00:00:56.000 --> 00:01:00.000]   refugees, sojourners. Peter says, "Beloved,
[00:01:00.000 --> 00:01:04.000]   I urge you as sojourners and exiles, abstain
[00:01:04.000 --> 00:01:08.000]   from the passions of the flesh that wage war against your soul."
[00:01:08.000 --> 00:01:12.000]   Paul says in Philippians 3.20, "Our citizenship is
[00:01:12.000 --> 00:01:16.000]   in heaven." That's number one. That's foundational.
[00:01:16.000 --> 00:01:20.000]   That's relativizing to all human allegiances. So the
[00:01:20.000 --> 00:01:24.000]   question is framed rightly. We are citizens of heaven. We are
[00:01:24.000 --> 00:01:28.000]   sojourners and pilgrims on the earth, but that's owing
[00:01:28.000 --> 00:01:32.000]   to the fact that the world is fallen, not the fact that
[00:01:32.000 --> 00:01:36.000]   the world is created. We are going to spend eternity
[00:01:36.000 --> 00:01:40.000]   in a created world.
[00:01:40.000 --> 00:01:44.000]   In fact, this created world, renewed and cleansed.
[00:01:44.000 --> 00:01:48.000]   But Satan won't be the god
[00:01:48.000 --> 00:01:52.000]   of that world anymore, like the New Testament says he is now.
[00:01:52.000 --> 00:01:56.000]   That's what makes us feel so alien here, is that the
[00:01:56.000 --> 00:02:00.000]   god of this world is Satan. He holds
[00:02:00.000 --> 00:02:04.000]   such extensive sway. The world is
[00:02:04.000 --> 00:02:08.000]   permeated with sin. It makes us feel like we're not
[00:02:08.000 --> 00:02:12.000]   at home, and we're not in a very real sense while
[00:02:12.000 --> 00:02:16.000]   that kind of sinfulness permeates the world. We are
[00:02:16.000 --> 00:02:20.000]   just aching to be done with sin,
[00:02:20.000 --> 00:02:24.000]   mainly our sin, not just the grossness and godlessness
[00:02:24.000 --> 00:02:28.000]   that we see in the world. We long to be
