
[00:00:00.000 --> 00:00:05.980]   For me, today is, in some sense, the first day of summer. I'm a college professor and my final
[00:00:05.980 --> 00:00:10.600]   grades were submitted last week. I hosted the lunch for the graduating seniors. Commencement
[00:00:10.600 --> 00:00:16.720]   was on Saturday. The campus has just shut down for the summer season. Unlike most professors at
[00:00:16.720 --> 00:00:23.340]   most research universities, however, I don't take summer salary. As soon as the spring semester ends,
[00:00:23.340 --> 00:00:28.360]   I am officially off the clock until the fall comes. I've received no paycheck from the university.
[00:00:28.360 --> 00:00:33.300]   I received no paycheck from the grant agencies during the summer. There is no expectations from
[00:00:33.300 --> 00:00:39.920]   anyone else. My time is my own. Here is the schedule that I more or less try to run
[00:00:39.920 --> 00:00:47.640]   during these summers of no external obligations. I try, if possible, to have no professional
[00:00:47.640 --> 00:00:52.700]   appointments, meetings, or calls on Mondays or Fridays. I want to begin and end my week with
[00:00:52.700 --> 00:00:57.680]   quiet and depth. So the transition into the weekend and from the weekend back into the
[00:00:57.680 --> 00:01:02.580]   week is one that is much more gradual and subtle and cognitively rewarding. You're not going from
[00:01:02.580 --> 00:01:08.020]   a quiet Sunday to a crazy Monday. I try, when possible, to make one of those days, Monday or
[00:01:08.020 --> 00:01:13.520]   Friday, an adventure-thinking day where I'll spend at least three or four hours, usually somewhere
[00:01:13.520 --> 00:01:17.900]   outside in nature, being way too hot because I do live in Washington, D.C., but maybe going to
[00:01:17.900 --> 00:01:23.800]   like the Pactuxic Wildlife Refuge right outside of the Beltway or to Wheaton Regional Park or to the,
[00:01:23.800 --> 00:01:30.080]   the, the, I like the, the Rachel Carson Greenway, to a trail, go for a hike, spend a couple hours
[00:01:30.080 --> 00:01:34.920]   outside, go to Rock Creek Park, bring my notebooks and try to really work through ideas. For Tuesday,
[00:01:34.920 --> 00:01:39.560]   Wednesday, and Thursday, those days start with deep work. I don't look at an email or a computer until
[00:01:39.560 --> 00:01:45.260]   midday. Then in the afternoon, I have an admin block. What I try to do is have 30 minutes on my calendar
[00:01:45.260 --> 00:01:50.320]   midday, Tuesday, Wednesday, Thursday, where like a, a, a furious, a furious task
[00:01:50.320 --> 00:01:56.620]   completing machine. I go through small logistical things that have piled up and try to make as much
[00:01:56.620 --> 00:02:00.880]   progress as possible. In the afternoons on those three days is when I'll have calls, I'll have
[00:02:00.880 --> 00:02:05.860]   interviews, I'll have, you know, professional related, uh, appointments. And I try to end those days
[00:02:05.860 --> 00:02:11.220]   by four. That is my summer schedule and I love it and I can get away with it because I, I have these
[00:02:11.220 --> 00:02:20.940]   really slow summers, but it is a vital part of my success. It is a step away from the frantic demands
[00:02:20.940 --> 00:02:25.560]   of the school year. I get my best thinking done during the summer. I produce on my best right in
[00:02:25.560 --> 00:02:31.000]   the summer. It's when I recharge for the year ahead. So I want to talk to you today about this general
[00:02:31.000 --> 00:02:37.080]   strategy of seasonality. I'm going to argue that it's important for basically everyone, especially if
[00:02:37.080 --> 00:02:43.220]   you have some sort of knowledge or office work job, you might not be able to push your summer schedule
[00:02:43.220 --> 00:02:47.880]   to the same extreme as mine, but I think it should be different. I'll argue why. And then I'll give you
[00:02:47.880 --> 00:02:53.860]   some ideas about how you can do that. Even if you have less flexibility than myself. All right, let's
[00:02:53.860 --> 00:02:59.500]   start with the case for the seasonality, taking one season to be different and less intense than other
[00:02:59.500 --> 00:03:05.160]   seasons. When it comes to your work, I'm going to read something from my, uh, my book here, the Bible
[00:03:05.160 --> 00:03:11.020]   for the show, slow productivity. I wrote about this idea, did some good research on this. So I'm going
[00:03:11.020 --> 00:03:17.560]   to take a second to take advantage of the research I already did. All right. I'm going to read here.
[00:03:17.560 --> 00:03:22.160]   The side-by-side comparison underscores the degree to which our experience of work has transformed during
[00:03:22.160 --> 00:03:27.420]   the recent past of our species. Our shift from hunting and gathering to agriculture, the Neolithic
[00:03:27.420 --> 00:03:32.960]   revolution only really picked up speed somewhere around 12,000 years ago. By the time of the Roman
[00:03:32.960 --> 00:03:37.920]   empire foraging had almost completely disappeared from the human story, this reorientation towards
[00:03:37.920 --> 00:03:43.680]   agriculture through most of humanity into a state similar to that of the rice farming Agta, grappling
[00:03:43.680 --> 00:03:50.000]   with something new, the continuous monotony of unvarying work all day long, day after day. All right. So I'm
[00:03:50.000 --> 00:03:56.320]   arguing here. I, I, so I, I do a, before this, I went through a treatment of what the foraging and hunting
[00:03:56.320 --> 00:04:01.280]   and gathering life was like in which we spent most of our species existence. Drawing
[00:04:01.280 --> 00:04:07.040]   on some more recent research from the Agta people in the Philippines, where you have the same people
[00:04:07.040 --> 00:04:14.400]   that divided half of the group, went to rice farming and the other half stayed with foraging. There's
[00:04:14.400 --> 00:04:18.400]   interesting research from the 2000s where they compared the lifestyle between these two groups. They were
[00:04:18.400 --> 00:04:23.120]   otherwise very much controlled to be the same people in the same type of geographical region. And they found that,
[00:04:23.120 --> 00:04:27.360]   oh, the, the hunting and gathering foraging group has way more variation in their days.
[00:04:27.360 --> 00:04:32.080]   Busy periods, non-busy periods, busy seasons, non-busy periods. So what I'm arguing here is
[00:04:32.080 --> 00:04:38.240]   that change with agriculture, our days when we were working became uniformly hard days. However,
[00:04:38.240 --> 00:04:43.280]   I'm going back to reading here, the one saving grace in this scenario is that agriculture didn't demand
[00:04:43.280 --> 00:04:49.680]   this homogenized effort the entire year as the busy sowing and gathering of crops is offset by the quiet
[00:04:49.680 --> 00:04:54.880]   of winter. So we went from hunting and gathering and foraging where even within a given day,
[00:04:54.880 --> 00:05:01.280]   there's huge variation in intensity. This hour is really locked in because we're in the middle of a
[00:05:01.280 --> 00:05:05.360]   hunt, but the next two hours we're taking a nap during the midday sun. Then we get agriculture.
[00:05:05.360 --> 00:05:11.120]   I said, no, no, when you work, we have this new idea of like working sun rise to sun set of equal
[00:05:11.120 --> 00:05:18.560]   intensity. Our paleolithic for bearers did not have such uniform intensity, but at a bigger scale,
[00:05:18.560 --> 00:05:24.320]   you had busy seasons and less busy seasons. The fall was very busy. The winter was not.
[00:05:24.320 --> 00:05:29.520]   Moving forward in the human story, and I'm reading again here, the industrial revolution stripped away
[00:05:29.520 --> 00:05:34.960]   those last vestiges of variation in our work efforts. The powered mill followed by the factory
[00:05:34.960 --> 00:05:41.200]   made every day a harvest day. Continuous monotonous labor that never alters. Gone were the seasonal
[00:05:41.200 --> 00:05:46.240]   changes and since making rituals. Marks for all his flaws and overreach hit on something deep with his
[00:05:46.240 --> 00:05:53.440]   theory of entrefundung. I said that perfectly, Jesse, by the way. Estrangement, which argued
[00:05:53.440 --> 00:05:58.720]   that the industrial order alienated us from our business, our basic human nature. The workers
[00:05:58.720 --> 00:06:03.120]   eventually inevitably fought back against this grim situation. They pushed for reform legislation like
[00:06:03.120 --> 00:06:08.160]   the Fair Labor Standards Act passed by the U.S. Congress in 1938, which fixed 40 hours as a standard
[00:06:08.160 --> 00:06:12.560]   work week, limiting the fraction of the day that could be snared a monotonous effort without extra pay.
[00:06:12.560 --> 00:06:17.600]   They also formed labor unions as a counterbalance to the more dehumanizing aspects of industrialization.
[00:06:17.600 --> 00:06:21.440]   All right. So what happens next is the factory in the mill is a brand new thing where we said,
[00:06:21.440 --> 00:06:25.920]   not only are you going to work all day long at equal intensity, there are no seasons anymore.
[00:06:25.920 --> 00:06:34.880]   The textile mill doesn't care if it's January versus June. Now, all year round, there's not going to be
[00:06:34.880 --> 00:06:41.760]   a change. What I'm arguing here in the book is that this was deranging for people. This was like
[00:06:41.760 --> 00:06:47.600]   really difficult. It's not what our species evolved to do, to hard work all day long without change all
[00:06:47.600 --> 00:06:54.800]   year round. Very unnatural. And so we had to, at least to make it bearable, get things like reform
[00:06:54.800 --> 00:07:01.520]   legislation and labor unions to at least try to have like some pushback there. Finally, we get the
[00:07:01.520 --> 00:07:06.960]   knowledge work, which brings us to what us as our audience, you know, to our world. So let me read
[00:07:06.960 --> 00:07:12.320]   here briefly. Then knowledge work entered the scene as a major economic sector. The managerial class
[00:07:12.320 --> 00:07:16.800]   didn't know how to handle the autonomy and variety of jobs of this new sector. Their stopgap response
[00:07:16.800 --> 00:07:22.160]   was pseudo productivity, which used visible activity as a proxy for usefulness. Under this new configuration,
[00:07:22.160 --> 00:07:26.960]   we took another step backward. As in the industrial sector, we continued to work all day, every day,
[00:07:26.960 --> 00:07:32.480]   without seasonal changes, as any such variation would now be received as non-productiveness. But unlike in the
[00:07:32.480 --> 00:07:38.880]   industrial sector, in this invisible factory, we'd constructed for ourselves, we didn't have reformed
[00:07:38.880 --> 00:07:43.840]   legislation or unions to identify the most draining aspects of the setup and fight for limits. Knowledge
[00:07:43.840 --> 00:07:49.200]   work was free to totalize our existence, colonizing as much of our time from evenings to weekends to
[00:07:49.200 --> 00:07:54.800]   vacations as we could bear, and leaving little recourse beyond burnout or demotion or quitting when it became
[00:07:55.440 --> 00:08:01.520]   too much. Our estrangement from the rhythms of work that dominated the first 280,000 years of our species
[00:08:01.520 --> 00:08:07.840]   existence was now complete. So the argument I'm making there is that we've sort of invented, when it comes
[00:08:07.840 --> 00:08:14.080]   to knowledge work, the most unnatural possible way of approaching work. It is as far as we have ever
[00:08:14.080 --> 00:08:19.920]   been as a species away from how we spent most of our time as a species. Kind of had this steady march away
[00:08:19.920 --> 00:08:25.840]   from the way we were wired to exist for the Paleolithic. Agriculture made it a little farther
[00:08:25.840 --> 00:08:29.840]   from that. The Industrial Revolution was even farther from that, and we had to bring in protection so that
[00:08:29.840 --> 00:08:33.840]   at least it didn't overwhelm us, and at least we recognized, "Hey, this is really unnatural, so you
[00:08:33.840 --> 00:08:38.800]   better pay us well and extra pay, and we're going to push back." And then knowledge work got rid of all
[00:08:38.800 --> 00:08:43.760]   that and just left with the really unnatural pace, and everyone now pretended like this was good though,
[00:08:43.760 --> 00:08:50.320]   and this was somehow like what it meant to be productive. So seasonality pushes back against that.
[00:08:50.320 --> 00:08:55.120]   It goes back towards our agricultural roots and even farther back to our forager roots where it says we
[00:08:55.120 --> 00:08:59.360]   have busier periods and less busier periods, a busy time of year and a less busy time of year.
[00:08:59.360 --> 00:09:04.320]   When you better match the natural rhythms for which we're wired, your life becomes more tolerable and
[00:09:04.320 --> 00:09:10.400]   sustainable, and over time you produce better quality work because when you're in this unnatural
