
[00:00:00.000 --> 00:00:03.000]   The friend ship recession.
[00:00:03.000 --> 00:00:06.860]   Are we in a friend ship recession?
[00:00:06.860 --> 00:00:08.420]   If so, is it a problem?
[00:00:08.420 --> 00:00:11.440]   And if it's a problem, what's the right way to solve it?
[00:00:11.440 --> 00:00:16.100]   What's the right way to build from scratch a robust series
[00:00:16.100 --> 00:00:17.120]   of friendships in your life?
[00:00:17.120 --> 00:00:20.560]   This seems really tightly connected to our broader vision and living a
[00:00:20.560 --> 00:00:23.460]   deeper life in a distracted world, especially in a world where we have
[00:00:23.460 --> 00:00:27.240]   these social apps and text messaging tools that give us the illusion
[00:00:27.240 --> 00:00:28.400]   of being connected to people.
[00:00:28.980 --> 00:00:31.860]   But don't trick our brain into thinking that we're actually being social.
[00:00:31.860 --> 00:00:34.160]   Real friends matter now than they ever have before.
[00:00:34.160 --> 00:00:37.960]   So in order to talk about this, I'm going to bring on a special guest.
[00:00:37.960 --> 00:00:41.960]   That's a long time, a friend of mine and a long time friend of the show.
[00:00:41.960 --> 00:00:45.160]   It's a comedian and podcaster, Jamie Kilstein.
[00:00:45.160 --> 00:00:48.960]   I'm bringing him on because he recently went through a process of building up.
[00:00:48.960 --> 00:00:53.680]   A robust group of male friendships in his forties.
[00:00:53.680 --> 00:00:58.640]   So I figured he would have a lot to teach us about what worked and what didn't.
[00:00:59.240 --> 00:01:03.100]   So let's get Jamie on the line now to talk about the friendship recession.
[00:01:03.100 --> 00:01:05.580]   Jamie, I brought you on because, you know, we were actually just
[00:01:05.580 --> 00:01:09.500]   talking about this topic offline and I was thinking, wait a second, save it.
[00:01:09.500 --> 00:01:13.700]   Let's do this in public because I guess that's what we do these days.
[00:01:13.700 --> 00:01:14.820]   Everything is in public.
[00:01:14.820 --> 00:01:18.640]   So anyways, thanks for coming on and helping me figure out this topic.
[00:01:18.640 --> 00:01:21.880]   Now, is that term though, friendship recession, is that one you had heard,
[00:01:21.880 --> 00:01:24.780]   or is that just us being geeky?
[00:01:24.780 --> 00:01:27.800]   Yeah, I was going to say, I haven't heard it because I have friends that I'm
[00:01:27.800 --> 00:01:30.700]   hanging out with and not reading your dorky newspapers.
[00:01:30.700 --> 00:01:37.460]   Uh, no, it, uh, uh, it makes, it's something that I haven't heard that term,
[00:01:37.460 --> 00:01:43.160]   but when you said it, it hit me so hard in my heart that I was like, oh yeah, that.
[00:01:43.160 --> 00:01:46.640]   I mean, I think about, it just automatically made me think about the
[00:01:46.640 --> 00:01:52.660]   years I was just drowning and didn't even think about the fact that I had like.
[00:01:53.140 --> 00:01:59.480]   No male friends and that I was just trying to fill the void with everything else,
[00:01:59.480 --> 00:02:01.780]   you know, girls career, you know, whatever.
[00:02:01.780 --> 00:02:05.460]   Um, and yeah, so I mean, it, it, it makes total sense.
[00:02:05.460 --> 00:02:08.600]   Um, but I also think there's some easy fixes we can get into.
[00:02:08.600 --> 00:02:10.440]   Um, but yeah, I'm here for it.
[00:02:10.440 --> 00:02:12.720]   And I'm also glad you introduced me as your friend, because that would have
[00:02:12.720 --> 00:02:15.340]   been a real sad turn to this segment.
[00:02:15.340 --> 00:02:20.600]   Or, or my, or just my only friend, maybe that would have set the segment up better.
[00:02:21.040 --> 00:02:25.980]   Although dude, I do feel like podcasters, I don't want to get too, uh, too esoteric,
[00:02:25.980 --> 00:02:28.480]   but I do feel like we make our friends.
[00:02:28.480 --> 00:02:30.820]   I mean, this will tie into actually social.
[00:02:30.820 --> 00:02:34.500]   I mean, I think a lot of people have convinced themselves that if they talk to
[00:02:34.500 --> 00:02:39.160]   a lot of people on Twitter or social media, that they're actual friends and it's
[00:02:39.160 --> 00:02:44.220]   like, or I mean, even like girls on only fans and it's like, no, that is not a
[00:02:44.220 --> 00:02:45.560]   real connection, it's artificial.
[00:02:45.560 --> 00:02:50.460]   And even for us, for podcasters, you know, I consider guys friends.
[00:02:50.780 --> 00:02:53.140]   And then I realized I've just podcasted with them.
[00:02:53.140 --> 00:02:53.940]   Right.
[00:02:53.940 --> 00:03:01.420]   Frequent guest on your podcast does not equate to a male, male friendship.
[00:03:01.420 --> 00:03:03.940]   Like I've been on your show like four times, like, come on, we're best friends.
[00:03:03.940 --> 00:03:07.700]   Um, let me show you, I'll show you, let me show you the actual
