
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:13.760]   - Welcome back to Ask the Compound.
[00:00:13.760 --> 00:00:17.480]   Our email here is askthecompoundshow@gmail.com.
[00:00:17.480 --> 00:00:18.600]   Great questions as always.
[00:00:18.600 --> 00:00:21.040]   We got our first audio question this week,
[00:00:21.040 --> 00:00:21.880]   which we're very excited about.
[00:00:21.880 --> 00:00:23.140]   - Exciting.
[00:00:23.140 --> 00:00:25.760]   - Today's show is sponsored by Future Proof.
[00:00:25.760 --> 00:00:28.680]   Futureproof.advisorscircle.com.
[00:00:28.680 --> 00:00:30.600]   Got a couple things were mentioned here.
[00:00:30.600 --> 00:00:31.760]   The Hyatt is already sold out.
[00:00:31.760 --> 00:00:34.200]   The rest of the hotel rooms are selling out fast.
[00:00:34.200 --> 00:00:36.960]   So hurry up and get there and book your hotel
[00:00:36.960 --> 00:00:38.800]   because you're not gonna have a spot.
[00:00:38.800 --> 00:00:39.960]   I think there's like four hotels there.
[00:00:39.960 --> 00:00:41.260]   I liked the Paseo last time.
[00:00:41.260 --> 00:00:42.100]   That was my favorite. - That was cool.
[00:00:42.100 --> 00:00:42.940]   I liked that, yeah.
[00:00:42.940 --> 00:00:44.400]   - There's plenty of good ones.
[00:00:44.400 --> 00:00:49.400]   Qualifying advisors, $200 off at futureproof.advisorscircle.com/downtown.
[00:00:49.400 --> 00:00:52.360]   We're going to have a live Animal Spirits there.
[00:00:52.360 --> 00:00:54.820]   We're gonna have a live Compound and Friends there.
[00:00:54.820 --> 00:00:57.480]   We're gonna have a live Ask the Compound there.
[00:00:57.480 --> 00:00:58.320]   It's gonna be great.
[00:00:58.320 --> 00:00:59.880]   Gonna be tons of good speakers.
[00:00:59.880 --> 00:01:03.720]   Good food, good drinks, good weather, good scenery.
[00:01:03.720 --> 00:01:05.480]   It's gonna be, and plus for me living in Michigan,
[00:01:05.480 --> 00:01:06.740]   it's like an extension of summer
[00:01:06.740 --> 00:01:09.580]   'cause it happens in, what, the middle of September?
[00:01:09.580 --> 00:01:11.200]   - Right. - And so it's another way
[00:01:11.200 --> 00:01:13.380]   to like keep that summer going a little bit.
[00:01:13.380 --> 00:01:14.680]   - Also, yeah. - Great time.
[00:01:14.680 --> 00:01:16.480]   - Hit the Rocky, hit the Rocky video.
[00:01:16.480 --> 00:01:19.840]   Maybe, maybe this will jog some memories
[00:01:19.840 --> 00:01:22.560]   from our long time Animal Spirits viewers.
[00:01:22.560 --> 00:01:25.640]   But last year we had Mike and Ben do the Rocky,
[00:01:25.640 --> 00:01:26.680]   the classic Rocky scene.
[00:01:26.680 --> 00:01:28.160]   So yeah, we're already thinking about
[00:01:28.160 --> 00:01:29.080]   what we're gonna do this year.
[00:01:29.080 --> 00:01:30.980]   So keep your eyes peeled. - Rocking Apollo on the beach.
[00:01:30.980 --> 00:01:32.480]   Yeah, that was, I still can't believe
[00:01:32.480 --> 00:01:33.320]   you guys talked me into doing that.
[00:01:33.320 --> 00:01:35.880]   - My favorite part is this one.
[00:01:35.880 --> 00:01:37.920]   - Yeah, we really did it.
[00:01:37.920 --> 00:01:39.720]   All right, let's do our first question.
[00:01:39.720 --> 00:01:44.720]   - Okay, up first today we have a question from,
