
[00:00:00.040 --> 00:00:10.500]   Bou just in the
[00:00:10.500 --> 00:00:27.240]   5
[00:01:52.680 --> 00:02:04.280]   and
[00:02:04.280 --> 00:02:21.060]   это in the product,,,,,
[00:02:50.840 --> 00:02:50.840]   and
[00:04:18.140 --> 00:04:18.140]   and
[00:04:41.660 --> 00:04:47.240]   and what they call the military specifications for the weapon became public and what that did for the industry was it gave everybody the same foundation to build on so if you can imagine proprietary designs only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own when they're designing a weapon and they're making a design with the same foundation that they were building on so it's a very, very important point to consider as well.
[00:04:47.240 --> 00:04:47.240]   If you can imagine proprietary designs only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own.
[00:04:47.240 --> 00:04:47.240]   If you can imagine proprietary designs only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own.
[00:04:47.240 --> 00:04:47.240]   If you can imagine proprietary designs only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own.
[00:04:47.260 --> 00:05:16.340]   if you can imagine proprietary designs only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own.
[00:05:16.340 --> 00:05:16.340]   If you can imagine proprietary designs only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own.
[00:05:16.340 --> 00:05:16.340]   If you can imagine proprietary designs only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own.
[00:05:16.340 --> 00:05:16.340]   If you can imagine proprietary designs only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own.
[00:05:16.340 --> 00:05:16.360]   If you can imagine military specifications only the manufacturer would really know all the details and everybody else kind of has to figure it out on their own.
[00:05:16.400 --> 00:05:24.220]  ミ
[00:05:24.220 --> 00:05:27.680]   seem the is
[00:05:27.680 --> 00:05:29.720]  这 complexities isn. I, that, the,,,,,,,,,it dalam
[00:05:29.720 --> 00:05:34.420]   Mmmm
[00:05:34.420 --> 00:05:45.300]   ac
[00:07:14.740 --> 00:07:16.500]   is a really great illustration of what happens with the free market when it's allowed to do its thing. Right, right. So you can, with the AR platform, you could buy anything from, I mean, what would you say is in current market as we record this in end of February 2018, I would say current market price, the last gun show I went to for a completed put together a complete AR ready to shoot out of the box. We're not talking about a parted kitted one that you build your own.
[00:07:16.500 --> 00:07:16.520]   .
[00:07:16.520 --> 00:07:16.520]   .
[00:07:16.520 --> 00:07:16.520]   .
[00:07:16.560 --> 00:07:23.380]   didnt
[00:07:23.380 --> 00:07:27.340]   in the BUTGG
[00:07:27.340 --> 00:07:27.580]   flickFi
[00:07:27.580 --> 00:07:42.900]   at down de financi 이용 gan all days, and, and, I, and, and, but, and, and, Ren. I, M. I, X. Haven Er. Or. extingende.лю premium sweaty adjustable
[00:07:42.900 --> 00:07:44.240]   100.
[00:07:44.240 --> 00:07:44.740]   provide an,
[00:07:44.740 --> 00:07:46.500]  ..., 100., old., other, continue to level, receive,int, dann, contrib,, run, cook, change, bring, зв, chie,�,んだ, à, defensive,best, invest,Mat,AT .G. 01:,ot. receive,gary, ÄrG.
[00:07:46.560 --> 00:07:50.580]   And that's not even necessarily the cheapest way to put a rifle together.
[00:07:50.580 --> 00:07:52.980]   Because you can buy.
[00:07:52.980 --> 00:07:58.380]   So again, the actual firearm is considered, but for legislation, what's called lower receiver.
[00:07:58.380 --> 00:08:01.880]   You could buy a mil spec lower receiver for what?
[00:08:01.880 --> 00:08:03.780]   The 40 bucks.
[00:08:03.780 --> 00:08:06.280]   Yeah, they've been around 40, $50 for quite a while.
[00:08:06.280 --> 00:08:06.680]   Right.
[00:08:06.680 --> 00:08:12.380]   And so this is not, if you're not a, if you're not familiar with the design, not familiar with the platform, not familiar with guns.
[00:08:12.380 --> 00:08:16.560]   When I say lower receiver, this is not something that you can.
[00:08:16.700 --> 00:08:46.580]  , actually.
[00:08:46.580 --> 00:08:46.580]   It's not something that you can actually put a bullet in and pull the trigger.
[00:08:46.580 --> 00:08:46.580]   That has a little mechanism in it and you just pay 40 bucks for that. You have to add. Yeah, it's literally a piece of metal with holes drilled in the right places in the right shape, but it has a serial number on it and that's what's considered legally the firearm and so probably the cheapest way to do it is to build it yourself. You can put together a kit, you buy the lower receiver and the way the law works is basically to build it yourself. You can put together a kit, you buy the lower receiver and the way the law works is basically to build it yourself.
[00:08:46.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:16.600]   The way the law works is basically to build it yourself.
[00:09:16.600 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.620 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.620 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.620 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.620 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.620 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.620 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.620 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.620 --> 00:09:46.620]   The way the law works is basically to build it yourself.
[00:09:46.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
[00:10:16.640 --> 00:10:16.640]   The way the law works is basically to build it yourself.
