
[00:00:00.000 --> 00:00:01.880]   Hey, everybody, welcome back.
[00:00:01.880 --> 00:00:05.440]   Besties are back, and it's a Bestie SPACsgiving.
[00:00:05.440 --> 00:00:10.800]   Congratulations to the Queen of Quinoa.
[00:00:10.800 --> 00:00:15.380]   His second company, David Freeberg, announces today,
[00:00:15.380 --> 00:00:18.900]   hours before the taping of this special Thanksgiving pod,
[00:00:18.900 --> 00:00:22.620]   that he is taking Metro Mile public through a SPAC,
[00:00:22.620 --> 00:00:27.320]   and that Bestie C, and here is the quote,
[00:00:28.260 --> 00:00:30.180]   that as only Chamath can tweet,
[00:00:30.180 --> 00:00:32.160]   Buffett had Geico.
[00:00:32.160 --> 00:00:33.840]   I pick Metro Mile.
[00:00:33.840 --> 00:00:36.660]   Unbelievable.
[00:00:36.660 --> 00:00:38.020]   I would just like to say.
[00:00:38.020 --> 00:00:39.280]   That's how you move markets.
[00:00:39.280 --> 00:00:43.820]   LeBron James has three rings.
[00:00:43.820 --> 00:00:47.600]   Freeberg, tell us, what is Metro Mile?
[00:00:47.600 --> 00:00:52.320]   Well, this isn't a self-promoting podcast, is it?
[00:00:52.320 --> 00:00:55.520]   No, but I think it's just, you know, it's your second company.
[00:00:55.520 --> 00:00:57.280]   I started the company in 2011,
[00:00:57.280 --> 00:00:58.240]   when I was running Clemson.
[00:00:58.280 --> 00:01:00.240]   I was the CEO of Climate when I was the CEO there.
[00:01:00.240 --> 00:01:05.080]   And, you know, we were, Climate was offering insurance at the time.
[00:01:05.080 --> 00:01:07.600]   We learned a lot about the insurance markets and figured like,
[00:01:07.600 --> 00:01:11.520]   hey, you know, telematics or connecting cars to the internet is going to be a big deal.
[00:01:11.520 --> 00:01:14.860]   And we're going to be able to completely change the auto insurance industry.
[00:01:14.860 --> 00:01:16.220]   So we set up this company.
[00:01:16.220 --> 00:01:20.500]   I was the chairman from the founding in 2011.
[00:01:20.500 --> 00:01:26.620]   And, you know, been chairman and I've been an active investor in the business and every round since then.
[00:01:26.620 --> 00:01:27.880]   So.
[00:01:27.880 --> 00:01:33.960]   The business has built some, you know, really compelling value proposition for customers.
[00:01:33.960 --> 00:01:40.440]   And, you know, it's got really good unit economics and it's, you know, needed its last round of capital to get profitable.
[00:01:40.440 --> 00:01:47.840]   And it turns out, you know, as we were thinking about that this summer, that a SPAC was a really good path for the business, given the inflection point it's at.
[00:01:47.840 --> 00:01:55.960]   And the basic premise of the business is instead of paying for insurance by month or time period, the innovation here is you pay per month.
[00:01:55.960 --> 00:01:56.460]   Yeah.
[00:01:56.460 --> 00:01:56.960]   Yeah.
[00:01:56.960 --> 00:01:59.560]   The reason you're paying for insurance today is you pay per mile.
[00:01:59.560 --> 00:02:00.020]   Yeah.
[00:02:00.020 --> 00:02:03.940]   Insurance today is like, you know, you fill out a form and you get a price for insurance.
[00:02:03.940 --> 00:02:05.900]   You pay that rate for six months of coverage.
[00:02:05.900 --> 00:02:10.820]   But, you know, depending on when you're driving and how much you're driving, you should be paying a different price.
[00:02:10.820 --> 00:02:11.100]   Right.
[00:02:11.100 --> 00:02:14.760]   So we, we kind of changed the model to a rate per mile.
[00:02:14.760 --> 00:02:19.640]   And so if you don't drive, you save, you know, so the average customer doesn't drive a lot with MetroMile.
[00:02:19.640 --> 00:02:24.080]   They save 47% over what they were paying with like Geico or Progressive Reassurance.
[00:02:24.080 --> 00:02:26.040]   And you do that with that ODB.
[00:02:26.040 --> 00:02:27.240]   Yeah, the little plug-in device.
[00:02:27.240 --> 00:02:39.060]   And increasingly, we're actually doing it directly by connecting to cars direct through Ford and a couple other big automotive OEMs now have this ability to send the data directly out of the car because they're all internet connected now.
[00:02:39.060 --> 00:02:47.500]   So, so that allows us to just basically, you know, see how many miles you're driving and the rate per mile is what we bill you each month times the number of miles you drove on your, on your car.
[00:02:47.500 --> 00:02:50.200]   And you didn't mention how you drive.
[00:02:50.200 --> 00:02:53.600]   I think that was a controversial concept for a while.
[00:02:53.600 --> 00:02:55.280]   You know, if you speed, if you.
[00:02:55.280 --> 00:02:55.680]   Right.
[00:02:55.680 --> 00:02:58.520]   So we even, is that on the roadmap or no?
[00:02:58.520 --> 00:03:00.120]   Yeah, that, that, that is part of it today.
[00:03:00.120 --> 00:03:06.200]   But frankly, 70% of the price difference you get in auto insurance is from the number of miles you drive.
[00:03:06.200 --> 00:03:08.720]   And only 30% is really in this variance around behavior.
[00:03:08.720 --> 00:03:11.040]   You know, most people are generally pretty good drivers.
[00:03:11.040 --> 00:03:12.240]   So believe it or not.
