
[00:00:00.000 --> 00:00:02.600]   Yeah.
[00:00:02.600 --> 00:00:06.440]   OK, now it's been recorded.
[00:00:06.440 --> 00:00:11.260]   So I all of a sudden feel nervous.
[00:00:11.260 --> 00:00:12.140]   OK, yeah.
[00:00:12.140 --> 00:00:15.560]   So what do we want to do today?
[00:00:15.560 --> 00:00:17.680]   So I could just go ahead and just go
[00:00:17.680 --> 00:00:21.600]   through a lot of live coding in Excel.
[00:00:21.600 --> 00:00:23.800]   I'm going to show you how we can build deep learning
[00:00:23.800 --> 00:00:27.820]   architecture from Transformer to a lot of new stuff.
[00:00:27.820 --> 00:00:30.320]   Or do you also want to take steps to take questions?
[00:00:30.320 --> 00:00:34.460]   How interactive is this session supposed to be?
[00:00:34.460 --> 00:00:35.560]   It gets pretty interactive.
[00:00:35.560 --> 00:00:37.520]   People talk in chat.
[00:00:37.520 --> 00:00:39.760]   If there's anything interesting, one of us
[00:00:39.760 --> 00:00:41.900]   will let you know, or people might unmute.
[00:00:41.900 --> 00:00:43.720]   But pretty free-flowing.
[00:00:43.720 --> 00:00:45.540]   I think we do it the same way.
[00:00:45.540 --> 00:00:47.660]   We don't really look that deep into benchmarks.
[00:00:47.660 --> 00:00:48.440]   We kind of skip that.
[00:00:48.440 --> 00:00:49.980]   People can look at numbers themselves.
[00:00:49.980 --> 00:00:51.760]   But it's fairly interactive.
[00:00:51.760 --> 00:00:52.260]   Sounds good.
[00:00:52.260 --> 00:00:55.460]   We'll try to be interactive as if I'm teaching.
[00:00:55.460 --> 00:00:56.580]   This is more like a club.
[00:00:56.580 --> 00:00:58.460]   It's more a club rather than lecture.
[00:00:58.460 --> 00:00:59.920]   So I want to be more interactive.
[00:00:59.920 --> 00:01:02.420]   I'll stop and I'll take questions.
[00:01:02.420 --> 00:01:05.260]   And I'll also ask questions to you, too.
[00:01:05.260 --> 00:01:08.400]   So you have a lot of things you know better than I do.
[00:01:08.400 --> 00:01:12.140]   So what I want to share is my live Excel spreadsheet.
[00:01:12.140 --> 00:01:16.800]   So I've been using this a lot to teach deep learning architecture.
[00:01:16.800 --> 00:01:23.480]   And so this is sort of my plan to take you from vision transformer to LAMA 1, 2, 3, 4.
[00:01:23.480 --> 00:01:30.860]   And as I said, a few of these things are being introduced you might have heard of or read about often at the paper.
[00:01:30.860 --> 00:01:43.040]   So we'd like to talk about ROPE, talk about IMS, NORM, talk about group query attention, LAMA 2, and flash attention, interleave attention for LAMA 4, mixture of expert.
[00:01:43.040 --> 00:01:51.720]   A bit more like high-level, well, I wouldn't say high-level, it's an Excel-level overview of what is happening, some live coding.
[00:01:51.720 --> 00:02:00.400]   And so I would like you to go to, I actually prepared a link for you to download, to help access to the spreadsheet very easily.
[00:02:00.400 --> 00:02:02.820]   Let me just, let me just find the link.
