
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:00:01.000 --> 00:00:02.000]   [GLASS BREAKING]
[00:00:02.000 --> 00:00:03.000]   [SIGH]
[00:00:03.000 --> 00:00:06.000]   Shop break-resistant glassware at wineenthusiast.com
[00:00:06.000 --> 00:00:07.000]   so you can spend more time--
[00:00:07.000 --> 00:00:08.000]   [DING]
[00:00:08.000 --> 00:00:09.000]   --and less time--
[00:00:09.000 --> 00:00:10.000]   [GLASS BREAKING]
[00:00:10.000 --> 00:00:12.000]   --ugh, I'll get the broom.
[00:00:12.000 --> 00:00:14.000]   Shop our Black Friday and Cyber Monday deals
[00:00:14.000 --> 00:00:17.000]   for the best prices of the season on wine storage, gifts,
[00:00:17.000 --> 00:00:18.000]   and more.
[00:00:18.000 --> 00:00:21.000]   Plus, get free shipping on orders of $99 and more.
[00:00:21.000 --> 00:00:24.000]   At wineenthusiast.com, we bring wine to life.
[00:00:24.000 --> 00:00:25.000]   [DING]
[00:00:25.000 --> 00:00:26.000]   Exclusions apply.
[00:00:26.000 --> 00:00:27.000]   See website for details.
[00:00:27.000 --> 00:00:28.000]   [DING]
[00:00:28.000 --> 00:00:31.000]   Just an ordinary couple, relatively middle class,
[00:00:31.000 --> 00:00:35.000]   mainstream, but well on their way to financial independence.
[00:00:35.000 --> 00:00:40.000]   And my interviewee today has some valuable lessons
[00:00:40.000 --> 00:00:44.000]   to share about what's worked, what hasn't worked,
[00:00:44.000 --> 00:00:48.000]   and what they wish they had done differently on their path
[00:00:48.000 --> 00:00:49.000]   to financial independence.
[00:00:49.000 --> 00:00:52.000]   [MUSIC PLAYING]
[00:00:53.000 --> 00:00:56.000]   Welcome to the Radical Personal Finance Podcast.
[00:00:56.000 --> 00:00:58.000]   My name is Joshua Sheets, and I'm your host.
[00:00:58.000 --> 00:01:02.000]   Today is Thursday, November 6, 2014.
[00:01:02.000 --> 00:01:04.000]   This is episode 97 of the show.
[00:01:04.000 --> 00:01:06.000]   Today, I'm going to be interviewing Chris
[00:01:06.000 --> 00:01:08.000]   from eatthefinancialelephant.com.
[00:01:08.000 --> 00:01:10.000]   Chris, I know you're a big fan of the show.
[00:01:10.000 --> 00:01:12.000]   I'm sure you're excited to be here.
[00:01:12.000 --> 00:01:13.000]   And I'm excited to be here.
[00:01:13.000 --> 00:01:15.000]   So I want to start by saying, Chris,
[00:01:15.000 --> 00:01:16.000]   thank you for being here.
[00:01:16.000 --> 00:01:17.000]   I'm really excited to be here.
[00:01:17.000 --> 00:01:19.000]   And I'm excited to be interviewing you, too.
[00:01:19.000 --> 00:01:21.000]   Today, I'm going to be interviewing Chris
[00:01:21.000 --> 00:01:23.000]   from eatthefinancialelephant.com.
[00:01:23.000 --> 00:01:25.000]   Chris and his family, they're just ordinary people,
[00:01:25.000 --> 00:01:27.000]   relatively mainstream, middle class professionals,
[00:01:27.000 --> 00:01:30.000]   living a fairly mainstream-looking lifestyle.
[00:01:30.000 --> 00:01:33.000]   But they're well on their way to financial independence.
[00:01:33.000 --> 00:01:35.000]   Chris is going to share some of the stories,
[00:01:35.000 --> 00:01:36.000]   some of the things they've learned,
[00:01:36.000 --> 00:01:38.000]   some of the things that have helped them,
[00:01:38.000 --> 00:01:40.000]   and some of the mistakes they've made.
[00:01:40.000 --> 00:01:41.000]   It's a great interview.
[00:01:41.000 --> 00:01:43.000]   I hope you enjoy it.
[00:01:43.000 --> 00:01:46.000]   Chris is someone who has reached out on the show to me.
[00:01:46.000 --> 00:01:48.000]   And he reached out to me and said, hey,
[00:01:48.000 --> 00:01:50.000]   can you come on the show and share my story?
[00:01:50.000 --> 00:01:52.000]   And I've looked around a little bit of his site.
[00:01:52.000 --> 00:01:55.000]   It first came to my attention because he'd linked over to my show a couple of times.
[00:01:55.000 --> 00:01:57.000]   So I was able to see some of the things that he'd written about my show
[00:01:57.000 --> 00:01:59.000]   and that it was being helpful for him.
[00:01:59.000 --> 00:02:01.000]   And this is a compliment.
