
[00:00:00.000 --> 00:00:06.900]   [APPLAUSE]
[00:00:06.900 --> 00:00:11.480]   Which brings us to number six.
[00:00:11.480 --> 00:00:12.120]   How am I doing?
[00:00:12.120 --> 00:00:13.200]   Good?
[00:00:13.200 --> 00:00:14.240]   Good, thanks.
[00:00:14.240 --> 00:00:18.480]   Number six, use index funds when possible.
[00:00:18.480 --> 00:00:20.400]   Why when possible?
[00:00:20.400 --> 00:00:23.280]   Because it's not always possible.
[00:00:23.280 --> 00:00:25.880]   I mean, there are people, I'm sure, in this room who
[00:00:25.880 --> 00:00:29.200]   belong to a 403(b) plan of some sort,
[00:00:29.200 --> 00:00:31.120]   and it's a horrendous plan.
[00:00:31.120 --> 00:00:33.720]   And all they have is actively managed funds.
[00:00:33.720 --> 00:00:35.280]   And you can't get an index fund.
[00:00:35.280 --> 00:00:37.640]   Or maybe there's just one index fund available,
[00:00:37.640 --> 00:00:40.080]   and it's an S&P 500 fund, perhaps.
[00:00:40.080 --> 00:00:43.640]   So when possible, though, use index funds.
[00:00:43.640 --> 00:00:45.560]   And I'm going to explain why.
[00:00:45.560 --> 00:00:48.080]   First, before I do that, I have to explain
[00:00:48.080 --> 00:00:50.280]   what an index fund is.
[00:00:50.280 --> 00:00:53.240]   So this is how I like to explain.
[00:00:53.240 --> 00:00:55.600]   Again, I'm using pictures.
[00:00:55.600 --> 00:00:58.240]   On the left side, you have companies--
[00:00:58.240 --> 00:01:01.920]   Exxon, Apple, Home Depot, Google, whatever,
[00:01:01.920 --> 00:01:02.640]   hundreds of them.
[00:01:02.640 --> 00:01:06.440]   In fact, there are 4,200 companies in the United States.
[00:01:06.440 --> 00:01:09.960]   But these companies are publicly traded.
[00:01:09.960 --> 00:01:13.240]   They're publicly traded on a stock market, daily.
[00:01:13.240 --> 00:01:15.480]   Google trades, Apple trades, all these stocks
[00:01:15.480 --> 00:01:17.160]   are trading on a daily basis.
[00:01:17.160 --> 00:01:19.360]   Well, there are companies, such as Standard & Poor's,
[00:01:19.360 --> 00:01:20.960]   who keep track of all this trading,
[00:01:20.960 --> 00:01:23.120]   keep track of all these prices.
[00:01:23.120 --> 00:01:27.320]   And the big companies will weigh more in their index
[00:01:27.320 --> 00:01:30.720]   than the smaller companies or the tiny companies.
[00:01:30.720 --> 00:01:33.960]   So indexes are what's called capitalization weighting.
[00:01:33.960 --> 00:01:36.960]   The big companies have a much bigger weighting.
[00:01:36.960 --> 00:01:39.500]   And then the smaller companies have a much smaller weighting.
[00:01:39.500 --> 00:01:41.920]   So you get this tier down here.
[00:01:41.920 --> 00:01:46.400]   So obviously, Apple, Home Depot, Google, and so on,
[00:01:46.400 --> 00:01:49.880]   these are big weightings in the S&P 500.
[00:01:49.880 --> 00:01:51.080]   But they keep track of that.
[00:01:51.080 --> 00:01:53.560]   Because this is the capitalization weight
[00:01:53.560 --> 00:01:55.040]   of the stock market.
[00:01:55.040 --> 00:01:58.600]   So it is the investable universe.
[00:01:58.600 --> 00:02:02.680]   If you had money to invest in the market
[00:02:02.680 --> 00:02:05.240]   and you were looking for stocks to invest in,
[00:02:05.240 --> 00:02:08.340]   you'd go to the S&P 500 or go to the total stock market, which
[00:02:08.340 --> 00:02:09.920]   has 4,200.
[00:02:09.920 --> 00:02:14.540]   And it's the investable universe by market capitalization.
[00:02:14.540 --> 00:02:17.800]   Now, what companies like Vanguard did--
[00:02:17.800 --> 00:02:22.320]   and Vanguard did this, Jack Bogle did this back in 1976--
[00:02:22.320 --> 00:02:25.000]   they went to Standard & Poor's.
[00:02:25.000 --> 00:02:28.640]   And they said, we want to license your index.
[00:02:28.640 --> 00:02:31.000]   And Standard & Poor's David Blitzer,
[00:02:31.000 --> 00:02:33.680]   who happened to be the head of the index committee
[00:02:33.680 --> 00:02:35.460]   at the time, remembered the conversation.
[00:02:35.460 --> 00:02:37.080]   In fact, I did a podcast with David.
[00:02:37.080 --> 00:02:38.720]   And he remembered this conversation.
[00:02:38.720 --> 00:02:41.200]   He said, why would you want to do that?
[00:02:41.200 --> 00:02:43.080]   You want to create an index fund?
[00:02:43.080 --> 00:02:45.600]   And Vanguard, Jack Bogle said, yes.
[00:02:45.600 --> 00:02:49.720]   How much would you charge us to create an S&P 500 index fund?
[00:02:49.720 --> 00:02:52.480]   And S&P didn't know what the answer was.
[00:02:52.480 --> 00:02:57.080]   So they agreed on $25,000 was the fit.
[00:02:57.080 --> 00:03:01.040]   Well, little did they know what would happen next, right?
[00:03:01.040 --> 00:03:03.080]   Vanguard creates the Vanguard 500.
[00:03:03.080 --> 00:03:05.080]   At the time, it wasn't called the Vanguard 500.
[00:03:05.080 --> 00:03:06.460]   But they created that index fund.
[00:03:06.460 --> 00:03:08.080]   And they launched it out.
[00:03:08.080 --> 00:03:10.000]   Now, it took 10 years before that fund
[00:03:10.000 --> 00:03:11.400]   got a billion dollars in it.
[00:03:11.400 --> 00:03:14.480]   But as it grew and as S&P realized
[00:03:14.480 --> 00:03:18.560]   that this is really something, indexing,
[00:03:18.560 --> 00:03:20.560]   that they went back to Vanguard.
[00:03:20.560 --> 00:03:22.200]   And they renegotiated the contract.
[00:03:22.200 --> 00:03:24.940]   And a few years later, Vanguard actually left S&P
[00:03:24.940 --> 00:03:26.360]   and went to MSCI.
[00:03:26.360 --> 00:03:28.360]   And now they're at CRISP because S&P
[00:03:28.360 --> 00:03:29.520]   was charging too much money.
[00:03:29.520 --> 00:03:31.820]   There's nobody here from S&P. But I can say that.
[00:03:31.820 --> 00:03:33.200]   So I know the inside story.
[00:03:33.200 --> 00:03:35.440]   Anyway, so there's a big competitive market out there
[00:03:35.440 --> 00:03:36.280]   for these indexes.
[00:03:36.280 --> 00:03:37.240]   But this is an index.
[00:03:37.240 --> 00:03:39.080]   So you end up with an S&P 500, which
[00:03:39.080 --> 00:03:41.360]   tracks those 500 stocks, which are tracking
[00:03:41.360 --> 00:03:43.760]   the big stocks on the stock exchange, which those companies
[00:03:43.760 --> 00:03:44.860]   actually exist.
[00:03:44.860 --> 00:03:46.840]   And that's how they capitalize themselves.
[00:03:46.840 --> 00:03:48.080]   So that's an index.
[00:03:48.080 --> 00:03:50.160]   S&P 500 is just an example.
[00:03:50.160 --> 00:03:52.760]   Total market would be all 4,200.
[00:03:52.760 --> 00:03:55.360]   Then there are international stocks, same thing.
[00:03:55.360 --> 00:03:59.040]   6,500 or so stocks traded outside the US.
[00:03:59.040 --> 00:04:00.640]   Index is created the same way.
[00:04:00.640 --> 00:04:04.200]   And there are bonds, bond indices, treasury bonds,
[00:04:04.200 --> 00:04:06.680]   corporate bonds, mortgages, all put together
[00:04:06.680 --> 00:04:11.880]   into the Bloomberg Aggregate Corporate Bond Index.
[00:04:11.880 --> 00:04:15.560]   And I did a podcast with the people who run the index
[00:04:15.560 --> 00:04:18.720]   and also the people at Vanguard who run that fund.
[00:04:18.720 --> 00:04:20.680]   And it's really interesting to talk to the two.
[00:04:20.680 --> 00:04:23.280]   So there's all the indexes out there all over the place
[00:04:23.280 --> 00:04:24.960]   covering all kinds of asset classes.
[00:04:24.960 --> 00:04:27.200]   And you have a choice now.
[00:04:27.200 --> 00:04:29.400]   You didn't have it 45 years ago.
[00:04:29.400 --> 00:04:30.720]   But you have it now.
[00:04:30.720 --> 00:04:38.480]   You can either buy an index fund that tracks those indices,
[00:04:38.480 --> 00:04:40.440]   and it's at a very low fee.
[00:04:40.440 --> 00:04:45.320]   Or you can do the kind of the traditional thing
[00:04:45.320 --> 00:04:47.480]   50 years ago, 40 years ago, which
[00:04:47.480 --> 00:04:51.960]   is to try to pick a money manager or a mutual fund that
[00:04:51.960 --> 00:04:55.600]   is actively managed that's going to beat that index.
[00:04:55.600 --> 00:04:58.720]   So large cap US stock manager who's
[00:04:58.720 --> 00:05:02.160]   going to go out and try to beat the S&P 500.
[00:05:02.160 --> 00:05:05.400]   So you can either-- that's active management.
[00:05:05.400 --> 00:05:07.800]   And you can do this in international stocks and bonds
[00:05:07.800 --> 00:05:09.240]   and so forth.
[00:05:09.240 --> 00:05:10.560]   Now, here's the kicker.
[00:05:10.560 --> 00:05:13.760]   What has happened since Jack Bogle and Vanguard
[00:05:13.760 --> 00:05:15.520]   created the first index fund?
[00:05:15.520 --> 00:05:17.120]   And index funds have proliferated
[00:05:17.120 --> 00:05:19.480]   into all these other asset classes.
[00:05:19.480 --> 00:05:21.800]   My very first podcast was with Jack Bogle.
[00:05:21.800 --> 00:05:22.840]   And we talked about this.
[00:05:22.840 --> 00:05:26.520]   By 1996, Vanguard had a total stock market index fund,
[00:05:26.520 --> 00:05:30.680]   a total international stock index fund, a total bond market
[00:05:30.680 --> 00:05:31.640]   index fund.
[00:05:31.640 --> 00:05:35.080]   And it had a REIT index fund, Real Estate Investment Trust.
[00:05:35.080 --> 00:05:39.240]   So pretty much had the four core four type portfolio of index
[00:05:39.240 --> 00:05:42.080]   funds, all available at Vanguard, all low cost.
[00:05:42.080 --> 00:05:45.480]   And how have those funds performed
[00:05:45.480 --> 00:05:48.320]   relative to the actively managed funds that were
[00:05:48.320 --> 00:05:49.920]   trying to beat those indices?
