
[00:00:00.040 --> 00:00:09.680]  amental
[00:00:09.680 --> 00:00:10.740]   right the lo is TIME C I
[00:00:10.740 --> 00:00:11.640]   VS R, give, because,�,,,,,, work 악 CNC чет legit
[00:00:11.640 --> 00:00:18.980]   In the top
[00:00:30.040 --> 00:01:00.040]   Корrector:
[00:01:00.040 --> 00:01:00.040]   The survival show that won't survive contemplating where the dollar in my pocket has been in this episode we sit down with your buddy joshua sheets of radical personal finance we discuss money the one thing a lot of preppers forget about howdy and welcome in the rabbit holes urban survival podcast this is episode number 272 i'm your host aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:00.040]   I'm your host Aaron and you are in the rabbit hole
[00:01:00.040 --> 00:01:30.060]   I'm your host Aaron and you are in the rabbit hole
[00:01:30.060 --> 00:01:30.060]   I'm your host Aaron and you are in the rabbit hole
[00:01:30.060 --> 00:01:30.060]   I'm your host Aaron and you are in the rabbit hole
[00:01:30.060 --> 00:01:30.060]   I'm your host Aaron and you are in the rabbit hole
[00:01:30.060 --> 00:01:30.060]   I'm your host Aaron and you are in the rabbit hole
[00:01:30.060 --> 00:01:30.060]   I'm your host Aaron and you are in the rabbit hole
[00:01:30.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole man
[00:02:00.080 --> 00:02:00.080]   I'm your host Aaron and you are in the rabbit hole man
[00:02:01.060 --> 00:02:30.100]   I'm your host Aaron and you are in the rabbit hole man
[00:02:30.100 --> 00:02:30.100]   I'm your host Aaron and you are in the rabbit hole man
[00:02:30.100 --> 00:02:30.100]   I'm your host Aaron and you are in the rabbit hole man
[00:02:30.100 --> 00:02:30.100]   I'm your host Aaron and you are in the rabbit hole man
[00:02:30.100 --> 00:02:30.100]   I'm your host Aaron and you are in the rabbit hole man
[00:02:30.100 --> 00:02:30.100]   I'm your host Aaron and you are in the rabbit hole man
[00:02:30.100 --> 00:02:30.100]   I'm your host Aaron and you are in the rabbit hole man
[00:02:30.100 --> 00:02:30.100]   I'm your host Aaron and you are in the rabbit hole man
[00:02:30.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:00.120]   I'm your host Aaron and you are in the rabbit hole man
[00:03:00.120 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.140 --> 00:03:30.140]   I'm your host Aaron and you are in the rabbit hole man
[00:03:30.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:00.160]   I'm your host Aaron and you are in the rabbit hole man
[00:04:00.160 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.180 --> 00:04:30.180]   I'm your host Aaron and you are in the rabbit hole man
[00:04:30.200 --> 00:05:00.200]   I'm your host Aaron and you are in the rabbit hole man
[00:05:00.200 --> 00:05:00.200]   I'm your host Aaron and you are in the rabbit hole man
[00:05:00.200 --> 00:05:00.200]   I'm your host Aaron and you are in the rabbit hole man
[00:05:00.200 --> 00:05:00.200]   I'm your host Aaron and you are in the rabbit hole man
[00:05:00.200 --> 00:05:00.200]   I'm your host Aaron and you are in the rabbit hole man
[00:05:00.200 --> 00:05:00.200]   I'm your host Aaron and you are in the rabbit hole man
[00:05:00.200 --> 00:05:00.200]   I'm your host Aaron and you are in the rabbit hole man
