
[00:00:00.000 --> 00:00:03.400]   [MUSIC PLAYING]
[00:00:03.400 --> 00:00:13.360]   Hopping back in to it directly, a reminder of the overall themes,
[00:00:13.360 --> 00:00:16.720]   structures, goals of this webinar series.
[00:00:16.720 --> 00:00:19.840]   The overall goal is to understand what math
[00:00:19.840 --> 00:00:21.560]   has to do with machine learning.
[00:00:21.560 --> 00:00:25.640]   And even though all programming involves math at some level in some way,
[00:00:25.640 --> 00:00:27.560]   we can always use the tools of mathematics
[00:00:27.560 --> 00:00:30.040]   to understand the programming that we're doing.
[00:00:30.040 --> 00:00:33.480]   Machine learning, because it's programming by optimization,
[00:00:33.480 --> 00:00:39.760]   really benefits from some strong grounding in mathematics.
[00:00:39.760 --> 00:00:43.040]   And so we're using the tools of mathematics
[00:00:43.040 --> 00:00:46.040]   to understand that optimization process that
[00:00:46.040 --> 00:00:47.840]   goes on during machine learning.
[00:00:47.840 --> 00:00:51.560]   There are basically three core ways that optimization and machine learning
[00:00:51.560 --> 00:00:54.400]   intersect in terms of the objects being optimized,
[00:00:54.400 --> 00:00:59.080]   in terms of how we optimize, and in terms of what we optimize.
[00:00:59.080 --> 00:01:01.360]   So we already talked about the objects being optimized
[00:01:01.360 --> 00:01:04.880]   by using linear algebra to understand that data and models are arrays,
[00:01:04.880 --> 00:01:07.920]   and linear operations on arrays is the linear algebra,
[00:01:07.920 --> 00:01:09.960]   and it's a part of the core of machine learning.
[00:01:09.960 --> 00:01:12.800]   Then we understood how we optimized with calculus, which
[00:01:12.800 --> 00:01:15.560]   means we basically make tiny changes using
[00:01:15.560 --> 00:01:18.160]   this framework of linear approximation.
[00:01:18.160 --> 00:01:22.240]   And then finally, now, we're going to understand just what it is exactly
[00:01:22.240 --> 00:01:23.520]   that we are optimizing.
[00:01:23.520 --> 00:01:25.240]   Very loosely up to this point, I've said
[00:01:25.240 --> 00:01:27.840]   that we're improving the performance of our model,
[00:01:27.840 --> 00:01:30.240]   but that's not very quantitative at all.
[00:01:30.240 --> 00:01:33.000]   And so we're going to see that actually what we're optimizing
[00:01:33.000 --> 00:01:37.200]   is we are reducing the surprise or uncertainty of our models
[00:01:37.200 --> 00:01:38.640]   when they're presented with data.
[00:01:38.640 --> 00:01:42.320]   And so the tools of probability and statistics
[00:01:42.320 --> 00:01:45.240]   are going to come in very much handy here.
[00:01:45.240 --> 00:01:48.160]   So let's dive in and talk about probability.
[00:01:48.160 --> 00:01:52.080]   The bad news I have here is that even those first two sections
[00:01:52.080 --> 00:01:54.200]   where we talked about linear algebra and we talked about calculus,
[00:01:54.200 --> 00:01:57.280]   there's, I think, a lot that's intuitive about these ideas.
[00:01:57.280 --> 00:01:59.720]   They're relatively easy to work with.
[00:01:59.720 --> 00:02:02.760]   There's some subtle ideas, but once you wrap your head around core ideas
[00:02:02.760 --> 00:02:06.160]   like arrays and approximation, the world is your oyster.
[00:02:06.160 --> 00:02:10.440]   But probability, on the other hand, is surprisingly subtle in a way that
[00:02:10.440 --> 00:02:11.920]   makes it very difficult to work with.
[00:02:11.920 --> 00:02:15.200]   So Bertrand Russell, who is one of the premier mathematicians
[00:02:15.200 --> 00:02:17.600]   and logicians of the early 20th century,
[00:02:17.600 --> 00:02:21.840]   said that no one has the slightest notion what probability means.
[00:02:21.840 --> 00:02:25.000]   And Bertrand Russell was very fond of paradoxes,
[00:02:25.000 --> 00:02:28.080]   but he liked them to be a little bit neater than the paradoxes
[00:02:28.080 --> 00:02:29.840]   that you find in probability.
[00:02:29.840 --> 00:02:33.600]   Another indication of just how subtle and difficult probability can be
[00:02:33.600 --> 00:02:36.120]   is this quote from Probability, an Introduction,
[00:02:36.120 --> 00:02:38.640]   a textbook by Samuel Goldberg, which notes
[00:02:38.640 --> 00:02:41.240]   that the concept of a random variable, which
[00:02:41.240 --> 00:02:43.520]   is at the very center of probability-- we say,
[00:02:43.520 --> 00:02:45.880]   oh, this is a random variable, that's a random variable--
[00:02:45.880 --> 00:02:48.280]   is actually a tremendous misnomer.
[00:02:48.280 --> 00:02:51.680]   So just like an alligator pair, which is neither an alligator nor a pair,
[00:02:51.680 --> 00:02:54.280]   a random variable is neither random nor a variable.
[00:02:54.280 --> 00:02:56.600]   An alligator pair is actually an avocado.
[00:02:56.600 --> 00:03:00.360]   It's an old name for an avocado, and that's not a type of pair.
[00:03:00.360 --> 00:03:04.080]   And the random variable in probability is actually a deterministic function,
[00:03:04.080 --> 00:03:06.480]   but it's the way things are termed.
[00:03:06.480 --> 00:03:08.960]   And that suggests that it's something we want to treat it
[00:03:08.960 --> 00:03:11.240]   in one particular way, this random variable idea
[00:03:11.240 --> 00:03:12.640]   that we have, this intuitive idea.
[00:03:12.640 --> 00:03:16.040]   When it comes time to turn it into mathematics, things get complicated.
[00:03:16.040 --> 00:03:20.360]   And then finally, I've often, in the last two sections,
[00:03:20.360 --> 00:03:23.960]   mentioned content by 3Blue1Brown, who's one of the premier math
[00:03:23.960 --> 00:03:25.360]   YouTubers these days.
[00:03:25.360 --> 00:03:28.680]   3Blue1Brown attempted to make a probability series
[00:03:28.680 --> 00:03:29.960]   and then eventually gave up.
[00:03:29.960 --> 00:03:30.960]   They were working on it.
[00:03:30.960 --> 00:03:33.440]   They got about halfway through it, and then they realized,
[00:03:33.440 --> 00:03:35.320]   actually, there's a lot of ambiguity in what
[00:03:35.320 --> 00:03:37.700]   people mean when they say they want to learn probability.
[00:03:37.700 --> 00:03:41.120]   And so they gave up on that plan that they had.
[00:03:41.120 --> 00:03:44.920]   Probability is something of a white whale in mathematics,
[00:03:44.920 --> 00:03:46.320]   like in Moby Dick.
[00:03:46.320 --> 00:03:49.320]   It's a difficult idea to try and conquer.
[00:03:49.320 --> 00:03:52.760]   We aren't going to be totally dismayed by this and give up entirely,
[00:03:52.760 --> 00:03:55.720]   but I just want to put that out there just as an indication that this
[00:03:55.720 --> 00:03:58.360]   is the hardest of the three sections.
[00:03:58.360 --> 00:04:01.560]   And so I'm going to try and present as much intuition and ideas
[00:04:01.560 --> 00:04:03.160]   around probability as I can.
[00:04:03.160 --> 00:04:06.120]   But you shouldn't be surprised that this one is a little bit maybe less
[00:04:06.120 --> 00:04:08.240]   satisfying, more difficult in some ways.
[00:04:08.240 --> 00:04:10.480]   When I say probability is surprisingly subtle,
[00:04:10.480 --> 00:04:14.080]   there's some parts of this that go all the way back to, what does it mean?
[00:04:14.080 --> 00:04:16.520]   What are we even trying to mathematically model here
[00:04:16.520 --> 00:04:19.000]   before we go out and write our definitions?
[00:04:19.000 --> 00:04:21.640]   Just as an indication of this difficulty,
[00:04:21.640 --> 00:04:26.640]   let's consider the expression pi of n, which just means the nth digit of pi.
[00:04:26.640 --> 00:04:28.720]   So when I say pi of 1, I mean 3.
[00:04:28.720 --> 00:04:30.640]   When I say pi of 2, I mean 1.
