
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.160]   - Welcome friends to this episode
[00:00:06.160 --> 00:00:08.920]   of the Everyday Educator podcast.
[00:00:08.920 --> 00:00:10.640]   I'm your host, Lisa Bailey,
[00:00:10.640 --> 00:00:14.040]   and I'm excited to spend some time with you today
[00:00:14.040 --> 00:00:17.280]   as we encourage one another, learn together,
[00:00:17.280 --> 00:00:20.120]   and ponder the delights and challenges
[00:00:20.120 --> 00:00:23.560]   that make homeschooling the adventure of a lifetime.
[00:00:23.560 --> 00:00:25.760]   Whether you're just considering
[00:00:25.760 --> 00:00:27.880]   this homeschooling possibility
[00:00:27.880 --> 00:00:31.880]   or deep into the daily delight of family learning,
[00:00:31.880 --> 00:00:35.400]   I believe you'll enjoy thinking along with us.
[00:00:35.400 --> 00:00:36.560]   But don't forget,
[00:00:36.560 --> 00:00:39.920]   although this online community is awesome,
[00:00:39.920 --> 00:00:44.920]   you'll find even closer support in a local CC community.
[00:00:44.920 --> 00:00:48.880]   So go to classicalconversations.com
[00:00:48.880 --> 00:00:52.400]   and find a community near you today.
[00:00:52.400 --> 00:00:56.560]   Well, listeners, I am super glad to welcome you back.
[00:00:56.560 --> 00:01:00.600]   I have Katie Beth Pearson with me again today
[00:01:00.600 --> 00:01:05.320]   because we did not get done with our chat from this time.
[00:01:05.320 --> 00:01:10.320]   I want you to know also that I have had a lot of questions
[00:01:10.320 --> 00:01:15.040]   forwarded to me in the last six months
[00:01:15.040 --> 00:01:17.800]   about our very newest resource,
[00:01:17.800 --> 00:01:22.480]   Scribblers at Home Recipes from Lifelong Learners.
[00:01:22.480 --> 00:01:24.060]   There are lots of folks out there,
[00:01:24.060 --> 00:01:25.880]   like through practicum season
[00:01:25.880 --> 00:01:28.200]   and through some of the big media pushes,
[00:01:28.200 --> 00:01:31.960]   there have been lots of folks wondering how to use it,
[00:01:31.960 --> 00:01:35.240]   when to use it, who should use it,
[00:01:35.240 --> 00:01:37.880]   why does everybody think it's so wonderful?
[00:01:37.880 --> 00:01:42.880]   And so today, we are gonna explore those ideas a bit
[00:01:42.880 --> 00:01:45.820]   as we continue to chat with Katie Beth,
[00:01:45.820 --> 00:01:49.120]   because honestly, I think Scribblers
[00:01:49.120 --> 00:01:52.340]   can really help families find some answers
[00:01:52.340 --> 00:01:54.740]   to the questions that they're asking
[00:01:54.740 --> 00:01:56.740]   about homeschooling at the beginning,
[00:01:56.740 --> 00:01:58.360]   homeschooling in the middle,
[00:01:58.360 --> 00:02:00.800]   and homeschooling as our kids get older.
[00:02:00.800 --> 00:02:03.960]   I think Scribblers can help us as families
[00:02:03.960 --> 00:02:08.720]   sort out our priorities and set some real goals,
[00:02:08.720 --> 00:02:11.620]   not just for academics, but for family life.
[00:02:11.620 --> 00:02:17.040]   I really think Scribblers can both help us get started
[00:02:17.040 --> 00:02:20.620]   and stay the course of learning for a lifetime.
[00:02:20.620 --> 00:02:23.520]   So we're gonna poke into it a little bit.
[00:02:24.440 --> 00:02:26.800]   In the context of the conversation
[00:02:26.800 --> 00:02:29.000]   that Katie Beth and I were having last time,
[00:02:29.000 --> 00:02:33.460]   just about homeschooling,
[00:02:33.460 --> 00:02:38.640]   about what is the most humbling aspect
[00:02:38.640 --> 00:02:40.580]   of this homeschooling journey?
[00:02:40.580 --> 00:02:42.060]   What's the greatest joy?
[00:02:42.060 --> 00:02:44.140]   What's the biggest surprise?
[00:02:44.140 --> 00:02:46.240]   Katie Beth, these are the takeaways
[00:02:46.240 --> 00:02:49.100]   that I had from our talk last time,
[00:02:50.200 --> 00:02:55.200]   that it won't be easy, but it will be rewarding,
[00:02:55.200 --> 00:03:02.120]   that wrestling with big ideas is good for everybody,
[00:03:02.120 --> 00:03:07.880]   for kids and teenagers and grownups,
[00:03:07.880 --> 00:03:12.280]   that getting to know your kids by heart
[00:03:12.280 --> 00:03:16.320]   is maybe the best gift of homeschooling,
[00:03:17.200 --> 00:03:22.200]   and that reading together and exploring the world
[00:03:22.200 --> 00:03:27.440]   and talking about God is what homeschooling joy
[00:03:27.440 --> 00:03:29.620]   is all about.
[00:03:29.620 --> 00:03:35.200]   So those takeaways, Katie Beth,
[00:03:35.200 --> 00:03:37.560]   have led me to ask you this question.
[00:03:37.560 --> 00:03:40.560]   What do you already know about Scribblers?
[00:03:40.560 --> 00:03:44.360]   Because a lot of what you said echoed for me
[00:03:44.360 --> 00:03:48.300]   what I know Scribblers at Home is really about.
[00:03:48.300 --> 00:03:53.300]   So let me ask you, I know that your kids are teenagers now.
[00:03:53.300 --> 00:03:56.360]   Do you know much about Scribblers?
[00:03:56.360 --> 00:03:59.920]   Oh, you know, I didn't at first.
[00:03:59.920 --> 00:04:04.480]   I saw the name Scribblers and I thought,
[00:04:04.480 --> 00:04:05.840]   my kids are teenagers.
[00:04:05.840 --> 00:04:09.440]   Why in the world would I glance upon this book,
[00:04:09.440 --> 00:04:11.580]   much less own a copy?
[00:04:11.580 --> 00:04:14.060]   But then I kept reading the title
[00:04:14.060 --> 00:04:16.220]   and I saw recipes for it and I thought,
[00:04:16.220 --> 00:04:20.200]   you know what, sometimes even as an adult,
[00:04:20.200 --> 00:04:23.200]   I have to go back to the grammar of things
[00:04:23.200 --> 00:04:26.660]   because maybe I thought I understood a topic
[00:04:26.660 --> 00:04:32.860]   and then I find myself in deeper conversations
[00:04:32.860 --> 00:04:36.980]   about that topic and I have to circle back around
[00:04:36.980 --> 00:04:39.680]   and go back to the basics and make sure,
[00:04:39.680 --> 00:04:43.600]   do I understand really well whatever that topic is
[00:04:43.600 --> 00:04:46.080]   so I can expand my knowledge base.
[00:04:46.080 --> 00:04:49.580]   And so I grabbed a copy of the Scribblers myself.
[00:04:49.580 --> 00:04:52.440]   Even though we're a teenager household
[00:04:52.440 --> 00:04:57.440]   and I'm an adult, but I just can't put this book down.
[00:04:57.440 --> 00:05:00.540]   It is so beautifully laid out
[00:05:00.540 --> 00:05:04.360]   and it has such wonderful visuals
[00:05:04.360 --> 00:05:09.360]   and I love the simplicity of the recipes
[00:05:09.360 --> 00:05:12.960]   that are inside of it because they're approachable.
[00:05:12.960 --> 00:05:17.000]   Even for teenagers where I can look at them and go,
[00:05:17.000 --> 00:05:19.540]   hey, the power just went out and we're all bored.
[00:05:19.540 --> 00:05:22.520]   Let's open to a random page in this book
[00:05:22.520 --> 00:05:27.180]   and do one of the recipes just to spend time together
[00:05:27.180 --> 00:05:30.120]   because we can't do our research project without internet
[00:05:30.120 --> 00:05:33.620]   or you've already used all of the books on our bookshelf
[00:05:33.620 --> 00:05:36.880]   and you need to pick a couple more things
[00:05:36.880 --> 00:05:38.280]   that technology is required.
[00:05:38.280 --> 00:05:40.240]   So let's just do one of these over here
[00:05:40.240 --> 00:05:42.500]   and enjoy that time together.
[00:05:43.500 --> 00:05:45.660]   - That's really neat.
[00:05:45.660 --> 00:05:47.500]   That's really neat that you picked it up.
[00:05:47.500 --> 00:05:52.500]   I keep having questions from product sales specialists
[00:05:52.500 --> 00:05:57.060]   out in the field saying, hey, people are wondering
[00:05:57.060 --> 00:06:00.700]   if this is just supposed to be for the little kids.
[00:06:00.700 --> 00:06:03.900]   Can I sell this to challenge families?
