
[00:00:00.000 --> 00:00:01.080]   It looks really fun.
[00:00:01.080 --> 00:00:02.720]   So I thought I'd dive into that one.
[00:00:02.720 --> 00:00:04.240]   You don't rest.
[00:00:04.240 --> 00:00:05.160]   Yeah.
[00:00:05.160 --> 00:00:07.360]   You're on to the next one already.
[00:00:07.360 --> 00:00:07.920]   Yeah.
[00:00:07.920 --> 00:00:14.560]   It was like, I was like, because the common one got, I think it took about eight
[00:00:14.560 --> 00:00:16.360]   days for the leaderboard to finalize.
[00:00:16.360 --> 00:00:19.000]   And I was like, please lead to finalize the leader.
[00:00:19.000 --> 00:00:21.320]   But you know, when you're in that little in between zone, it's like,
[00:00:21.320 --> 00:00:22.920]   oh, they're not finalizing the leaderboard.
[00:00:22.920 --> 00:00:26.360]   So I thought, okay, I'll settle the nerves a bit by starting a new competition.
[00:00:26.360 --> 00:00:29.760]   Is that how we settle on those?
[00:00:30.760 --> 00:00:33.120]   That's a sign of a true addiction, isn't it?
[00:00:33.120 --> 00:00:34.240]   Yeah.
[00:00:34.240 --> 00:00:39.000]   I remember when our team got the, uh, we were eight, what is the lead on the
[00:00:39.000 --> 00:00:42.280]   pet finder and the leaderboard was saying that it's going to finalize.
[00:00:42.280 --> 00:00:45.640]   I was just like sure that we're going to drop down like this.
[00:00:45.640 --> 00:00:46.720]   This can't happen.
[00:00:46.720 --> 00:00:49.760]   There's going to be something that happens right until it's finalized.
[00:00:49.760 --> 00:00:54.840]   It, obviously it's very rare that something happens, but yeah, it's just this.
[00:00:54.840 --> 00:00:56.320]   And it was like eight days.
[00:00:56.320 --> 00:00:59.400]   It's like, okay, I just need to start a new competition and just not think
[00:00:59.400 --> 00:01:00.840]   about this anymore.
[00:01:00.840 --> 00:01:04.560]   No, but I was like really happy to see your name.
[00:01:04.560 --> 00:01:07.640]   I saw the dragon, sorry, the dinosaur there.
[00:01:07.640 --> 00:01:09.480]   And I was like, is this Anjum?
[00:01:09.480 --> 00:01:10.040]   Oh, no way.
[00:01:10.040 --> 00:01:10.760]   That's awesome.
[00:01:10.760 --> 00:01:11.160]   Yeah.
[00:01:11.160 --> 00:01:12.560]   Yeah.
[00:01:12.560 --> 00:01:13.440]   I was, yeah.
[00:01:13.440 --> 00:01:18.080]   Cause I w I wasn't initially planning to do it solo.
[00:01:18.080 --> 00:01:23.840]   Cause, uh, but because I was on holidays for like the last part of the competition,
[00:01:23.840 --> 00:01:27.200]   I didn't really want to team up with someone and then go away because that's
[00:01:27.200 --> 00:01:28.640]   not really fair on the teammates.
[00:01:29.200 --> 00:01:32.000]   So I thought, okay, I'll see if I can do it solo.
[00:01:32.000 --> 00:01:33.000]   And it seems to work out.
[00:01:33.000 --> 00:01:33.280]   Okay.
[00:01:33.280 --> 00:01:35.280]   And you got the gold medal.
[00:01:35.280 --> 00:01:37.640]   The hardest thing on Kaggle.
[00:01:37.640 --> 00:01:38.360]   Yeah.
[00:01:38.360 --> 00:01:40.040]   So I was pretty happy with that.
[00:01:40.040 --> 00:01:42.360]   No, that was incredible.
[00:01:42.360 --> 00:01:45.200]   We have a few people in already guys.
[00:01:45.200 --> 00:01:46.600]   We just starting with Anjum.
[00:01:46.600 --> 00:01:47.480]   We get to start.
[00:01:47.480 --> 00:01:49.320]   So feel free to say hello.
[00:01:49.320 --> 00:01:51.160]   You should like, I'm just catching up with Anjum.
[00:01:51.160 --> 00:01:52.800]   We've been friends for a long time on Kaggle.
[00:01:52.800 --> 00:01:57.880]   What hardware are you rocking right now?
[00:01:57.880 --> 00:01:59.080]   Did you get the 3090?
[00:01:59.280 --> 00:01:59.720]   Oh yeah.
[00:01:59.720 --> 00:02:04.160]   So I managed to get some, uh, two, I managed to get two 3090s in the end.
[00:02:04.160 --> 00:02:07.840]   So in the UK there was yeah.
[00:02:07.840 --> 00:02:09.280]   Shortage everywhere.
[00:02:09.280 --> 00:02:15.600]   And I was checking the, there's one main importer for 3090s and
[00:02:15.600 --> 00:02:16.840]   they were selling them brand new.
[00:02:16.840 --> 00:02:19.120]   And the prices were just going up and up and up.
[00:02:19.120 --> 00:02:24.240]   And then eventually I said, well, I'll just get one off eBay from one of the scalpers.
[00:02:24.240 --> 00:02:28.720]   I didn't really want to give a scalper money, but it was still cheaper than
[00:02:28.720 --> 00:02:33.400]   what, what it was brand new from the other website, the prices were
[00:02:33.400 --> 00:02:34.560]   just going in one direction.
[00:02:34.560 --> 00:02:37.160]   So I managed to get two founders edition cards.
[00:02:37.160 --> 00:02:39.040]   Um, but they work nicely.
[00:02:39.040 --> 00:02:41.040]   Like what case are you using?
[00:02:41.040 --> 00:02:41.640]   I'm just curious.
[00:02:41.640 --> 00:02:45.360]   I've got a, I think I've got like a, I don't know what it is.
[00:02:45.360 --> 00:02:48.400]   It's a Logitech D750.
[00:02:48.400 --> 00:02:49.320]   It's quite an old one.
[00:02:49.320 --> 00:02:52.240]   A lot of, a lot of bits on my computer.
[00:02:52.240 --> 00:02:56.440]   It's a bit of a Frankenstein computer from previous computers.
[00:02:57.120 --> 00:02:59.080]   Uh, that's how it is.
[00:02:59.080 --> 00:02:59.400]   Right.
[00:02:59.400 --> 00:02:59.960]   Yeah.
[00:02:59.960 --> 00:03:00.160]   Yeah.
[00:03:00.160 --> 00:03:00.560]   It's good.
[00:03:00.560 --> 00:03:02.480]   It's good to carry over bits and pieces.
[00:03:02.480 --> 00:03:07.400]   But in fact, my, the first computer I bought for Kaggle was
[00:03:07.400 --> 00:03:09.760]   actually like a secondhand computer.
[00:03:09.760 --> 00:03:12.360]   It was a old HP workstation.
[00:03:12.360 --> 00:03:13.280]   Okay.
[00:03:13.280 --> 00:03:15.960]   And they super cool, the HP workstations.
[00:03:15.960 --> 00:03:18.880]   And, but, and then I moved to the Middle East.
[00:03:18.880 --> 00:03:22.000]   I was living in Kuwait for a while and the power supply died.
[00:03:22.000 --> 00:03:26.920]   And in HP workstations, everything is custom inside and there was no chance
[00:03:26.920 --> 00:03:28.720]   of me, you can't buy those parts.
[00:03:28.720 --> 00:03:29.120]   Yeah.
[00:03:29.120 --> 00:03:33.800]   And I took, I took it to a random guy in the market and he said, Oh, maybe I can
[00:03:33.800 --> 00:03:37.400]   fix it, maybe I can't and couldn't fix the power supply, so I had to just build
[00:03:37.400 --> 00:03:38.800]   a new computer out there and then.
[00:03:38.800 --> 00:03:45.440]   So I mean, that kind of worked out for the best, you know, secretly I wanted to build
[00:03:45.440 --> 00:03:48.560]   one, so that was cool.
[00:03:48.560 --> 00:03:51.080]   Yeah.
[00:03:51.080 --> 00:03:51.320]   Yeah.
[00:03:51.320 --> 00:03:55.080]   So it keeps, I'm in this little room where my computer lives and it gets very hot.
[00:03:55.080 --> 00:03:56.520]   So, you know, normally you have to keep this.
[00:03:56.520 --> 00:03:57.240]   Tell me about it.
[00:03:57.240 --> 00:04:02.560]   My wife was like, Oh, you're burning so much electricity.
[00:04:02.560 --> 00:04:05.680]   And now that now I've won a little bit of money, she's like, okay, okay.
[00:04:05.680 --> 00:04:06.640]   I understand.
[00:04:06.640 --> 00:04:09.120]   Now you don't have to fight that much.
[00:04:09.120 --> 00:04:12.560]   Awesome.
[00:04:12.560 --> 00:04:18.760]   Again, as a reminder to people joining in, I'm just catching up with Anjum, but feel
[00:04:18.760 --> 00:04:21.000]   free to say, Hey, we'll just get started in a few minutes.
[00:04:24.360 --> 00:04:28.120]   I have like, I have to leave the side lid open of my PC.
[00:04:28.120 --> 00:04:29.520]   I'm sure you've seen the case, right?
[00:04:29.520 --> 00:04:32.840]   Like it's just, it's a mess, honestly.
[00:04:32.840 --> 00:04:34.600]   This is the other one.
[00:04:34.600 --> 00:04:39.680]   The main one that has the two 3090s and A6000 is over outside of the frame.
[00:04:39.680 --> 00:04:40.040]   Yeah.
[00:04:40.040 --> 00:04:40.320]   Yeah.
[00:04:40.320 --> 00:04:41.520]   Yeah.
[00:04:41.520 --> 00:04:46.240]   My, my news, I've got some extra fans, Jerry rigged inside mine.
[00:04:46.240 --> 00:04:48.960]   So the points towards the GPU and stuff.
[00:04:48.960 --> 00:04:50.120]   So that kind of helps.
[00:04:50.200 --> 00:04:55.840]   And also found that, um, obviously there's, there's, there's variation on,
