
[00:00:00.040 --> 00:00:09.420]   Goes
[00:00:09.420 --> 00:00:11.900]   "
[00:00:11.900 --> 00:00:15.860]   showowych�C, ", was a night, and, can be,
[00:00:29.640 --> 00:00:41.000]   I
[00:00:41.000 --> 00:00:53.320]   either go and die
[00:00:57.720 --> 00:01:07.800]  �
[00:01:07.800 --> 00:01:11.500]   A " men and,,,,,
[00:02:24.380 --> 00:02:24.380]   -------
[00:02:24.380 --> 00:02:24.380]   -------
[00:02:24.380 --> 00:02:24.400]   -------
[00:02:24.400 --> 00:02:24.520]   -------
[00:02:24.520 --> 00:02:24.600]   -------
[00:02:24.600 --> 00:02:24.760]   -------
[00:02:24.760 --> 00:02:24.840]   -------
[00:02:24.840 --> 00:02:24.920]   -------
[00:02:25.000 --> 00:02:35.820]   was
[00:02:35.820 --> 00:02:38.380]   earned, is less
[00:03:19.080 --> 00:03:27.460]   I'm here just on the sabbatical. I'm sure once I do find a new job, it probably won't be in this state. It'll be someplace else. I'm considered a resident of this state, but no plans to stay here long term.
[00:03:27.460 --> 00:03:28.240]   Okay.
[00:03:28.240 --> 00:03:31.060]   Have you checked your state laws to see if you can get a new job?
[00:04:01.080 --> 00:04:01.080]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:01.080 --> 00:04:01.080]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:01.080 --> 00:04:01.080]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:01.080 --> 00:04:01.080]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:01.080 --> 00:04:01.080]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:01.080 --> 00:04:01.080]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:01.080 --> 00:04:01.080]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:01.100 --> 00:04:31.100]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:31.100 --> 00:04:31.100]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:31.100 --> 00:04:31.100]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:31.100 --> 00:04:31.100]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:31.100 --> 00:04:31.100]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:31.100 --> 00:04:31.100]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:31.100 --> 00:04:31.100]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:04:31.140 --> 00:05:01.120]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:01.120 --> 00:05:01.120]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:01.120 --> 00:05:01.120]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:01.120 --> 00:05:01.120]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:01.120 --> 00:05:01.120]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:01.120 --> 00:05:01.120]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:01.120 --> 00:05:01.120]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:01.140 --> 00:05:31.140]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:31.140 --> 00:05:31.140]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:31.140 --> 00:05:31.140]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:31.140 --> 00:05:31.140]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:31.140 --> 00:05:31.140]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:31.140 --> 00:05:31.140]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:31.140 --> 00:05:31.140]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:05:31.180 --> 00:06:01.160]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:01.160 --> 00:06:01.160]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:01.160 --> 00:06:01.160]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:01.160 --> 00:06:01.160]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:01.160 --> 00:06:01.160]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:01.160 --> 00:06:01.160]  , I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:01.180 --> 00:06:31.180]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:31.180 --> 00:06:31.180]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:31.180 --> 00:06:31.180]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:31.180 --> 00:06:31.180]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:31.180 --> 00:06:31.180]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:31.180 --> 00:06:31.180]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:31.180 --> 00:06:31.180]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:06:31.200 --> 00:07:01.200]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
[00:07:01.200 --> 00:07:01.200]   I'm sure once I do find a new job, it probably won't be in this state, but no plans to stay here long term.
