
[00:00:00.040 --> 00:00:19.440]   My name is Preeti and I am part of the engineering team at Temporal. How many
[00:00:19.440 --> 00:00:25.080]   people here have heard of Temporal? Perfect, great. So Temporal is the company
[00:00:25.080 --> 00:00:30.720]   that takes reliability incredibly seriously, so seriously that our mascot
[00:00:30.720 --> 00:00:38.640]   is a tardigrade. Does anybody know what a tardigrade is? Yes, some folks? Well it is
[00:00:38.640 --> 00:00:43.960]   what is also called a water bear and is the most resilient animal known to
[00:00:43.960 --> 00:00:49.020]   humankind and so that's how seriously we take reliability. Definitely stop by our
[00:00:49.020 --> 00:00:53.560]   booth for some stickers and some pins to just show how much you care about
[00:00:53.560 --> 00:01:00.520]   reliability. All right so my goal in the next 17 minutes or so is to convince all
[00:01:00.520 --> 00:01:07.600]   of you that Temporal is the right choice of platform as you go out to build agentic
[00:01:07.600 --> 00:01:15.460]   AI applications. So let's dive right in. We've heard a lot about how you know agents
[00:01:15.460 --> 00:01:22.420]   are just software, however they are complex distributed systems, they need to cope with
[00:01:22.420 --> 00:01:29.380]   with LLMs and they must scale and provide durability and reliability. Otherwise no one's going to trust
[00:01:29.380 --> 00:01:34.980]   your agent. You know we can build like really cool stuff but if it doesn't work nobody's using it.
[00:01:34.980 --> 00:01:53.940]   We also know that complex systems need orchestration. Decks use the word workflow a few times and essentially at the core of agentic AI applications is a complicated workflow that orchestrates multiple processes,
[00:01:53.940 --> 00:02:00.900]   needs to handle state potentially over long periods of time, there needs to be human interaction
[00:02:00.900 --> 00:02:17.860]   for approvals or other reasons and of course they need to be able to run in parallel for efficiency, call tools, there's just a lot of things going on. You know how many of you feel like building agents is really simple?
[00:02:17.860 --> 00:02:34.820]   You're just calling one switch statement, right? Yeah? I mean there's a lot of things that are interacting here and how can you actually keep track of that, make sure it's running reliably as well as tracing and looking at the visibility of all of these pieces.
[00:02:34.820 --> 00:02:46.820]   And again you know these systems are inherently unreliable. How many of you have called an LLM and it succeeded 100% of the time? Yeah? Nobody's raising their hands.
[00:02:46.820 --> 00:02:54.980]   So we've dealt with this. As you're building these applications you are seeing inherently how unreliable some of the tool chain here is.
[00:02:54.980 --> 00:03:10.020]   And then you know difficult to debug and test and Alex has been talking about agent ops being kind of built around this but clearly the insight into what's happening has been incredibly hard to get.
[00:03:10.020 --> 00:03:13.780]   It's been incredibly difficult to test this in pre-production.
[00:03:15.380 --> 00:03:23.540]   Well, the interesting thing here is that these problems have existed for some time in building complex distributed systems.
[00:03:23.540 --> 00:03:29.540]   And Temporal is a company that was founded around solving these problems.
[00:03:29.540 --> 00:03:40.820]   Our mission really is to outsource the reliability and scalability parts of building a complex distributed application seamlessly.
[00:03:40.820 --> 00:03:44.980]   So again, you can focus on the hard parts of writing your business logic.
[00:03:44.980 --> 00:03:52.980]   The way that Temporal works is that we built language idiomatic SDKs.
