
[00:00:00.040 --> 00:00:09.420]   lihat
[00:00:09.420 --> 00:00:28.060]   back. I,
[00:01:26.100 --> 00:01:26.100]   and
[00:01:26.100 --> 00:01:26.100]   and
[00:01:26.160 --> 00:01:55.020]   test
[00:01:55.020 --> 00:01:56.140]   allowed. ., why? perk'm, concentration,',,,, a ex i thoseić什토 destineddag Iiset you Red C Sch All T M X B All E I MSC I Muyunk bring
[00:01:56.160 --> 00:02:03.940]   much more than the poor people do, but collectively Americans spend much more on taxes than on food, clothing, and housing combined.
[00:02:03.940 --> 00:02:10.560]   And so if you actually look at the numbers, it takes about 44 days to pay off federal, state, and local individual income taxes.
[00:02:10.560 --> 00:02:16.760]   Payroll taxes take about 26 days to pay from there. Sales and excise taxes another 15 days.
[00:02:16.760 --> 00:02:21.960]   Then corporate income taxes another 7 days. Property taxes another 11 days.
[00:02:21.960 --> 00:02:26.160]   And then the last 6 days are spent paying estate and inheritance taxes, customs duties,
[00:02:26.160 --> 00:02:26.160]   and other taxes. And then the last 6 days are spent paying estate and inheritance taxes, customs duties,
[00:02:26.160 --> 00:02:26.160]   and other taxes. And then the last 6 days are spent paying estate and inheritance taxes, customs duties,
[00:02:26.160 --> 00:02:26.160]   and other taxes. And then the last 6 days are spent paying estate and inheritance taxes, customs duties,
[00:02:26.160 --> 00:02:26.160]   and other taxes. And then the last 6 days are spent paying estate and inheritance taxes, customs duties,
[00:02:26.200 --> 00:02:56.180]   and other taxes. And then the last 6 days are spent paying estate and inheritance taxes, compa and other taxes. To bring you to about the middle or end of April for Tax Freedom Day. Canadians of course celebrate Tax Freedom Day usually in about June. Last year it was June 10. Canadians paid about 43.6% of their annual income to taxes. So the point is that taxes are a major expense and for many of us the biggest expense is income tax. That's really frustrating because income tax has that perverse incentive of meaning that if you are productive you pay more
[00:02:56.200 --> 00:03:26.200]   and other taxes. And then the last 6 days are spent paying estate and inheritance taxes, customs duties,
[00:03:26.200 --> 00:03:26.200]   and other taxes. And then the last 6 days are spent paying estate and inheritance taxes, compa and other taxes. So the point is that taxes are a major expense and for many of us the biggest expense is income tax. That's really frustrating because income tax has that perverse incentive of meaning that if you are productive you pay more
[00:03:26.200 --> 00:03:26.200]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:26.200 --> 00:03:26.200]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:26.200 --> 00:03:26.200]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:26.200 --> 00:03:26.200]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:26.200 --> 00:03:26.200]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:26.240 --> 00:03:56.220]  ,
[00:03:56.220 --> 00:03:56.220]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:56.220 --> 00:03:56.220]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:56.220 --> 00:03:56.220]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:56.220 --> 00:03:56.220]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:56.220 --> 00:03:56.220]   I don't know what the word to use in productive. I want to be a good steward with my
[00:03:56.240 --> 00:04:26.240]   I don't know what the word to use in productive. I want to be a good steward with my
[00:04:26.240 --> 00:04:26.240]   I don't know what the word to use in productive. I want to be a good steward with my
[00:04:26.240 --> 00:04:26.240]   I don't know what the word to use in productive. I want to be a good steward with my
[00:04:26.240 --> 00:04:26.240]   I don't know what the word to use in productive. I want to be a good steward with my
[00:04:26.240 --> 00:04:26.240]   I don't know what the word to use in productive. I want to be a good steward with my
[00:04:26.240 --> 00:04:26.240]   I don't know what the word to use in productive. I want to be a good steward with my
