
[00:00:00.000 --> 00:00:18.840]   welcome everybody thanks for showing up bright and early this morning we're gonna make your
[00:00:18.840 --> 00:00:24.480]   life easier for RAG so just hang in there if you want to get started we have the link right
[00:00:24.480 --> 00:00:31.980]   there contextual.ai/aie25 that's gonna get you a notebook it's gonna get you the getting started
[00:00:31.980 --> 00:00:36.660]   link which will get you an API key that you'll be able to use for the notebook so feel free to jump
[00:00:36.660 --> 00:00:44.100]   ahead and start on those pieces like that all right so let me first introduce the team that's
[00:00:44.100 --> 00:00:50.580]   here so I'm Rajiv Shah I'm the chief evangelist of contextual AI so I do a lot of these talks
[00:00:50.580 --> 00:00:57.240]   workshops I endlessly talk about AI which I'm kind of in this position for background I've been in
[00:00:57.240 --> 00:01:02.700]   the AI space for a while before this I was over at hugging face for a number of years as well so
[00:01:02.700 --> 00:01:11.940]   besides me talking we also have Nina you want to introduce yourself this is my fourth week at
[00:01:11.940 --> 00:01:18.780]   contextual so very exciting for me thank you all for joining us this morning I've been working in NLP and
[00:01:18.780 --> 00:01:25.440]   language modeling for the past seven or eight years really since Bert was considered a large language
[00:01:25.440 --> 00:01:31.920]   model and I'm excited to show you how you can simplify your RAG pipeline with contextual today
[00:01:31.920 --> 00:01:38.640]   thanks and besides Nina we also have two other members of our team that are in the back that if
[00:01:38.640 --> 00:01:43.440]   you raise your hand and have questions they will come to you so one of them is Matthew who's a platform
[00:01:43.440 --> 00:01:48.480]   engineer so if you have questions about how we scale up what's it what are the things going on in the back
[00:01:48.480 --> 00:01:54.240]   end he's the person for you we also have John on our team who's one of the solution architects so if
[00:01:54.240 --> 00:01:58.800]   you're like hey how would I integrate this into my environment he's the guy who's gonna be able to handle that as
[00:01:58.800 --> 00:02:06.720]   well so let's kick this off what I want to do is for you to all get one of the big pieces out of
[00:02:06.720 --> 00:02:13.620]   this is we can treat RAG like a managed service we don't go out anymore and train our own language large
[00:02:13.620 --> 00:02:20.260]   language models if we're working with embeddings we don't build our own vector databases same thing with
[00:02:20.260 --> 00:02:27.360]   RAG we can treat RAG just like any other managed service and so what we're gonna do today is I'm gonna do this quick
[00:02:27.360 --> 00:02:31.360]   introduction here but then we're gonna get you started right away with building this RAG agent
[00:02:31.360 --> 00:02:36.480]   with ingesting some files and Nina and I will go back and forth where I'll go and give you a bit more
[00:02:36.480 --> 00:02:43.200]   of an overview of contextual you'll build an agent run a number of queries against it get a feel for it
[00:02:43.200 --> 00:02:49.520]   and then I'll do a deep dive on some of the advanced settings that developers like around extraction re-ranking
[00:02:49.520 --> 00:02:56.560]   retrieval like that and we'll end with a little bit on evaluation as well as how you can use MCP for
[00:02:56.560 --> 00:03:04.960]   example connect your RAG agent to Claude desktop as well now to start with we all know the value of AI
[00:03:04.960 --> 00:03:11.680]   right we're all here because of the importance of AI but for many of you also know the struggles of AI
[00:03:11.680 --> 00:03:18.160]   how it's easy to build that demo with 10 documents when you're doing RAG but when you go to scale that
[00:03:18.160 --> 00:03:24.560]   out all of a sudden it's hard to extract across thousands of documents of diversity right your accuracy
[00:03:24.560 --> 00:03:28.240]   isn't there your users are complaining that they aren't happy with it because they don't know how
[00:03:28.240 --> 00:03:38.080]   to query properly now what we had didn't we had contextual have focused on this so our founders
[00:03:38.080 --> 00:03:45.680]   here dao and aman come from working on rag for a long time dao was an author was leading the team on the
[00:03:45.680 --> 00:03:52.720]   initial rag paper aman was with him at meta i knew both of them from my time at hugging face where i was
[00:03:52.720 --> 00:03:58.960]   helping people do rag years ago on question answer systems and i would be able to pull their researchers
[00:03:58.960 --> 00:04:04.000]   in to help work with customers as i was cobbling together kind of open source components to build these
[00:04:04.000 --> 00:04:10.000]   pipelines well they saw the need in that they want to change how the world works and so contextual has
[00:04:10.000 --> 00:04:15.760]   come around for focusing on enterprise and we still have this dedication to ai research and you'll see
[00:04:15.760 --> 00:04:23.840]   that as we go through our product as well now for again just the basics just in case there's and
[00:04:23.840 --> 00:04:28.960]   somebody in here not familiar with it right when we're talking about rag retrieval augmented generation
[00:04:29.520 --> 00:04:35.840]   the value here is when you have lots of that unstructured enterprise data we want to be able
[00:04:35.840 --> 00:04:43.760]   to understand it so rag allows us to take that information a simple a very simple rag pipeline uses
[00:04:43.760 --> 00:04:50.560]   a vector database to keep all of that use cosine similarity to find similar pieces pass it to an llm
[00:04:50.560 --> 00:04:55.760]   that's the simplest we're going to get much more complicated today like that and what i want to do is
[00:04:55.760 --> 00:05:02.880]   show off our platform to you the platform is built for a couple of different levels so one is there's
[00:05:02.880 --> 00:05:07.200]   a no code so if you're a business user you just have a bunch of docs you want to be able to ask
[00:05:07.200 --> 00:05:13.440]   questions to them we've made it very simple with opinionated defaults on that now if you're a developer
[00:05:13.440 --> 00:05:18.240]   on the other hand you know what you want in your rag pipeline you're spending time evaluating
[00:05:18.240 --> 00:05:24.160]   it you're spending time tweaking it well we've built a platform where you can then orchestrate
[00:05:24.160 --> 00:05:30.320]   and change how do i want to do queering how do i want to do generation along the ways and finally
[00:05:30.320 --> 00:05:37.520]   some of you might already have rag you might already have rag pipelines in production where there's just
[00:05:37.520 --> 00:05:42.080]   one component that isn't working that well maybe your extraction isn't working that well or you want
[00:05:42.080 --> 00:05:48.160]   a better re-ranker well we've made our system modular so if you just want to use one piece of it you can
[00:05:49.920 --> 00:05:57.680]   and all we focus on is rag other companies focus on other pieces we just think about building rag and
[00:05:57.680 --> 00:06:02.640]   again the reason we're here is as you go and try to do this in production you'll see like once you get
[00:06:02.640 --> 00:06:07.760]   to lots of documents it gets messy all of a sudden then you're orchestrating a big environment full of
[00:06:07.760 --> 00:06:14.880]   lots of different models now i need a bm25 i need a re-ranker putting all that stuff together ends up sucking up your
[00:06:14.880 --> 00:06:20.960]   time it's fun to do the first time but after that it ends up sucking up your time ends up with slow kind
[00:06:20.960 --> 00:06:28.240]   of costly um rag pieces so that's enough to get started i'm going to turn it over to nina
[00:06:28.240 --> 00:06:30.320]   who's going to get you started on building that first agent
[00:06:37.920 --> 00:06:43.680]   all right we're on the clock 15 minutes to get our agent up and running um just kidding we'll take
[00:06:43.680 --> 00:06:49.440]   a little longer than that to explain everything but how you can get started is um you can find the
[00:06:49.440 --> 00:06:59.600]   notebook and the getting started page at contextual.ai slash aie25 and then the gui for contextual is at
[00:06:59.600 --> 00:07:06.160]   app.contextual.ai that's what that getting started button will point you to and so we're going to start by
[00:07:06.160 --> 00:07:12.480]   loading a few documents we're going to load some financial statements from nvidia and some fun
[00:07:12.480 --> 00:07:19.360]   spurious correlations to see how our reg system treats data that's not fitting with conventional wisdom
[00:07:19.360 --> 00:07:26.160]   and then we'll try out a few queries uh including quantitative reasoning over tables and some data
[00:07:26.160 --> 00:07:35.680]   interpretation and so i'm going to have these two screens here side by side the notebook on the left and the
[00:07:35.680 --> 00:07:43.120]   the platform on the right so you can get started by signing up in the platform if you haven't already
[00:07:43.120 --> 00:07:49.840]   that's at app.contextual.ai that's where you're going to get your api key so everyone take maybe
[00:07:49.840 --> 00:07:55.760]   a minute or so you'll need to log into that and you'll need to set up your workspace i already have my
[00:07:55.760 --> 00:08:02.880]   workspace set up and i'm actually using uh my right uh not my work account just so that you'll see exactly
[00:08:02.880 --> 00:08:10.480]   what a general access user would see on their screen on my screen and just a tip for setting up those
[00:08:10.480 --> 00:08:17.680]   workspace names it's going to have to be a unique name so you can't call it aie-demo i just throw my
[00:08:17.680 --> 00:08:24.480]   name into the names just to make it a little bit more unique so um so everyone just uh take a minute to do
[00:08:24.480 --> 00:08:31.040]   that and uh to help me get a sense of where folks are just briefly raise your hand and put it down
[00:08:31.040 --> 00:08:36.000]   once you have your workspace set up and you see this welcome screen
[00:08:38.640 --> 00:08:47.600]   okay folks are making fast progress um yes matthew
[00:08:53.280 --> 00:09:12.160]   so yeah so we can start by in the notebook doing our pip installs oh start by making a copy of the
[00:09:12.160 --> 00:09:22.080]   notebook so you can just do go to file save a copy and drive and then that will create a copy for you of
[00:09:22.080 --> 00:09:26.800]   the notebook so that you can save whatever changes you're making to it if you want to make any changes
[00:09:26.800 --> 00:09:36.880]   it is a bit slowly making a copy um but yeah after the pip installs and the imports
[00:09:36.880 --> 00:09:44.800]   to get your api key you go into your contextual app click on api keys here on the right
[00:09:46.720 --> 00:09:54.720]   save a copy of the notebook and then in our contextual platform on the right you can go to api keys
[00:09:54.720 --> 00:10:06.560]   click on create api key so nina nina key 2 is my name and then we'll copy that and then we can go to our
[00:10:07.440 --> 00:10:13.120]   notebook secrets on the notebook secrets on the left here the key there and then add a new secret and
[00:10:13.120 --> 00:10:21.280]   then you'll just add contextual underscore api underscore key yeah it's refreshing
[00:10:21.280 --> 00:10:31.040]   but if yours is working then uh you can i'll just do it in the notebook without making a copy contextual
[00:10:31.040 --> 00:10:39.440]   so that's what we're going to do and then we're going to do it in the notebook and we're going to
[00:10:39.440 --> 00:10:42.640]   do it in the notebook and we're going to do it in the notebook so we're going to do it in the notebook
[00:10:42.640 --> 00:10:44.880]   and we're going to do it in the notebook and we're going to do it in the notebook and we're going to
[00:10:44.880 --> 00:10:49.680]   if you want to brag on your own it's often an api scavenger hunt just to get started and this is
[00:10:49.680 --> 00:10:55.120]   literally the only api key we're going to use for the whole rest of the workshop so we have just finished
[00:10:55.120 --> 00:10:58.080]   the hardest part of setting this up
[00:10:58.080 --> 00:11:07.920]   so once we've saved those credentials then we're going to set up our client here so we're just going to
[00:11:08.880 --> 00:11:15.280]   run the client in our notebook so here i'm on the left in the notebook and then we're going to create
[00:11:15.280 --> 00:11:25.200]   our data store so you can change the name on this data store name variable and then it's going to see
[00:11:25.200 --> 00:11:28.000]   if there's an existing data store or load that one
[00:11:32.000 --> 00:11:38.080]   and then after that which seems to still not be running
[00:11:38.080 --> 00:11:45.760]   okay
[00:11:45.760 --> 00:11:52.800]   yeah after the pip installs and the imports
[00:11:52.800 --> 00:12:00.320]   that data store is going to be where you're going to be loading all of your documents
[00:12:00.960 --> 00:12:09.920]   and then we have some code here in step two that will download those files that i mentioned earlier
[00:12:09.920 --> 00:12:14.400]   to your notebook so that's going to be a few quarterly reports and
[00:12:14.400 --> 00:12:21.920]   spurious correlation reports and so here in step two you'll see that it's fetching the data
[00:12:21.920 --> 00:12:27.280]   and then uploading it to the data store and then you can go to your app.contextual.ai
[00:12:28.160 --> 00:12:37.520]   and this is the aie demo data store that i made just here so if you click on your documents you'll
[00:12:37.520 --> 00:12:46.480]   see that they're processing and once they're done processing you can click on these three dots and
[00:12:46.480 --> 00:12:53.200]   then once the files are loaded you'll be able to inspect them and see how those files have been parsed and
[00:12:53.200 --> 00:12:59.680]   ingested so i'll just take a quick look at the run i did yesterday of all these same exact files
[00:12:59.680 --> 00:13:10.960]   and so if you click on inspect once your files are loaded for example if you have a table you're going
[00:13:10.960 --> 00:13:16.160]   to see the raw text and then also the rendered preview so you can see this table
[00:13:16.160 --> 00:13:23.200]   it has both the structure and the contents of the table in this image below and you're welcome to take
[00:13:23.200 --> 00:13:29.200]   a look at these the numbers match very perfectly on the structure so that's kind of step one of getting
[00:13:29.200 --> 00:13:36.880]   your rag system set up is having really accurate parsing and you can look at some of the image files we
[00:13:36.880 --> 00:13:42.000]   chose some spurious correlations which are a fun way to test how much a rag system will actually
[00:13:42.000 --> 00:13:48.080]   actually answer based on your own documents rather than its conventional wisdom and so you can see
[00:13:48.080 --> 00:13:56.240]   there also there will be raw text and rendered previews with like key data points from figures and
[00:13:56.240 --> 00:14:04.320]   summaries of the figures in addition to the text and other information extracted so while your files are
[00:14:04.320 --> 00:14:17.760]   adjusting raj will come back and expand on the uh on the platform all right it seems to me i need to update
[00:14:17.760 --> 00:14:24.960]   this slide with wi-fi issues as well but any of you who've built rag systems before know that there's several
[00:14:24.960 --> 00:14:30.320]   components of it there's a lot of tasks you have to do right you have to think about building out an extraction pipeline
[00:14:31.120 --> 00:14:36.160]   besides that when you're thinking about accuracy how am i going to chunk out what am i going to do
[00:14:36.160 --> 00:14:40.960]   for chunking what am i going to do for re-ranking and then finally have to think about scaling it there's
[00:14:40.960 --> 00:14:45.760]   a lot of these issues that come up and again it's interesting the first time you do it but maintaining
[00:14:45.760 --> 00:14:51.520]   this stuff after a while gets tiresome and that's where contextual comes in where it's really an end-to-end
[00:14:51.520 --> 00:14:59.360]   platform for managing rag and our platform runs in our sas it can run in your vpc we have a ui for
[00:14:59.360 --> 00:15:06.720]   those business users but we also have an api rest api endpoints as well and when within the platform
[00:15:06.720 --> 00:15:10.960]   we manage all those pieces for you so you don't have to worry about maintaining a vector store for
[00:15:10.960 --> 00:15:15.760]   your embeddings and the way it works is you'll come with your structured and unstructured data
[00:15:15.760 --> 00:15:21.920]   we bring that in we have a document understanding pipeline and that's the extraction part that we're
[00:15:21.920 --> 00:15:26.640]   going to walk through here where we need to cleanly be able to pull all that information out of your
[00:15:26.640 --> 00:15:32.960]   documents your tables your images once we have that we chunk that up and then we go through
[00:15:32.960 --> 00:15:39.760]   the best practices around retrieving so we have a mixture of retrievers so bm25 as well as an embedding
[00:15:39.760 --> 00:15:46.240]   model we have a state-of-the-art re-ranker that we've trained ourselves that's in our pipeline and then we
[00:15:46.240 --> 00:15:53.520]   pass it all to a grounded language model now we don't use a model from open ai or gemini we trained our own
[00:15:53.520 --> 00:16:01.680]   grounded language model because for rag use cases we want the model to be grounded we want it not to
[00:16:01.680 --> 00:16:06.800]   give its own advice just because it can pass the law exam or know everything about medicine we don't
[00:16:06.800 --> 00:16:12.000]   want it to use its knowledge when it's answering questions we want it to instead stay grounded
[00:16:12.000 --> 00:16:18.480]   respect the context that we're giving like that and finally there's lots of different ways we can output this
[00:16:18.480 --> 00:16:24.720]   and i'll show you this along the way as well now for each of these parts we have that academic
[00:16:24.720 --> 00:16:29.440]   pedigree as i mentioned earlier so one thing we always do is look at the academic benchmarks nowadays
[00:16:29.440 --> 00:16:34.720]   we have lots of customer data set points that we use as well but whether we think about the end-to-end
[00:16:34.720 --> 00:16:40.880]   accuracy of our platform or the specific parts around document understanding retrieval grounded
[00:16:40.880 --> 00:16:47.600]   generation each one of those we focused on to make them state-of-the-art for what they do like that
[00:16:47.600 --> 00:16:55.200]   so once we've done that when you go to use them there's a lot of different uses that you can have
[00:16:55.200 --> 00:17:01.920]   for this i think often when we think of initially of of rag we think about i'm going to build a question
[00:17:01.920 --> 00:17:08.240]   and answer chatbot right like i'm going to ask a question get back an answer well yes that's one
[00:17:08.240 --> 00:17:15.040]   use of what you can do with this but we have customers like qualcomm who use contextual on their
[00:17:15.040 --> 00:17:20.960]   website so if you go live to their website right now and you ask a question there it's powered by
[00:17:20.960 --> 00:17:27.040]   contextual on the back end and you can see similarly the question the answers right our feedback modules
[00:17:27.040 --> 00:17:34.480]   sources are all available there besides that we have other customers for example some folks in the finance
[00:17:34.480 --> 00:17:42.080]   financial spectrum my audio and they're thinking about automated workflows how can i take all the
[00:17:42.080 --> 00:17:49.680]   unstructured data i have structure it to make it useful for folks well we have apis you can hook up
[00:17:49.680 --> 00:18:01.200]   those apis be able to run them against here is it good ah okay no worries but we can take all that
[00:18:01.200 --> 00:18:06.320]   unstructured use our rag agents in the context of something like a spreadsheet or some other workflow
[00:18:06.320 --> 00:18:10.960]   to be able to use that finally we can connect it with lots of other tools
[00:18:10.960 --> 00:18:15.360]   i'm going to put this in there even though i know it's not going to work
[00:18:16.400 --> 00:18:20.880]   but just for all of you we can show you and i'm going to show you at the end here today how you can
[00:18:20.880 --> 00:18:26.960]   for example integrate the rag agents with something like claude with mcp so that way you can take
[00:18:26.960 --> 00:18:35.200]   advantage of the enterprise knowledge that you have in there all right so with that i'm going to hand it
[00:18:35.200 --> 00:18:45.280]   back over to nina and let's get you started on your agents
[00:18:45.280 --> 00:19:03.600]   looks like the wi-fi might be down
[00:19:03.920 --> 00:19:25.600]   it looks like the speaker wi-fi and my hot spot are not working so we'll just continue with the
[00:19:25.600 --> 00:19:32.400]   notebook and we'll talk through it and then i guess is anyone else's wi-fi working raise your hand if you
[00:19:32.400 --> 00:19:40.240]   have wi-fi okay well you guys can follow along you have the videos too right mm-hmm i do have oh oh
