
[00:00:00.040 --> 00:00:09.380]  的话
[00:00:09.380 --> 00:00:10.980]   " Which I asarf
[00:00:10.980 --> 00:00:28.860]   but like. And, ?, ",� перед dec перqualified, in, investigación,
[00:00:29.060 --> 00:00:30.220]   slash, perfect.
[00:00:30.220 --> 00:00:33.220]   Today on Radical Personal Finance, it's live Q&A.
[00:00:33.220 --> 00:00:58.080]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:58.080 --> 00:00:58.080]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:58.080 --> 00:00:58.080]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now, while building a plan for financial freedom in 10 years or less.
[00:00:58.100 --> 00:01:28.120]  ,ㅡ
[00:01:28.120 --> 00:01:28.120]   Tn-10 years or less.
[00:01:28.120 --> 00:01:28.120]   My name is Joshua.
[00:01:28.120 --> 00:01:28.120]   I am your host.
[00:01:28.120 --> 00:01:28.120]   Today we feature a live Q&A show.
[00:01:28.120 --> 00:01:28.120]   Open to the public all this week, beginning today Monday, December 17, continuing on through Friday December 21. You know what? Let's just call it a Christmas present. Merry Christmas to you. All during this week of episodes on the podcast here we are featuring live Q&A. They'll probably not all be released between the end of the show.
[00:01:28.120 --> 00:01:28.120]   All right.
[00:01:28.120 --> 00:01:28.120]   Thanks for watching. I'll see you next time and I'll see you at the next episode.
[00:01:28.160 --> 00:01:30.100]   8
[00:01:30.100 --> 00:01:41.260]   showed but even
[00:01:41.260 --> 00:01:53.880]   seven and the call. The, the, 4, 0, 7, 3, бан, monarch, weigh,,,,,,.... is atern with the showand. It's the cliand anti насколькоathi
[00:01:53.880 --> 00:01:57.760]   І
[00:01:57.800 --> 00:02:27.440]   I'm currently active actively investing in my 401k and have recently started doing some Roth IRAs. My question would be, do you ever consider or advise stockpiling money and say a Roth IRA and waiting for a major market downturn to deploy that money? Or would, would your advice be just to deploy it every month when I put that, put the funds in the account?
[00:02:27.440 --> 00:02:27.440]   I'm currently actively investing in my 401k and have recently started doing some Roth IRAs. My question would be, do you ever consider or advise stockpiling money and say a Roth IRA and waiting for a major market downturn to deploy that money? Or would, would your advice be just to deploy it every month when I put that, put the funds in the account?
[00:02:27.480 --> 00:02:37.660]   dough
[00:02:37.660 --> 00:02:38.180]   I " phone.I мин
[00:02:38.180 --> 00:02:38.960]  ,,,,,,評jer
[00:04:08.640 --> 00:04:13.360]   I " phone.I min
[00:05:18.660 --> 00:05:19.120]   " phone.I min"
[00:05:19.780 --> 00:05:23.960]   hear
