
[00:00:00.000 --> 00:00:06.000]   Welcome, everyone.
[00:00:06.000 --> 00:00:10.400]   This screencast is an overview of assignment three and the associated bake-off.
[00:00:10.400 --> 00:00:13.200]   Our topic is compositional generalization.
[00:00:13.200 --> 00:00:15.040]   This is a favorite topic of mine.
[00:00:15.040 --> 00:00:20.480]   This is our attempt to really probe deeply to see whether models have learned to systematically
[00:00:20.480 --> 00:00:23.040]   interpret natural language.
[00:00:23.040 --> 00:00:27.520]   The starting point for the work is the COGS paper and the associated benchmark from Kim
[00:00:27.520 --> 00:00:28.520]   and Linsen.
[00:00:28.520 --> 00:00:33.320]   We're actually going to work with a modification of COGS that we call ReCOGS.
[00:00:33.320 --> 00:00:35.520]   This is recent work that we released.
[00:00:35.520 --> 00:00:40.520]   And it simply attempts to address some of the limitations that we perceive in the original
[00:00:40.520 --> 00:00:46.880]   COGS benchmark while nonetheless adopting the core insights and core agenda that COGS
[00:00:46.880 --> 00:00:48.680]   set.
[00:00:48.680 --> 00:00:52.440]   The ReCOGS task is fundamentally a semantic parsing task.
[00:00:52.440 --> 00:00:57.440]   The inputs are simple sentences and the outputs are logical forms like this.
[00:00:57.440 --> 00:01:01.140]   So here in this example, the input is a rose was helped by a dog.
[00:01:01.140 --> 00:01:05.680]   And you can see that the output is a sort of event description as a logical form.
[00:01:05.680 --> 00:01:09.920]   We have an indefinite a rose, an indefinite dog.
[00:01:09.920 --> 00:01:11.520]   We have a helping event.
[00:01:11.520 --> 00:01:14.200]   The theme of that helping event is the rose.
[00:01:14.200 --> 00:01:17.160]   And the agent of that helping event is the dog.
[00:01:17.160 --> 00:01:18.840]   Here is a similar example.
[00:01:18.840 --> 00:01:20.840]   The sailor dusted a boy.
[00:01:20.840 --> 00:01:23.080]   And it has an output that looks like this.
[00:01:23.080 --> 00:01:26.120]   The new element here is that we have a definite description in the input.
[00:01:26.120 --> 00:01:28.800]   And that's marked by a star in the output.
[00:01:28.800 --> 00:01:31.720]   This is like the sailor here.
[00:01:31.720 --> 00:01:36.660]   You can probably see that the COGS and ReCOGS sentences tend to be somewhat unusual.
[00:01:36.660 --> 00:01:38.280]   This is a synthetic benchmark.
[00:01:38.280 --> 00:01:41.360]   They were automatically generated from a context-free grammar.
[00:01:41.360 --> 00:01:44.560]   And so their actual meanings are sort of unusual.
[00:01:44.560 --> 00:01:49.600]   But that's not really the focus of either of these benchmarks.
[00:01:49.600 --> 00:01:54.000]   We're going to talk in more detail about how COGS and ReCOGS compare to each other in the
[00:01:54.000 --> 00:01:55.800]   core screencast for this unit.
[00:01:55.800 --> 00:01:59.000]   But just briefly, COGS is the original.
[00:01:59.000 --> 00:02:05.000]   ReCOGS builds on COGS and attempts to rework some aspects of COGS to focus on purely semantic
[00:02:05.000 --> 00:02:06.200]   phenomena.
[00:02:06.200 --> 00:02:11.640]   Whereas we believe that COGS is testing in addition for a bunch of incidental details
[00:02:11.640 --> 00:02:13.960]   of logical forms.
[00:02:13.960 --> 00:02:17.440]   For a quick comparison, I have the input, the sailor saw Emma here.
[00:02:17.440 --> 00:02:20.560]   And you can see the ReCOGS and COGS format.
[00:02:20.560 --> 00:02:24.280]   And in broad strokes, the ReCOGS format is somewhat simpler.
[00:02:24.280 --> 00:02:27.320]   A bunch of redundant symbols that have been removed.
[00:02:27.320 --> 00:02:32.440]   And some core aspects of the semantics have been reorganized while nonetheless preserving
[00:02:32.440 --> 00:02:36.560]   the meaning of the original.
[00:02:36.560 --> 00:02:38.960]   The ReCOGS splits work like this.
[00:02:38.960 --> 00:02:43.400]   We have a large train set of almost 136,000 examples.
[00:02:43.400 --> 00:02:47.560]   And there is a dev set of 3,000 examples that are like those in train.
[00:02:47.560 --> 00:02:49.840]   This is a sort of IID split.
[00:02:49.840 --> 00:02:53.080]   We're not going to make much use of the dev split.
[00:02:53.080 --> 00:02:56.360]   Our focus is instead on these generalization splits.
[00:02:56.360 --> 00:02:59.760]   This is what's so interesting about COGS and ReCOGS.
[00:02:59.760 --> 00:03:04.160]   This is 21,000 examples in 21 categories.
[00:03:04.160 --> 00:03:09.480]   And the name of the game here is to have novel combinations of familiar elements to really
[00:03:09.480 --> 00:03:15.720]   test to see whether models have found compositional solutions to the task.
[00:03:15.720 --> 00:03:18.840]   Here are three examples of those generalization splits.
[00:03:18.840 --> 00:03:21.060]   They're typical of the full set.
[00:03:21.060 --> 00:03:27.400]   And I would say one hallmark of these generalization splits is that they hardly feel like generalization
[00:03:27.400 --> 00:03:30.180]   tasks for us as speakers of the language.
[00:03:30.180 --> 00:03:32.480]   They appear incredibly simple.
[00:03:32.480 --> 00:03:36.840]   But as you'll see, they're very difficult for even our best models.
[00:03:36.840 --> 00:03:40.400]   For example, this category is subject to object proper name.
