
[00:00:00.000 --> 00:00:02.600]   from Loyad from India.
[00:00:02.600 --> 00:00:04.280]   I often take on multiple projects,
[00:00:04.280 --> 00:00:08.240]   but then they, as they become hard, I abandon them halfway.
[00:00:08.240 --> 00:00:10.040]   How do I stop doing this?
[00:00:10.040 --> 00:00:13.040]   - All right, so we have a very consistent type theme today.
[00:00:13.040 --> 00:00:15.180]   I think the reader could,
[00:00:15.180 --> 00:00:16.760]   or the listener could almost answer this question
[00:00:16.760 --> 00:00:18.000]   on their own now, which is my goal.
[00:00:18.000 --> 00:00:22.580]   I really want to hammer this point home as much as I can.
[00:00:22.580 --> 00:00:25.760]   So Loyad, why are you abandoning projects
[00:00:25.760 --> 00:00:27.380]   when they become hard halfway?
[00:00:28.480 --> 00:00:31.480]   - Well, as you can imagine, I'm gonna have two parts
[00:00:31.480 --> 00:00:32.760]   to my answer here.
[00:00:32.760 --> 00:00:34.780]   One is mindset.
[00:00:34.780 --> 00:00:38.000]   If your mindset is one that depends on external power
[00:00:38.000 --> 00:00:40.060]   for you to get through goals,
[00:00:40.060 --> 00:00:42.240]   you are not gonna get very far in hard projects
[00:00:42.240 --> 00:00:44.220]   because the external power, which in this case
[00:00:44.220 --> 00:00:47.400]   is that actual emotional feeling of motivation,
[00:00:47.400 --> 00:00:51.760]   excitement will die down as projects go on,
[00:00:51.760 --> 00:00:55.080]   as they get harder, and then you'll stop doing them.
[00:00:55.080 --> 00:00:57.440]   So you need to reshape your mindset towards one
[00:00:57.440 --> 00:00:59.120]   and seeing yourself as someone who can handle
[00:00:59.120 --> 00:01:00.920]   internally powered goals.
[00:01:00.920 --> 00:01:02.360]   Guess I'm gonna suggest you do that.
[00:01:02.360 --> 00:01:03.720]   Layer one of the deep life stack,
[00:01:03.720 --> 00:01:05.040]   two to three daily disciplines,
[00:01:05.040 --> 00:01:09.400]   non-trivial, but tractable, everyday mark 'em.
[00:01:09.400 --> 00:01:10.440]   Just train your mind.
[00:01:10.440 --> 00:01:12.120]   I do things that are important for me,
[00:01:12.120 --> 00:01:14.280]   even if they're hard, even if I'm not excited in the moment,
[00:01:14.280 --> 00:01:16.820]   and there's a deeper satisfaction I get out of that.
[00:01:16.820 --> 00:01:19.500]   That's why I trust myself to do this going forward.
[00:01:19.500 --> 00:01:22.080]   Secondly, the issue here is gonna be similar
