
[00:00:00.000 --> 00:00:09.920]   Well, hi, everyone. Welcome back to another episode of The Everyday Educator. I am so
[00:00:09.920 --> 00:00:14.600]   excited. I was literally just saying to Amy Jones, who's here with me today, that I'm
[00:00:14.600 --> 00:00:18.980]   so excited about this conversation because I think it's really going to stretch me. And
[00:00:18.980 --> 00:00:25.820]   I'm hopeful that as you hear and feel me stretch into the topic of science, that that encourages
[00:00:25.820 --> 00:00:31.600]   you today. So I just want to remind you before we get started, if you're not a part of a Classical
[00:00:31.600 --> 00:00:37.240]   Conversations community, that really is the best place for you to go to learn more about
[00:00:37.240 --> 00:00:43.500]   how to homeschool, to learn more about what it's like to classically Christian educate your
[00:00:43.500 --> 00:00:48.780]   child. And so we want to encourage you to definitely find that in-person community. And you can find
[00:00:48.780 --> 00:00:54.380]   that online at classicalconversations.com. But without any further ado, I've got Amy Jones
[00:00:54.380 --> 00:00:59.860]   in the house. Amy, hi. Hi. It's good to be here. And this is my favorite topic. So thanks
[00:00:59.860 --> 00:01:05.980]   for inviting me. This is going to be so fun. I know you're probably not new to say 85% of
[00:01:05.980 --> 00:01:09.900]   our listeners, because we have you on here a lot. But just in case they don't know who
[00:01:09.900 --> 00:01:12.980]   you are, what you do, will you just introduce yourself to everyone?
[00:01:12.980 --> 00:01:19.940]   Oh, sure. My name is Amy Jones. I live here in Tennessee with my husband. And we have four
[00:01:19.940 --> 00:01:27.140]   children. And I call them three bonus children. Three of my children are married. And we have
[00:01:27.140 --> 00:01:33.840]   just, they have lovely families. And we have nine, soon to be 10 grandchildren. So they keep
[00:01:33.840 --> 00:01:39.120]   us busy. And fortunately, they're within an hour or so of our house. So we get to pester
[00:01:39.120 --> 00:01:46.160]   them as much as we want. It's really fun. And we homeschooled our kids. The very beginning,
[00:01:46.600 --> 00:01:52.680]   when my oldest was, I think when they're born, you start homeschooling, don't you? And then all
[00:01:52.680 --> 00:02:00.120]   the way through my, our youngest son just graduated from, oh goodness, college a couple of years ago.
[00:02:00.120 --> 00:02:06.680]   And he's just finished his first year of med school. So hooray for him. Many prayers,
[00:02:06.680 --> 00:02:11.480]   many prayers. So we were just delighted to be able to have the privilege of homeschooling
[00:02:11.480 --> 00:02:17.640]   and just being with each other, the ups and downs, you know, the bumps and bruises, but just
[00:02:17.640 --> 00:02:25.160]   lots of laughter. And, and what I was reflecting on today was that we, um, we still have those
[00:02:25.160 --> 00:02:30.660]   conversations. Hmm. You know, the ones that you had around the table that your mom brought you
[00:02:30.660 --> 00:02:36.440]   together and you talked about, we still have those conversations. So it doesn't end. So yeah.
[00:02:36.440 --> 00:02:43.160]   Well, that's encouraging to hear because, you know, I think sometimes parents do worry and you never
