
[00:00:00.000 --> 00:00:14.000]   *Music*
[00:00:14.000 --> 00:00:22.700]   Great, thank you for for coming. I'm gonna talk about maximizing GPU efficiency with continuous profiling for GPUs
[00:00:22.700 --> 00:00:28.100]   So what is profiling? Profiling is pretty much as old as programming
[00:00:28.100 --> 00:00:30.700]   I think it was like firstly first done in like the
[00:00:30.700 --> 00:00:34.440]   1970s, I think some IBM folks were
[00:00:34.440 --> 00:00:41.620]   Trying to figure out what was happening on their computers back then so it's been around basically forever in
[00:00:41.620 --> 00:00:44.220]   computer science and
[00:00:44.220 --> 00:00:46.860]   What are we doing with profiling? We are profiling
[00:00:46.860 --> 00:00:52.020]   basically anything that we can to to inform our
[00:00:52.020 --> 00:00:57.080]   View of the world we want to see like the memory or CPU and GPU
[00:00:58.000 --> 00:01:05.220]   Time spent we want to see the usage of the individual instructions and the frequency and duration of these function calls so
[00:01:05.220 --> 00:01:09.980]   Yeah, a lot of different approaches to profiling, but
[00:01:09.980 --> 00:01:15.360]   Yeah, it's generally speaking super super important to to performance engineering
[00:01:15.360 --> 00:01:17.940]   So why would we do this?
[00:01:18.420 --> 00:01:22.700]   Obviously to improve performance and then also we can save money. So if we
[00:01:22.700 --> 00:01:25.740]   improve our
[00:01:25.740 --> 00:01:32.220]   Software by like 10% we might be able to just like turn off 10% of our like servers and save a bunch of money, right?
[00:01:32.220 --> 00:01:34.880]   so that would be great and
[00:01:34.880 --> 00:01:38.780]   There are two different kinds of of profiling typically
[00:01:39.460 --> 00:01:48.280]   that that we're seeing these days so one is tracing profiling and that is you record each and every event all the time constantly, but
[00:01:48.280 --> 00:01:50.700]   obviously, that's
[00:01:50.700 --> 00:01:54.440]   Great for like getting like the best possible
[00:01:54.440 --> 00:01:58.380]   View onto the system, but it's like pretty high cost
[00:01:58.380 --> 00:02:03.380]   And generates a lot of data. So it's like hard to to do
[00:02:04.060 --> 00:02:08.200]   Continuously, and that is why we're doing sampled profiling
[00:02:08.200 --> 00:02:16.820]   So what we do is basically we sample for a certain duration like 10 seconds and we only sample a hundred times per second or like
[00:02:16.820 --> 00:02:18.900]   20 times per second, etc
[00:02:18.900 --> 00:02:21.840]   You can tweak that how often do you want to profile?
[00:02:21.840 --> 00:02:25.840]   And and and sample so like a hundred times per second
[00:02:26.720 --> 00:02:37.420]   Isn't that much for a CPU and that's why you get like less than like a percent overhead on on the CPU and like only like four megabytes of overhead for the memory profiling
[00:02:37.420 --> 00:02:43.900]   You will most definitely miss things, but if you do it always on
[00:02:43.900 --> 00:02:53.120]   You will eventually see most of the relevant things right like one stack that executed once isn't like relevant to us anyway
[00:02:53.120 --> 00:02:55.120]   Like we want to see the big picture
