
[00:00:00.040 --> 00:00:09.480]   eviden
[00:00:09.480 --> 00:00:10.760]   but is a
[00:01:24.460 --> 00:01:35.960]   l
[00:01:35.960 --> 00:01:53.180]   buy be, In I "�, think mayensity, Jennifer, И, Active Men B arises
[00:01:53.620 --> 00:02:00.680]   Today we have looks like five callers on the line and we go first to Lou in Toronto.
[00:02:00.680 --> 00:02:01.680]   Lou, welcome to the show.
[00:02:01.680 --> 00:02:02.680]   How can I serve you today, sir?
[00:02:02.680 --> 00:02:03.680]   Hey, Josh.
[00:02:03.680 --> 00:02:11.360]   I want to get some advice on my plans for next year.
[00:02:11.360 --> 00:02:17.800]   I'm looking to buy a business early next year.
[00:02:17.800 --> 00:02:22.780]   I'm currently going through the process of selling an investment property to raise equity
[00:02:22.780 --> 00:02:22.780]   .
[00:02:22.780 --> 00:02:22.780]   The reason I'm doing this is because I'm looking to get some money out of the
[00:02:22.780 --> 00:02:22.780]   I'm looking to get some money out of the investment property to raise equity
[00:02:22.780 --> 00:02:22.780]   I'm looking to get some money out of the investment property to raise equity
[00:02:22.780 --> 00:02:22.780]   I'm looking to get some money out of the investment property to raise equity
[00:02:22.780 --> 00:02:22.780]   I'm looking to get some money out of the investment property to raise equity
[00:02:22.780 --> 00:02:22.780]   I'm looking to get some money out of the investment property to raise equity
[00:02:23.620 --> 00:02:52.000]   I'm looking to get some money out of the investment property to raise equity
[00:02:52.000 --> 00:02:52.060]   I'm looking to get some money out of the investment property to raise equity
[00:02:52.060 --> 00:02:52.120]   I'm looking to get some money out of the investment property to raise equity
[00:02:52.120 --> 00:02:52.180]   I'm looking to get some money out of the investment property to raise equity
[00:02:52.180 --> 00:02:52.200]   I'm looking to get some money out of the investment property to raise equity
[00:02:52.200 --> 00:02:52.420]   I'm looking to get some money out of the investment property to raise equity
[00:02:52.420 --> 00:02:52.420]   I'm looking to get some money out of the investment property to raise equity
[00:02:52.420 --> 00:02:52.420]   I'm looking to get some money out of the investment property to raise equity
[00:02:52.420 --> 00:02:52.420]   I'm looking to get some money out of investment property to raise equity
[00:02:52.420 --> 00:02:52.420]   I'm looking to get some money out of investment property to raise equity
[00:02:52.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.440 --> 00:03:22.440]   I'm looking to get some money out of the investment property to raise equity
[00:03:22.480 --> 00:03:52.460]  , I'm looking to get some money out of the investment property to raise equity
[00:03:52.460 --> 00:03:52.460]   I'm looking to get some money out of the investment property to raise equity
[00:03:52.460 --> 00:03:52.460]   I'm looking to get some money out of the investment property to raise equity
[00:03:52.460 --> 00:03:52.460]   I'm looking to get some money out of the investment property to raise equity
[00:03:52.460 --> 00:03:52.460]   I'm looking to get some money out of the investment property to raise equity
