
[00:00:00.000 --> 00:00:02.180]   (beeping)
[00:00:02.180 --> 00:00:13.480]   - Welcome back to Ask the Compound.
[00:00:13.480 --> 00:00:15.040]   You have questions, we have answers,
[00:00:15.040 --> 00:00:17.320]   we have experts, we have me and Duncan.
[00:00:17.320 --> 00:00:21.240]   Ask the Compound show at gmail.com is the email.
[00:00:21.240 --> 00:00:24.680]   Today's show is sponsored by our friends at Bird Dogs.
[00:00:24.680 --> 00:00:27.000]   Duncan, I have a family trip planned for tomorrow.
[00:00:27.000 --> 00:00:28.400]   We're going up to beautiful Mackinac Island,
[00:00:28.400 --> 00:00:30.360]   kind of an annual tradition for us now.
[00:00:30.360 --> 00:00:34.640]   You have to take a ferry to the island
[00:00:34.640 --> 00:00:36.640]   and there's no cars on the island.
[00:00:36.640 --> 00:00:37.480]   Right? - Sounds nice.
[00:00:37.480 --> 00:00:38.300]   - It's on a horse and carriage,
[00:00:38.300 --> 00:00:39.140]   but there's also a lot of bikes.
[00:00:39.140 --> 00:00:40.400]   You bike around, it's pretty beautiful.
[00:00:40.400 --> 00:00:42.920]   You go all the way around the outside of the island.
[00:00:42.920 --> 00:00:44.180]   But I have to figure out what I'm wearing, right?
[00:00:44.180 --> 00:00:45.480]   I'm checking the weather.
[00:00:45.480 --> 00:00:47.800]   And so I'm packing last night and guess what I packed?
[00:00:47.800 --> 00:00:49.840]   All Bird Dogs for my lower half.
[00:00:49.840 --> 00:00:52.680]   Bird Dog shorts, Bird Dog pants.
[00:00:52.680 --> 00:00:54.060]   And because I'm thinking I'm gonna be on a bike,
[00:00:54.060 --> 00:00:55.240]   I'm gonna be a little active.
[00:00:55.240 --> 00:00:56.560]   But then I also have to dress nice
[00:00:56.560 --> 00:00:58.640]   because my mother's birthday is this weekend.
[00:00:58.640 --> 00:00:59.660]   So we're going out to a nice dinner.
[00:00:59.660 --> 00:01:01.760]   So I have the nice seersucker ones, right?
[00:01:01.760 --> 00:01:02.880]   Then of course, when I'm on the bike,
[00:01:02.880 --> 00:01:04.120]   I don't wanna be uncomfortable
[00:01:04.120 --> 00:01:05.680]   and have the George Costanza with a wallet
[00:01:05.680 --> 00:01:06.520]   that I'm sitting on.
[00:01:06.520 --> 00:01:07.960]   So the wallet's on the side.
