
[00:00:00.000 --> 00:00:02.000]   Welcome back
[00:00:02.000 --> 00:00:06.480]   So we had a busy lesson last week and
[00:00:06.480 --> 00:00:15.400]   I was really thrilled to see actually one of our master's students here at USF actually
[00:00:15.400 --> 00:00:19.280]   Actually took what we learned
[00:00:19.280 --> 00:00:22.720]   Took what we learned
[00:00:22.720 --> 00:00:28.600]   With structured deep learning and turned it into a blog post which as I suspected has been
[00:00:29.200 --> 00:00:31.200]   Incredibly popular because it's just something
[00:00:31.200 --> 00:00:38.960]   People didn't know about and so it actually ended up getting picked up by the towards data science publication
[00:00:38.960 --> 00:00:45.400]   Which I quite like actually if you're interested in keeping up with what's going on in data science. It's quite good medium publication
[00:00:45.400 --> 00:00:47.680]   and so Karen
[00:00:47.680 --> 00:00:49.440]   talked about
[00:00:49.440 --> 00:00:51.800]   structured deep learning and basically introduced
[00:00:51.800 --> 00:00:56.520]   you know that the basic ideas that we learned about last week and
[00:00:57.920 --> 00:01:02.920]   It got picked up quite quite widely one of the one of the things I was pleased to see actually
[00:01:02.920 --> 00:01:07.240]   Sebastian Ruder who actually mentioned in last week's class as being one of my favorite researchers
[00:01:07.240 --> 00:01:14.880]   Tweeted it and then somebody from Stitch Fix said oh, yeah, we've actually been doing that for ages, which is kind of cute
[00:01:14.880 --> 00:01:16.640]   I
[00:01:16.640 --> 00:01:21.600]   Kind of know that this is happening in industry a lot and I've been telling people this is happening in industry a lot
[00:01:21.600 --> 00:01:23.040]   But nobody's been talking about it
[00:01:23.040 --> 00:01:28.640]   And now the Karen's kind of published a blog saying hey check out this cool thing and now Stitch Fix is like yeah
[00:01:28.640 --> 00:01:30.640]   We're doing that already so
[00:01:30.640 --> 00:01:33.240]   So that's been great
[00:01:33.240 --> 00:01:40.720]   Great to see and I think there's still a lot more that can be dug into with this structured deep learning stuff
[00:01:40.720 --> 00:01:46.320]   You know to build on top of Karen's post would be to maybe like experiment with some different data sets
[00:01:46.320 --> 00:01:54.240]   Maybe find some old Kaggle competitions and see like there's some competitions that you could now win with this or some which doesn't work
[00:01:54.240 --> 00:01:56.240]   For would be equally interesting
[00:01:56.240 --> 00:01:58.400]   and also like just
[00:01:58.400 --> 00:02:02.480]   Experimenting a bit with different amounts of dropout different layer sizes, you know
[00:02:02.480 --> 00:02:09.880]   Because nobody much has written about this. I don't think there's been any blog posts about this before that. I've seen anywhere
[00:02:11.160 --> 00:02:17.360]   There's a lot of unexplored territory. So I think there's a lot we could we could build on top of here
[00:02:17.360 --> 00:02:23.380]   And there's definitely a lot of interest. I saw one person on Twitter saying this is what I've been looking for ages
[00:02:23.380 --> 00:02:27.200]   another thing which I was pleased to see is
[00:02:27.200 --> 00:02:30.280]   Nicky all who we saw his
[00:02:30.280 --> 00:02:32.280]   cricket versus baseball
[00:02:32.280 --> 00:02:35.880]   Predictor as well as his currency predictor after lesson one
[00:02:35.880 --> 00:02:39.360]   Went on to
[00:02:39.680 --> 00:02:46.840]   Download something a bit bigger which was to download a couple of hundred of images of actors and he manually
[00:02:46.840 --> 00:02:49.080]   Went through and checked which well
[00:02:49.080 --> 00:02:54.040]   I think first of all he like used Google to try and find ones with glasses and ones without then he manually went through and
[00:02:54.040 --> 00:02:56.040]   Check that they had been put in the right spot
[00:02:56.040 --> 00:02:58.240]   and this is a good example of one where
[00:02:58.240 --> 00:03:02.240]   Vanilla resnet didn't do so well with just the last layer
[00:03:03.280 --> 00:03:10.240]   And so what Nicole did was he went through and tried unfreezing the layers and using differential learning rates and got up to
[00:03:10.240 --> 00:03:15.840]   100% accuracy and the thing I like about these things that Nicole is doing is the way he's
[00:03:15.840 --> 00:03:21.560]   He's not downloading a Kaggle data set. He's like deciding on a problem that he's going to try and solve
[00:03:21.560 --> 00:03:23.560]   He's going from scratch from Google
[00:03:23.560 --> 00:03:29.100]   And he's actually got a link here even to a suggested way to help you download images from Google
[00:03:29.100 --> 00:03:32.320]   So I think this is great and I actually gave a talk
[00:03:33.000 --> 00:03:36.260]   just this afternoon at Singularity University to a
[00:03:36.260 --> 00:03:42.040]   Executive team of one of the world's largest telecommunications companies and actually showed them this post
[00:03:42.040 --> 00:03:44.480]   because the
[00:03:44.480 --> 00:03:48.860]   Folks there were telling me that that all the vendors that come to them and tell them they need like
[00:03:48.860 --> 00:03:54.140]   Millions of images and huge data centers full of hardware, and you know they have to buy special
[00:03:54.140 --> 00:04:01.040]   Software that only these vendors can provide and I said like actually this person's been doing a course for three weeks now
[00:04:01.040 --> 00:04:04.980]   And look at what he's just done with a computer that cost him 60 cents an hour
[00:04:04.980 --> 00:04:12.200]   And they were like they were so happy to hear that like okay. They're you know this actually isn't the reach of normal people
[00:04:12.200 --> 00:04:15.680]   I'm assuming Nicole's a normal person. I haven't actually
[00:04:15.680 --> 00:04:20.500]   If you're proudly abnormal Nicole I apologize
[00:04:20.500 --> 00:04:24.760]   I actually went and actually had a look at his cricket
[00:04:24.760 --> 00:04:29.840]   Classifier and I was really pleased to see that his code actually is the exact same code
[00:04:30.280 --> 00:04:34.420]   That we used in lesson one. I was hoping that would be the case. You know the anything he changed was
[00:04:34.420 --> 00:04:37.120]   the number of epochs I guess
[00:04:37.120 --> 00:04:41.400]   So this idea that we can take those four lines of code and reuse it to do other things
[00:04:41.400 --> 00:04:47.880]   It's definitely turned out to be true, and so these are good things to show like a your organization
[00:04:47.880 --> 00:04:53.600]   If you're anything like the executives at this big company. I spoke to today. There'll be a certain amount of like
[00:04:54.120 --> 00:05:00.920]   Not to surprise but almost like pushback of like if this was true somebody there's you know they basically said that this is true
[00:05:00.920 --> 00:05:07.080]   Somebody would have told us so like why isn't everybody doing this already so like I think you might have to actually show them
[00:05:07.080 --> 00:05:10.240]   You know maybe you can build your own with some internal data
[00:05:10.240 --> 00:05:16.240]   You've got at work or something like here. It is you know didn't cost me anything. It's all finished
