
[00:00:00.000 --> 00:00:16.480]   Welcome, everyone, to the 83rd edition of Bogleheads on Investing.
[00:00:16.480 --> 00:00:22.480]   In this episode, we're going to talk about the tax benefits of charitable giving with
[00:00:22.480 --> 00:00:28.640]   Phil DeMuth, who wrote a new book, The Tax Smart Donor, Optimize Your Lifetime Giving
[00:00:28.640 --> 00:00:34.000]   Plan. This is a topic I thought I knew a lot about, but I did not. And what I learned is
[00:00:34.000 --> 00:00:39.760]   that donating haphazardly is not optimal, and that a lifetime giving plan is an important
[00:00:39.760 --> 00:00:54.760]   part of your long-term financial plan. Hi, everyone. My name is Rick Ferry, and I am the
[00:00:54.760 --> 00:01:00.480]   host of Bogleheads on Investing. This episode, as with all episodes, is brought to you by
[00:01:00.480 --> 00:01:06.460]   the John C. Bogle Center for Financial Literacy, a nonprofit organization that is building a
[00:01:06.460 --> 00:01:13.820]   world of well-informed, capable, and empowered investors. Visit the Bogle Center at boglecenter.net,
[00:01:13.820 --> 00:01:19.880]   where you will find a treasure trove of information, including transcripts of these podcasts. Before we
[00:01:19.880 --> 00:01:27.700]   begin, I have one special announcement. Tickets for the 2025 Bogleheads conference are now on sale
[00:01:27.700 --> 00:01:35.160]   at boglecenter.net. This year's conference will begin at noontime on Friday, October 17th,
[00:01:35.160 --> 00:01:43.040]   and run through noontime on Sunday, October 19th. It will be at the Hyatt Regency San Antonio Riverwalk
[00:01:43.040 --> 00:01:49.580]   Hotel, a beautiful location directly across from the Alamo. You'll find a list of speakers at the
[00:01:49.580 --> 00:01:57.040]   boglecenter.net website, and a full agenda will be up soon. I hope to see many of you there. Last month on
[00:01:57.040 --> 00:02:04.560]   Bogleheads on Investing, we had Jonathan Clements, Jason Zweig, and Christine Benz talking about the Jonathan
[00:02:04.560 --> 00:02:12.040]   Clements Getting Going on Savings Initiative, a nonprofit study that is being funded through the John C.
[00:02:12.040 --> 00:02:18.720]   Bogle Center for Financial Literacy, a 501c3 nonprofit organization. You can go back and you could listen
[00:02:18.720 --> 00:02:25.720]   to episode 82 to learn more and how you can participate through your own tax-deductible
[00:02:25.720 --> 00:02:32.080]   donation. After recording that podcast, I started thinking, what's the other side of charitable giving?
[00:02:32.080 --> 00:02:37.860]   It is the tax deduction that you may get. And it turns out there's a lot more to that tax deduction
[00:02:37.860 --> 00:02:45.160]   than I thought. Enter Phil DeMuth, who, out of coincidence, just happened to have written a new
[00:02:45.160 --> 00:02:52.660]   book, The Tax Smart Donor, Optimize Your Lifelong Giving Plan. He sent me a copy of this book. I've read
[00:02:52.660 --> 00:02:59.100]   it. I was so impressed. There was so much in that book that I did not know. The strategies that Phil put
[00:02:59.100 --> 00:03:05.860]   forth, I thought were very insightful. Phil was a previous guest on episode 32, and he agreed to
[00:03:05.860 --> 00:03:13.820]   come back on this month, talk a little bit about the tax benefits of a lifelong giving strategy. So with no
[00:03:13.820 --> 00:03:19.780]   further ado, let's welcome back to Bogle Heads on Investing, Phil DeMuth. Welcome back, Phil.
[00:03:19.780 --> 00:03:23.160]   Rick, thank you so much for having me. It's a privilege to be here.
[00:03:23.160 --> 00:03:30.640]   Well, thank you. And it's such a timely book because last month we had a podcast talking about
[00:03:30.640 --> 00:03:38.020]   the Jonathan Clemens Getting Going on Savings Initiative. And so your book, The Tax Smart Donor,
[00:03:38.020 --> 00:03:44.540]   is actually the flip side of that, which is, yes, we want to do good, but we also maybe want to get a tax
[00:03:44.540 --> 00:03:53.520]   break. Now, I have to say, I thought I knew about the tax benefits of giving to charity. After reading
[00:03:53.520 --> 00:03:58.360]   your book, I have to say, I didn't really know very much. All of the different points that you brought
[00:03:58.360 --> 00:04:03.220]   out were fantastic in the book, and we're going to go through the book. But first, why did you decide
[00:04:03.220 --> 00:04:09.760]   to write the book? My father died about 30 years ago. While he was a patriotic American, fought in World
[00:04:09.760 --> 00:04:16.540]   War II, he did not like paying taxes that he didn't have to pay. And he had enough money at the time
[00:04:16.540 --> 00:04:23.120]   that he sort of eclipsed over into estate tax territory. So he ended up giving it to charity
[00:04:23.120 --> 00:04:30.120]   instead. So that was really my first introduction to charitable giving on more than a $5 bill in the
[00:04:30.120 --> 00:04:37.020]   church collection plate level. Over time, I came to learn more. I live in the state of California,
[00:04:37.020 --> 00:04:43.760]   California, which some of you may know is a high tax state. The taxes get very expensive here. So
[00:04:43.760 --> 00:04:50.040]   this may be very tax sensitive and looking for any angle I could to try to save money.
[00:04:50.040 --> 00:04:58.200]   So the book talks about saving on taxes on many different levels of federal income tax, federal
[00:04:58.200 --> 00:05:06.440]   estate tax. And some states, state income tax, state estate tax, and state inheritance tax,
[00:05:06.440 --> 00:05:12.080]   potentially five different taxes. Yes. And before we get on that path, let's start at the beginning
[00:05:12.080 --> 00:05:21.180]   with a history of the charitable contribution tax deduction. Yes, it's one of the oldest sacred cows
[00:05:21.180 --> 00:05:29.820]   in the tax code going back to 1916, just a few years after the income tax itself began. It started
[00:05:29.820 --> 00:05:39.500]   basically because President Wilson wanted to raise taxes to allow the U.S. to participate in World War
[00:05:39.500 --> 00:05:50.240]   War 1. Turned out to be a fairly calamitous decision. He rose taxes from 15% to 67%. And at that point,
[00:05:50.240 --> 00:05:59.180]   it became an open question for the wealthy people in America. Why should we give all our money to these
[00:05:59.180 --> 00:06:09.920]   various civic institutions, you know, concert halls and libraries and education institutions and so forth?
[00:06:09.920 --> 00:06:15.500]   If the government's taking two thirds of our money, why don't we let them pick up the tab? Then we'll just
[00:06:15.500 --> 00:06:21.980]   spend the money on the stuff that we want to spend money on. And so Congress quickly realized this was not
[00:06:21.980 --> 00:06:27.900]   going to work. They wanted to spend on their own schemes. So they thought we better have the rich people
[00:06:27.900 --> 00:06:34.140]   paying this. So we're going to give them a tax break. They can deduct the money from their income tax. That way,
[00:06:34.140 --> 00:06:39.500]   they'll take care of all the stuff that we don't want to bother with. So it's stayed in place ever since.
[00:06:39.500 --> 00:06:43.260]   So that begs the question, what is a charity?
[00:06:43.260 --> 00:06:53.420]   It's a concept that's nowhere defined. You know, it's broadly designed to further, you know, important social goals,
[00:06:54.620 --> 00:07:03.660]   educational, medical, any, you know, civic, artistic. Nobody has a definition of it. But there is a
[00:07:03.660 --> 00:07:09.660]   practical definition, which is that if you're thinking about giving to charity and have any interested in
[00:07:09.660 --> 00:07:20.300]   getting a tax deduction, it better be for the most part, a 501c3 public charity. And so is it one or not?
[00:07:20.300 --> 00:07:25.180]   You can go to the IRS website, look for tax exempt charitable organizations, and they've got a
[00:07:25.180 --> 00:07:33.340]   very clunky tool that you can look it up and find out if your charity is a 501c3 charity,
[00:07:33.340 --> 00:07:37.820]   or perhaps if it's a private foundation, that would be another category you might be able to give to.
[00:07:38.940 --> 00:07:46.380]   Now, part of the book talks about giving to charities outside the United States, where that can also be a tax deduction.
[00:07:46.380 --> 00:07:51.740]   I just want to touch on that because we have a lot of people that I talk with who do want to give to charities outside the U.S.
[00:07:51.740 --> 00:07:53.180]   So how does that happen?
[00:07:53.180 --> 00:07:59.980]   With difficulty. It used to be the case, I believe, that you really could not do that very effectively.
[00:07:59.980 --> 00:08:05.420]   But now you can usually do it pretty well with some kind of a workaround.
[00:08:05.420 --> 00:08:11.820]   If you know there's a foreign charity that you like, you can ask them directly whether they have a U.S.
[00:08:11.820 --> 00:08:18.300]   charity that is a feeder organization that passes money to them. And I know people that have done that.
[00:08:18.300 --> 00:08:24.940]   I think I have a client who started one so we could just direct money to a foreign charity that he was interested in supporting.
[00:08:24.940 --> 00:08:34.060]   That's one way to go. Oftentimes, the larger donor advised funds will have expertise in this area,
[00:08:34.060 --> 00:08:39.820]   because there's there are certain compliance hoops you've got to jump through to make sure that it's
[00:08:39.820 --> 00:08:47.500]   actually a legitimate charity and not some, you know, money laundering organization or or a mafioso organization.
[00:08:47.500 --> 00:08:52.540]   So they've got to do some amount of due diligence before you can just say this is a charity.
[00:08:52.540 --> 00:08:59.580]   So so that's another way to go. There are also some charities themselves that specialize in
[00:08:59.580 --> 00:09:04.460]   transferring money to charitable organizations in foreign countries.
[00:09:04.460 --> 00:09:08.860]   So it's not quite as straightforward if you want to give to the charity down the street.
[00:09:08.860 --> 00:09:16.860]   So we can give directly to a 501c3 organization. We can also give to a donor advised fund.
[00:09:17.420 --> 00:09:22.940]   Which itself is a 501c3. Correct. Let's talk about what a donor advised fund is.
[00:09:22.940 --> 00:09:30.460]   Sure. Well, a donor advised fund is itself a charitable organization, and you can give money to them,
[00:09:30.460 --> 00:09:39.020]   and they will keep it in a segregated account in your name. And then you have the right to direct some of the
[00:09:39.020 --> 00:09:45.660]   investment investment of that money. And you have the right to advise them as to how you'd like the money
[00:09:45.660 --> 00:09:58.380]   So it's kind of a holding tank for charitable dollars where you can let them grow in, you know, index funds if you want.
[00:09:58.380 --> 00:10:05.900]   I'm kind of a shill of the financial services industry because I see a lot of valuable use for these outfits.
