
[00:00:00.040 --> 00:00:09.480]   Оп
[00:00:09.480 --> 00:00:10.520]  'm make,
[00:01:24.180 --> 00:01:24.180]   and
[00:01:54.240 --> 00:02:00.980]   but
[00:02:00.980 --> 00:02:05.860]  View
[00:02:05.860 --> 00:02:20.140]   over in theVIS relie景 IM K . . . .. ., and, and, and, and, and, and, and, and, and, and, and, go back, needing Neg, изменbr, refer, headed, record,rill, 결국, on, well, not, blind, ad, say, workout, Stern, bad, três, HRC.ar, asse Пред. permit,
[00:02:20.140 --> 00:02:21.900]   I'm
[00:02:21.900 --> 00:02:22.520]   knew.Inst高oco На都是 delicate their
[00:02:22.560 --> 00:02:35.080]   people who most loudly proclaim such statements frequently, their lives reflect the fact that they are not readers and that they don't have the opportunity to gain the benefit of the wisdom of the ages.
[00:02:35.080 --> 00:02:36.880]   Now, that's not universally true.
[00:02:36.880 --> 00:02:43.080]   There have been people who have been successful that I've come in contact with or observed that aren't readers.
[00:02:43.080 --> 00:02:50.800]   But at least usually when they say, I'm not a reader, they've often said so with a note of apology, recognizing that they probably would get better results if they were not readers.
[00:02:50.800 --> 00:02:50.800]   They've often said so with a note of apology, recognizing that they probably would get better results if they were not readers.
[00:02:50.800 --> 00:02:50.800]   They've often said so with a note of apology, recognizing that they probably would get better results if they were not readers.
[00:02:50.800 --> 00:02:50.800]   They've often said so with a note of apology, recognizing that they probably would get better results if they were not readers.
[00:02:51.780 --> 00:03:19.060]  .They probably would get better results if they were not readers.
[00:03:19.060 --> 00:03:19.060]   They've often said so with a note of apology, recognizing that they probably would get better results if they were not readers.
[00:03:19.080 --> 00:03:26.720]   But reading should be the foundation of all of our educational platforms.
[00:03:26.720 --> 00:03:32.620]   Unfortunately, in our modern age, too many of us have the thought that education is something that happens to us.
[00:03:32.620 --> 00:03:42.320]   We go to school and we get our education instead of becoming learners intent and focused on constant self education.
[00:03:42.320 --> 00:03:47.320]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:03:47.320 --> 00:03:47.320]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:03:47.320 --> 00:03:47.320]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:03:47.320 --> 00:03:47.320]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:03:47.320 --> 00:03:47.320]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:03:47.320 --> 00:03:47.320]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:03:47.320 --> 00:03:47.320]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:03:47.360 --> 00:04:15.580]  ,
[00:04:15.580 --> 00:04:15.660]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:04:15.660 --> 00:04:15.720]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:04:15.720 --> 00:04:15.780]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:04:15.780 --> 00:04:15.820]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:04:15.820 --> 00:04:15.860]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:04:15.860 --> 00:04:15.880]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:04:15.880 --> 00:04:15.980]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:04:15.980 --> 00:04:15.980]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
[00:04:15.980 --> 00:04:16.040]   Reading is very efficient because you can change the pace of reading as appropriate to the content.
