
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:09.200]   - Hey friends, I am so excited to welcome one of my dearest
[00:00:09.200 --> 00:00:13.960]   and oldest classical conversations friends
[00:00:13.960 --> 00:00:17.040]   to our conversation this afternoon.
[00:00:17.040 --> 00:00:19.840]   I am blessed to have with us today,
[00:00:19.840 --> 00:00:23.600]   Melissa Ellison of Virginia.
[00:00:23.600 --> 00:00:25.440]   Melissa, how are you doing?
[00:00:25.440 --> 00:00:26.280]   - I'm great.
[00:00:26.280 --> 00:00:27.200]   How are you, Lisa?
[00:00:27.200 --> 00:00:29.520]   - I am so excited to get to talk to you.
[00:00:29.520 --> 00:00:30.480]   - Me too.
[00:00:30.480 --> 00:00:33.820]   - I miss regular conversation with you
[00:00:33.820 --> 00:00:35.720]   and I feel like we could probably just talk
[00:00:35.720 --> 00:00:38.180]   and talk and talk about many things,
[00:00:38.180 --> 00:00:40.760]   personal as well as homeschooling.
[00:00:40.760 --> 00:00:44.700]   So I'm gonna make myself stick to the subject at hand
[00:00:44.700 --> 00:00:49.640]   because I want my friends to get to know you
[00:00:49.640 --> 00:00:52.180]   as much as they can also.
[00:00:52.180 --> 00:00:55.760]   So let me start by asking Melissa,
[00:00:55.760 --> 00:01:00.080]   how long have you and your husband Mike homeschooled?
[00:01:00.080 --> 00:01:03.820]   - We have homeschooled,
[00:01:03.820 --> 00:01:07.960]   trying to think, well, my one son started
[00:01:07.960 --> 00:01:11.880]   a piece of Darien's and foundations when he was four
[00:01:11.880 --> 00:01:14.480]   and he is now 21.
[00:01:14.480 --> 00:01:16.280]   - Oh my goodness.
[00:01:16.280 --> 00:01:17.680]   - And we graduated him.
[00:01:17.680 --> 00:01:21.380]   So, and then we have one that's younger than that.
[00:01:21.380 --> 00:01:25.240]   So it's probably been, so how many years is that?
[00:01:25.240 --> 00:01:28.120]   (all laughing)
[00:01:28.120 --> 00:01:31.040]   - About 18 years, about 18 years.
[00:01:31.040 --> 00:01:33.600]   - Sometimes I ask people how long they've homeschooled
[00:01:33.600 --> 00:01:36.620]   and they start counting from the birth of their children,
[00:01:36.620 --> 00:01:38.520]   which I completely--
[00:01:38.520 --> 00:01:39.720]   - Yeah, that's true too.
[00:01:39.720 --> 00:01:42.640]   I mean, I got pregnant with my youngest
[00:01:42.640 --> 00:01:45.520]   when I was in my first year in foundations
[00:01:45.520 --> 00:01:48.720]   and he is going to be 18 next month, so.
[00:01:48.720 --> 00:01:52.520]   - Sometimes I ask people and I understand them
[00:01:52.520 --> 00:01:54.600]   saying that they homeschooled from birth
[00:01:54.600 --> 00:01:57.840]   because the things that we pass on to our children
[00:01:57.840 --> 00:02:01.460]   and the things we teach them are not just academics.
[00:02:01.460 --> 00:02:02.880]   And so a lot of times I feel like,
[00:02:02.880 --> 00:02:04.600]   yeah, I've been homeschooling their whole lives.
[00:02:04.600 --> 00:02:07.040]   My child's almost 30, I've been homeschooling
[00:02:07.040 --> 00:02:09.820]   for almost 30 years and that's why I have gray hair.
[00:02:09.820 --> 00:02:13.400]   But so, so I understand.
[00:02:13.400 --> 00:02:15.280]   - It's probably longer, but that's with Cece
[00:02:15.280 --> 00:02:19.120]   because I homeschooled a couple of years before I found Cece.
[00:02:19.120 --> 00:02:20.540]   - Yes, and so did I.
[00:02:20.540 --> 00:02:22.280]   And so I also have to clarify
[00:02:22.280 --> 00:02:23.860]   when I tell that to people too,
[00:02:23.860 --> 00:02:27.520]   'cause we started before I knew anything about Cece
[00:02:27.520 --> 00:02:30.320]   and I was just, you know, maybe we'll get to this.
[00:02:30.320 --> 00:02:34.260]   I was making it up as I went along by myself.
[00:02:34.260 --> 00:02:35.180]   But let me ask you,
[00:02:35.180 --> 00:02:38.360]   why did you and Mike begin this journey?
[00:02:38.360 --> 00:02:42.340]   - Well, to be honest, I was homeschooling.
