
[00:00:00.000 --> 00:00:07.400]   All right. Welcome everyone.
[00:00:07.400 --> 00:00:09.400]   Again, we have a very full day.
[00:00:09.400 --> 00:00:15.280]   The plan is to finish up our review of core information retrieval stuff.
[00:00:15.280 --> 00:00:18.160]   The focus will be on neural information retrieval,
[00:00:18.160 --> 00:00:20.840]   where a lot of the action is these days.
[00:00:20.840 --> 00:00:23.240]   I have then a few datasets to show you,
[00:00:23.240 --> 00:00:25.240]   and then I'm going to turn it over to Sid,
[00:00:25.240 --> 00:00:28.400]   and Sid is going to help us talk again about how to
[00:00:28.400 --> 00:00:31.200]   build fantastic language models.
[00:00:31.200 --> 00:00:36.520]   So let's dive in. We'll start by using our big handout here,
[00:00:36.520 --> 00:00:38.400]   information retrieval.
[00:00:38.400 --> 00:00:40.040]   Right. So here we are,
[00:00:40.040 --> 00:00:41.520]   and we are going to skip.
[00:00:41.520 --> 00:00:44.760]   That's right. I had a couple more metrics that I wanted to show you.
[00:00:44.760 --> 00:00:45.680]   So let's start there.
[00:00:45.680 --> 00:00:52.800]   So last time we talked about how assessment in the space of IR should be multidimensional.
[00:00:52.800 --> 00:00:54.920]   We've been focused on accuracy,
[00:00:54.920 --> 00:00:56.080]   but I will make amends.
[00:00:56.080 --> 00:00:59.200]   We are going to circle back and talk about these other dimensions,
[00:00:59.200 --> 00:01:03.040]   which I regard as absolutely crucial in this space.
[00:01:03.040 --> 00:01:06.680]   But with that said, we did dive into different metrics.
[00:01:06.680 --> 00:01:10.120]   We talked about success and reciprocal rank.
[00:01:10.120 --> 00:01:12.840]   Success, you should think of as just saying,
[00:01:12.840 --> 00:01:14.760]   for my chosen k,
[00:01:14.760 --> 00:01:16.720]   is there a star above me?
[00:01:16.720 --> 00:01:20.220]   That is, is there a relevant document above k?
[00:01:20.220 --> 00:01:22.480]   So it's a very coarse-grained measure.
[00:01:22.480 --> 00:01:23.800]   So this one here,
[00:01:23.800 --> 00:01:26.560]   if we set success at 2, D1,
[00:01:26.560 --> 00:01:30.240]   has success because there is a star at 2 or above.
[00:01:30.240 --> 00:01:36.160]   D2, that ranking also has a success of 1 because there is a star at 2 or above,
[00:01:36.160 --> 00:01:39.760]   and poor D3 gets a success of 0.
[00:01:39.760 --> 00:01:45.320]   And you can see already that it's coarse-grained because D1 and D2 are differentiated,
[00:01:45.320 --> 00:01:46.600]   in some intuitive sense,
[00:01:46.600 --> 00:01:50.140]   but here they both got a success score of 1.
[00:01:50.140 --> 00:01:55.940]   Reciprocal rank is a little bit better in the sense that it's more or less just
[00:01:55.940 --> 00:01:58.900]   registering whether there's a star at or above k,
[00:01:58.900 --> 00:02:03.020]   except now we are sensitive to the top most ranked one.
[00:02:03.020 --> 00:02:09.820]   So for example, D1 here has an RR at 2 of 1 because there is a star in first place.
[00:02:09.820 --> 00:02:16.500]   Whereas D2 has 1 over 2 because the first star is in second place.
[00:02:16.500 --> 00:02:19.940]   And then D3 still gets its poor 0.
[00:02:19.940 --> 00:02:25.500]   So pretty coarse-grained but very intuitive and sometimes success and RR are
[00:02:25.500 --> 00:02:28.620]   good metrics in the sense that you kind of just want to know for
[00:02:28.620 --> 00:02:31.220]   your chosen k whether you hit the mark,
[00:02:31.220 --> 00:02:32.380]   whether you got a star.
[00:02:32.380 --> 00:02:36.140]   And especially if you only have one relevant document per query,
[00:02:36.140 --> 00:02:38.500]   you might as well use these metrics.
[00:02:38.500 --> 00:02:41.780]   And then RR will just be a little bit more nuanced.
[00:02:41.780 --> 00:02:44.180]   We also talked about precision and recall,
[00:02:44.180 --> 00:02:47.960]   the classic accuracy style metrics in this space.
[00:02:47.960 --> 00:02:50.960]   The differentiator here from the previous ones is that
[00:02:50.960 --> 00:02:53.620]   these are going to be sensitive to multiple stars.
[00:02:53.620 --> 00:02:57.900]   So if you have more than one document that's relevant to your query,
[00:02:57.900 --> 00:03:00.440]   you will be able to detect that.
[00:03:00.440 --> 00:03:05.700]   So we have this notion of a return value that is just the set of documents k or above.
[00:03:05.700 --> 00:03:07.500]   And then the relevant documents,
[00:03:07.500 --> 00:03:09.340]   those are the ones with stars.
[00:03:09.340 --> 00:03:12.540]   And precision is saying for my chosen k,
[00:03:12.540 --> 00:03:17.260]   what percentage of the things at or above k are relevant?
[00:03:17.260 --> 00:03:20.380]   And that's precision in the sense that if you picked k,
[00:03:20.380 --> 00:03:22.540]   you're looking at the set of documents and you want to
[00:03:22.540 --> 00:03:25.900]   know how many of them have stars relative to the total.
[00:03:25.900 --> 00:03:29.340]   Or like the reverse of precision would be like which ones
[00:03:29.340 --> 00:03:33.060]   are kind of imprecise as predictions because there's no star there.
[00:03:33.060 --> 00:03:37.920]   And then recall is kind of the dual of that and it says for my chosen k,
[00:03:37.920 --> 00:03:41.940]   how many of the stars made it up to k or above?
[00:03:41.940 --> 00:03:46.940]   And the opposite of that would be like how many stars are lingering down below?
[00:03:46.940 --> 00:03:50.740]   So you can see here because of the numerator that we're going to differentiate
[00:03:50.740 --> 00:03:54.820]   systems now based on how many stars are at k or above.
[00:03:54.820 --> 00:03:57.460]   So it's sensitive to multiple stars.
[00:03:57.460 --> 00:03:59.440]   So just to walk through again,
[00:03:59.440 --> 00:04:02.660]   precision at 2 for D1 is 2 out of 2.
[00:04:02.660 --> 00:04:08.060]   For D2, it's 1 out of 2 because just half of them have a star.
[00:04:08.060 --> 00:04:11.820]   And for poor D3, 0 out of 2.
[00:04:11.820 --> 00:04:15.140]   Recall is very similar but now the denominator changes, right?
[00:04:15.140 --> 00:04:18.420]   So the recall at 2 for this first one is 2 out of 3.
[00:04:18.420 --> 00:04:20.520]   That is of the three-star documents,
[00:04:20.520 --> 00:04:22.500]   2 are at k or above.
[00:04:22.500 --> 00:04:26.500]   Here it's 1 out of 3 and here at 0 out of 3.
[00:04:26.500 --> 00:04:28.420]   And just to round this out,
[00:04:28.420 --> 00:04:32.980]   poor D3 has not fared well in our ranking so far.
[00:04:32.980 --> 00:04:35.040]   But in a surprise twist,
[00:04:35.040 --> 00:04:37.820]   if I change the value of k to 5,
[00:04:37.820 --> 00:04:40.860]   all of a sudden D3 looks pretty good.
[00:04:40.860 --> 00:04:45.180]   Because now it's got all three of its stars at 5 or above.
[00:04:45.180 --> 00:04:46.860]   Whereas the other two,
[00:04:46.860 --> 00:04:49.560]   even though they've got some high stars up there,
[00:04:49.560 --> 00:04:52.020]   we're not sensitive to that precisely.
[00:04:52.020 --> 00:04:54.820]   And so now D3 has pulled ahead.
[00:04:54.820 --> 00:04:58.580]   And that is maybe something that you want to watch out for because people kind of
[00:04:58.580 --> 00:05:01.580]   innocently choose these k values when they're evaluating systems.
[00:05:01.580 --> 00:05:06.340]   And I just showed you that that could really impact the ranking of systems.
[00:05:06.340 --> 00:05:09.180]   And in particular, like,
[00:05:09.180 --> 00:05:12.060]   you know, it's hard to imagine since there are only six documents.
[00:05:12.060 --> 00:05:15.300]   But if it was a lot of work to travel down to our chosen k,
[00:05:15.300 --> 00:05:17.300]   if k was 1,000,
[00:05:17.300 --> 00:05:20.960]   this would obscure the fact that we might pick as our winner
[00:05:20.960 --> 00:05:24.500]   a system that had all the stars more or less at 1,000.
[00:05:24.500 --> 00:05:28.020]   And the other systems which have their stars at the top of this ranking,
[00:05:28.020 --> 00:05:29.740]   and therefore they're easy to find,
[00:05:29.740 --> 00:05:33.320]   those might be diminished with such a high k.
[00:05:33.320 --> 00:05:35.740]   And so that kind of gets you into the role of thinking,
[00:05:35.740 --> 00:05:37.140]   what are my users trying to do?
[00:05:37.140 --> 00:05:41.020]   What is the cost of them scanning down a list of ranked results and things like that?
[00:05:41.020 --> 00:05:44.660]   And that's where I want you to be when you think about these metrics.
[00:05:44.660 --> 00:05:47.740]   What are you trying to solve out there in the world?
[00:05:47.740 --> 00:05:49.200]   What are your users confronting?
[00:05:49.200 --> 00:05:54.300]   What is the cost of reviewing examples and so forth and so on? Yeah.
[00:05:54.300 --> 00:05:59.340]   Well, the neural IR models that we're going to kind of solve this problem of, right,
[00:05:59.340 --> 00:06:03.500]   because right now everything's based on the presence or not of a word,
[00:06:03.500 --> 00:06:07.540]   rather than kind of maybe a- either a longer meaning or,
[00:06:07.540 --> 00:06:11.140]   um, like the quality of the relevance, however we define it.
[00:06:11.140 --> 00:06:15.120]   Like maybe it only says the word once but actually has the best information afterwards.
[00:06:15.120 --> 00:06:17.420]   Will that take care of that or is- is all of
[00:06:17.420 --> 00:06:20.500]   neural also going to be based on presence or not of words?
[00:06:20.500 --> 00:06:23.060]   That's a great question. Ah, wait, we should be careful.
[00:06:23.060 --> 00:06:25.740]   So yeah, I think for the first part of your question,
[00:06:25.740 --> 00:06:29.540]   I want to say the neural IR models are overall going to be better.
[00:06:29.540 --> 00:06:31.380]   Because of what you alluded to,
[00:06:31.380 --> 00:06:34.140]   they have a very rich semantic space.
[00:06:34.140 --> 00:06:39.100]   It won't directly impact this because these stars after all aren't about terms.
[00:06:39.100 --> 00:06:41.980]   This is about whether a whole document was relevant to a query.
[00:06:41.980 --> 00:06:46.900]   You should imagine that the background process is like some team of humans went through and said,
[00:06:46.900 --> 00:06:51.380]   okay, you searched for Bert and now I'm going through documents and saying,
[00:06:51.380 --> 00:06:53.480]   yeah, this one is relevant, this one isn't.
[00:06:53.480 --> 00:06:55.900]   That's what produced these rankings.
[00:06:55.900 --> 00:06:58.500]   But I think you're right in your core intuition.
[00:06:58.500 --> 00:07:01.260]   Term-based models are going to be kind of brittle.
[00:07:01.260 --> 00:07:06.020]   And if we have hard query document pairs, they might miss them.
[00:07:06.020 --> 00:07:08.020]   Actually, that reminds me like this,
[00:07:08.020 --> 00:07:09.700]   for some reason it didn't display before.
[00:07:09.700 --> 00:07:10.860]   Let's see if it displays now.
[00:07:10.860 --> 00:07:13.580]   I had this nice example that Omar created.
[00:07:13.580 --> 00:07:17.880]   This is an example of why search is a hard NLU problem.
[00:07:17.880 --> 00:07:19.540]   Because this is a query,
[00:07:19.540 --> 00:07:23.020]   what compounds protect the digestive system against viruses,
[00:07:23.020 --> 00:07:25.540]   where the response is certainly relevant,
[00:07:25.540 --> 00:07:29.860]   but there is zero relevant term overlap between query and document.
[00:07:29.860 --> 00:07:34.620]   All of the connections that we want to make are deeply semantic connections.
[00:07:34.620 --> 00:07:40.100]   And I do think that that is why neural IR models have pulled ahead for
[00:07:40.100 --> 00:07:45.300]   accuracy style assessments trying to be careful as you'll see.
[00:07:45.300 --> 00:07:50.860]   I have one more metric which is average precision.
[00:07:50.860 --> 00:07:53.300]   This will be, I think this is fair to say,
[00:07:53.300 --> 00:07:55.120]   our most nuanced metric.
[00:07:55.120 --> 00:07:57.260]   Okay. So a little bit hard to think about,
[00:07:57.260 --> 00:07:58.500]   but I think it's intuitive.
[00:07:58.500 --> 00:08:04.540]   Average precision, notice it has no K. And the reason it has no K is that we're going
[00:08:04.540 --> 00:08:07.200]   to sum over all the precision values for
[00:08:07.200 --> 00:08:11.140]   different Ks here where there is a relevant document.
[00:08:11.140 --> 00:08:12.560]   Think back to our rankings.
[00:08:12.560 --> 00:08:14.200]   Wherever there was a star,
[00:08:14.200 --> 00:08:17.780]   we're going to choose that as a K. And we're going to sum up
[00:08:17.780 --> 00:08:23.800]   just those precision values and divide it by the number of relevant documents.
[00:08:23.800 --> 00:08:27.700]   Here's an example. Same three rankings that we had before,
[00:08:27.700 --> 00:08:30.620]   and what I'll show you are these precision calculations.
[00:08:30.620 --> 00:08:32.040]   So for the first one,
[00:08:32.040 --> 00:08:35.380]   we have stars at position one, two, and six.
[00:08:35.380 --> 00:08:39.540]   And so we accumulate the precision values for one, two, and six.
[00:08:39.540 --> 00:08:40.940]   And those are, I hope,
[00:08:40.940 --> 00:08:42.260]   the ones I've given there.
[00:08:42.260 --> 00:08:44.700]   That sums to 2.5,
[00:08:44.700 --> 00:08:46.540]   and then we divide that by three,
[00:08:46.540 --> 00:08:49.660]   which is the number of relevant documents.
[00:08:49.660 --> 00:08:52.900]   So we've abstracted away the K,
[00:08:52.900 --> 00:08:55.780]   which is reassuring, and we're also checking at every level.
[00:08:55.780 --> 00:08:59.500]   So it's not going to have that sensitivity I showed you before where
[00:08:59.500 --> 00:09:02.980]   the choice of K dramatically impacts which rankings we
[00:09:02.980 --> 00:09:07.900]   favor because now we're kind of looking at all of the ones chosen by the ranking.
[00:09:07.900 --> 00:09:11.320]   So that's D1, and then for D2, same thing.
[00:09:11.320 --> 00:09:12.980]   But now we're checking at two, five,
[00:09:12.980 --> 00:09:15.100]   and six because that's where the stars are,
[00:09:15.100 --> 00:09:17.500]   and that sums to 1.4.
[00:09:17.500 --> 00:09:19.500]   And then for D3,
[00:09:19.500 --> 00:09:21.780]   we do the same thing at positions three, four,
[00:09:21.780 --> 00:09:28.340]   and five, and notice interestingly that D3 has a pulled ahead of D2.
[00:09:28.340 --> 00:09:37.860]   That's less surprising to me in the current context because D2 is kind of good and kind of not.
[00:09:37.860 --> 00:09:40.220]   It has that one star that's near the top,
[00:09:40.220 --> 00:09:43.500]   but the other two stars are way at the bottom of our ranking,
[00:09:43.500 --> 00:09:49.460]   whereas at least D3 kind of put them all at least not literally at the bottom.
[00:09:49.460 --> 00:09:53.300]   Whereas D1 looks like just a slam dunk winner here.
[00:09:53.300 --> 00:09:56.940]   I mean, it simply has most of the stars right at the top.
[00:09:56.940 --> 00:09:59.300]   It has that one lonely one at the bottom,
[00:09:59.300 --> 00:10:01.540]   but you know on balance D1 looks good.
[00:10:01.540 --> 00:10:04.620]   So if I just stepped back from this little example,
[00:10:04.620 --> 00:10:09.700]   I would say that average precision is kind of nice in terms of giving what looks to me like
