
[00:00:00.000 --> 00:00:01.560]   I abandoned social media,
[00:00:01.560 --> 00:00:04.000]   but now I feel left out and forgotten.
[00:00:04.000 --> 00:00:06.320]   Since I now barely have an online existence,
[00:00:06.320 --> 00:00:08.920]   people tend to make plans that don't include me.
[00:00:08.920 --> 00:00:10.360]   And when I do send somebody a message
[00:00:10.360 --> 00:00:11.340]   to arrange a meetup,
[00:00:11.340 --> 00:00:14.160]   my energy gets sapped waiting for the replies.
[00:00:14.160 --> 00:00:16.480]   Most of my friends communicate through social media,
[00:00:16.480 --> 00:00:19.660]   so my old way of communicating gets lost.
[00:00:19.660 --> 00:00:22.520]   How can I still live a meaningful social life
[00:00:22.520 --> 00:00:23.640]   with this quandary?
[00:00:23.640 --> 00:00:26.080]   - So what do you think,
[00:00:26.080 --> 00:00:28.240]   I don't know if it's a he or she,
[00:00:28.240 --> 00:00:29.080]   let's say he.
[00:00:29.960 --> 00:00:33.960]   What do you think he means by his friends
[00:00:33.960 --> 00:00:37.520]   make plans mainly using social media?
[00:00:37.520 --> 00:00:39.040]   What tool is he talking about?
[00:00:39.040 --> 00:00:42.380]   Because he separates out messaging, which he does do.
[00:00:42.380 --> 00:00:43.860]   - Well, you can message on Instagram.
[00:00:43.860 --> 00:00:46.480]   I think a lot of people do that, especially young people.
[00:00:46.480 --> 00:00:50.160]   - So like using Instagram instead of like iMessage
[00:00:50.160 --> 00:00:50.980]   or WhatsApp.
[00:00:50.980 --> 00:00:52.360]   - Yeah.
[00:00:52.360 --> 00:00:55.120]   Using the communication within those apps.
[00:00:55.120 --> 00:00:57.640]   I know that, like with our guys,
[00:00:57.640 --> 00:00:58.960]   my coach, like in high school,
[00:00:58.960 --> 00:01:03.960]   they use Instagram messaging a lot.
[00:01:03.960 --> 00:01:05.320]   - Okay.
[00:01:05.320 --> 00:01:08.080]   And this, is this different than, is DM Twitter?
[00:01:08.080 --> 00:01:08.920]   - That's DM.
[00:01:08.920 --> 00:01:10.620]   - Or it's Instagram DM as well?
[00:01:10.620 --> 00:01:13.160]   - DMing is-
[00:01:13.160 --> 00:01:14.000]   - Direct messaging.
[00:01:14.000 --> 00:01:14.960]   - That's Instagram.
[00:01:14.960 --> 00:01:15.800]   - Right.
[00:01:15.800 --> 00:01:16.680]   Okay.
[00:01:16.680 --> 00:01:17.560]   So it's like a main way.
[00:01:17.560 --> 00:01:18.840]   It's why like a lot of people-
[00:01:18.840 --> 00:01:21.240]   - And I could see like, you know,
[00:01:21.240 --> 00:01:23.680]   parties and stuff like that being announced there,
[00:01:23.680 --> 00:01:24.680]   especially on Facebook.
[00:01:24.680 --> 00:01:28.360]   Like they, people would invite people more our age,
[00:01:28.360 --> 00:01:32.800]   but I bet you people use a lot Facebook to make plans
[00:01:32.800 --> 00:01:34.320]   and invitations, stuff like that.
[00:01:34.320 --> 00:01:36.280]   - So Instagram does this.
[00:01:36.280 --> 00:01:38.280]   TikTok is not a social network, right?
[00:01:38.280 --> 00:01:39.360]   So it's not TikTok.
[00:01:39.360 --> 00:01:41.280]   There you're seeing stuff the algorithm shows,
[00:01:41.280 --> 00:01:45.020]   but Facebook, Instagram, maybe Twitter,
[00:01:45.020 --> 00:01:46.480]   are probably not as much anymore.
[00:01:46.480 --> 00:01:47.880]   Like Instagram.
[00:01:47.880 --> 00:01:48.720]   Okay.
[00:01:48.720 --> 00:01:52.120]   So I think, my thought here is, okay,
[00:01:52.120 --> 00:01:55.260]   perfectly fine use for social media.
[00:01:55.260 --> 00:01:58.880]   I mean, if your friends are using a messaging feature
[00:01:58.880 --> 00:02:01.680]   of let's say Instagram to meet up,
[00:02:01.680 --> 00:02:05.640]   then use the messaging feature on Instagram to meet up.
[00:02:05.640 --> 00:02:09.680]   Just don't use Instagram in other ways.
