
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:07.000]   Well, the book of Ecclesiastes is enigmatic.
[00:00:07.000 --> 00:00:09.000]   It's puzzling.
[00:00:09.000 --> 00:00:12.000]   It's puzzling because it tells us that much of life is vanity.
[00:00:12.000 --> 00:00:14.000]   Chasing after wind.
[00:00:14.000 --> 00:00:17.000]   It says this from the second verse of the book.
[00:00:17.000 --> 00:00:19.000]   "Meaningless, meaningless," says the teacher.
[00:00:19.000 --> 00:00:21.000]   "Utterly meaningless."
[00:00:21.000 --> 00:00:23.000]   Everything is meaningless.
[00:00:23.000 --> 00:00:28.000]   But God's providence tells us that everything in life is meaningful.
[00:00:28.000 --> 00:00:30.000]   So, what gives?
[00:00:30.000 --> 00:00:34.000]   This is a sharp email question from David in Brookville, Pennsylvania.
[00:00:34.000 --> 00:00:38.000]   "Hello, Pastor John. I've read a quarter of your new book, Providence.
[00:00:38.000 --> 00:00:42.000]   The avalanche of scriptural evidence to prove that nothing is random,
[00:00:42.000 --> 00:00:44.000]   nothing is without purpose,
[00:00:44.000 --> 00:00:49.000]   nothing is pointless, and nothing is meaningless is truly overwhelming.
[00:00:49.000 --> 00:00:52.000]   My question is regarding Ecclesiastes.
[00:00:52.000 --> 00:00:56.000]   If providence proves that nothing is random or meaningless,
[00:00:56.000 --> 00:01:05.000]   why does Ecclesiastes repeatedly say just about everything in the drama of human life is meaningless?
[00:01:05.000 --> 00:01:07.000]   How do you reconcile this?"
[00:01:07.000 --> 00:01:12.000]   Well, I do admit that Ecclesiastes is a perplexing book.
[00:01:12.000 --> 00:01:20.000]   I suspect that the author of Ecclesiastes, the preacher, Kohelet, in Hebrew,
[00:01:20.000 --> 00:01:24.000]   I suspect that he intended it to be complex and perplexing
[00:01:24.000 --> 00:01:28.000]   precisely because as we looked at the world that he was looking at,
[00:01:28.000 --> 00:01:30.000]   it was a perplexing world.
[00:01:30.000 --> 00:01:37.000]   I find the book of Ecclesiastes probably the most difficult book in the Bible to understand,
[00:01:37.000 --> 00:01:40.000]   but it is in the Bible.
[00:01:40.000 --> 00:01:48.000]   And the Bible that Jesus loved and Jesus esteemed and Jesus considered to be infallible.
[00:01:48.000 --> 00:01:56.000]   And I don't believe that the message of the book contradicts the overall message of providence in the Bible as a whole.
[00:01:56.000 --> 00:02:03.000]   God is sovereign over all things and is purposeful and wise and just and good in all that he does,
[00:02:03.000 --> 00:02:09.000]   and I think that's true in Ecclesiastes as well as in the rest of the Bible.
[00:02:09.000 --> 00:02:12.000]   To be sure, the book starts like this.
[00:02:12.000 --> 00:02:15.000]   "Vanity of vanities," says the preacher.
[00:02:15.000 --> 00:02:18.000]   "Vanity of vanities, all is vanity.
[00:02:18.000 --> 00:02:24.000]   What does man gain by all the toil at which he toils under the sun?"
[00:02:24.000 --> 00:02:26.000]   Chapter 1, verse 2.
[00:02:26.000 --> 00:02:32.000]   But he answers in verse 11, "Then I considered all that my hands had done
[00:02:32.000 --> 00:02:40.000]   and the toil I had expended in doing it, and behold, all was vanity and a striving after wind,
[00:02:40.000 --> 00:02:45.000]   and there was nothing to be gained under the sun," verse 11.
[00:02:45.000 --> 00:02:55.000]   And yet he says two verses later that perhaps it's not so true that absolutely nothing is to be gained.
[00:02:55.000 --> 00:03:07.000]   "Then I saw that there is more gain in wisdom than in folly, as there is more gain in light than in darkness.
[00:03:07.000 --> 00:03:13.000]   The wise person has his eyes in his head, but the fool walks in darkness,
[00:03:13.000 --> 00:03:18.000]   and yet I perceived that the same event happens to them all."
[00:03:18.000 --> 00:03:23.000]   So, yes, there is a sense of frustration that, quote,
[00:03:23.000 --> 00:03:30.000]   "the same thing happens to both the fool and the wise, both die," for example.
[00:03:30.000 --> 00:03:37.000]   But still, it's not true that there's no such thing as wisdom or light.
