
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:10.340]   - Children notwithstanding, point redemption regardless,
[00:00:10.340 --> 00:00:13.920]   if you could, today's Tuesday, if I could say to you,
[00:00:13.920 --> 00:00:15.880]   hey, look, there's no work on Friday,
[00:00:15.880 --> 00:00:17.240]   you and your wife can hop on,
[00:00:17.240 --> 00:00:19.120]   just go to San Francisco airport,
[00:00:19.120 --> 00:00:22.640]   take any flight anywhere in the world Thursday evening
[00:00:22.640 --> 00:00:28.620]   for a long, long weekend, where would you like to go to?
[00:00:28.620 --> 00:00:31.060]   - Just the two of us or just the two of us?
[00:00:31.060 --> 00:00:33.760]   Let's assume for the moment that it's just the two of you.
[00:00:33.760 --> 00:00:37.400]   Am I also assuming that for some reason
[00:00:37.400 --> 00:00:40.600]   there's a nonstop flight anywhere in the world?
[00:00:40.600 --> 00:00:43.960]   - That's a fantastic advanced level question.
[00:00:43.960 --> 00:00:48.560]   Let's assume no, we're gonna play it on hard level,
[00:00:48.560 --> 00:00:53.200]   not like magical level, let's be realistic.
[00:00:53.200 --> 00:00:54.840]   - That's a great question, the reason I ask
[00:00:54.840 --> 00:00:56.840]   is I've always wanted to go to the Canary Islands
[00:00:56.840 --> 00:01:01.100]   and they seem quite difficult to get to from the West Coast.
[00:01:01.100 --> 00:01:04.740]   I think, and how long are we going for?
[00:01:04.740 --> 00:01:06.060]   - You're going for the long weekend,
[00:01:06.060 --> 00:01:08.420]   so you fly out on Thursday night
[00:01:08.420 --> 00:01:10.580]   and you'll be back either Sunday or Monday.
[00:01:10.580 --> 00:01:14.280]   - I'm gonna have to think about this.
[00:01:14.280 --> 00:01:15.940]   - Well, I have my answer 'cause I prepared,
[00:01:15.940 --> 00:01:17.020]   can I tell you my answer?
[00:01:17.020 --> 00:01:17.980]   - Yeah.
[00:01:17.980 --> 00:01:22.300]   - So I've been dying to go to Buenos Aires and here's why,
[00:01:22.300 --> 00:01:25.940]   there's a direct flight from many places,
[00:01:25.940 --> 00:01:28.860]   probably from San Francisco, from Houston, from New York,
[00:01:28.860 --> 00:01:30.600]   it's in the same time zone.
[00:01:30.600 --> 00:01:34.020]   And so you can take the flight at like 10 p.m.
[00:01:34.020 --> 00:01:35.620]   and you land, it's like a 10 hour flight
[00:01:35.620 --> 00:01:38.760]   and you land at 10 a.m. local time,
[00:01:38.760 --> 00:01:43.160]   you've not missed any time, there's no jet lag per se.
[00:01:43.160 --> 00:01:45.200]   To me, it seems like the most perfect
[00:01:45.200 --> 00:01:47.700]   like whole new world environment
[00:01:47.700 --> 00:01:51.240]   and it's currency arbitrage because right now
[00:01:51.240 --> 00:01:53.160]   with not only the strong dollar,
[00:01:53.160 --> 00:01:55.480]   but just the rampant inflation there
[00:01:55.480 --> 00:01:56.800]   and all the other stuff,
[00:01:56.800 --> 00:02:00.280]   it now does open up some interesting times
[00:02:00.280 --> 00:02:04.000]   for the dollar traveler to get exceptional value.
[00:02:04.000 --> 00:02:06.200]   - Yeah, we did a trip to Buenos Aires,
[00:02:06.200 --> 00:02:08.060]   I don't know if this is still the case,
[00:02:08.060 --> 00:02:10.520]   I should be prepared, but I didn't know this was coming.
[00:02:10.520 --> 00:02:13.080]   But at the time there were two exchange rates.
[00:02:13.080 --> 00:02:16.600]   So there's the, I think it was like the dollar blue,
[00:02:16.600 --> 00:02:19.340]   which is like the off market exchange rate
[00:02:19.340 --> 00:02:20.180]   and then the one you get.
[00:02:20.180 --> 00:02:21.840]   So you never, at least at the time,
[00:02:21.840 --> 00:02:22.880]   please fact check all this,
[00:02:22.880 --> 00:02:25.120]   at the time you never wanna pay with a credit card
[00:02:25.120 --> 00:02:26.960]   because they're going at the bank rate.
[00:02:26.960 --> 00:02:28.820]   But the other rate was like half the price.
[00:02:28.820 --> 00:02:31.160]   So you would basically like walk down the street
[00:02:31.160 --> 00:02:33.860]   and someone be like, you need currency, you need exchange,
[00:02:33.860 --> 00:02:36.000]   and you'd walk into some random place.
[00:02:36.000 --> 00:02:38.120]   I remember at the time I was like watching YouTube videos
[00:02:38.120 --> 00:02:41.000]   on like how to test the currency if it's real
[00:02:41.000 --> 00:02:42.640]   because everyone's buying all their currency
[00:02:42.640 --> 00:02:44.860]   in like back alleys and now there's WhatsApp groups
[00:02:44.860 --> 00:02:48.080]   and you'd message them and they'd come to your hotel.
[00:02:48.080 --> 00:02:50.720]   But I can only imagine that if inflation has gone rampant,
[00:02:50.720 --> 00:02:51.560]   the dollar has gone more valuable,
[00:02:51.560 --> 00:02:53.760]   it's even more valuable to do this.
[00:02:53.760 --> 00:02:54.800]   - I second that.
[00:02:54.800 --> 00:02:56.680]   The only thing I'd say is we went to Argentina,
