
[00:00:00.000 --> 00:00:04.000]   (music)
[00:00:04.000 --> 00:00:10.000]   We are coming off Easter Sunday, yesterday, my favorite date in the church calendar.
[00:00:10.000 --> 00:00:13.000]   And there are so many sources of joy in the Christian life.
[00:00:13.000 --> 00:00:21.000]   Certainly, Christ's victory over sin, the devil, and the grave is one of the most astounding sources of our joy in this life.
[00:00:21.000 --> 00:00:26.000]   And it leads to today's question from a woman who listens regularly to the podcast.
[00:00:26.000 --> 00:00:34.000]   She writes this, "Hello Pastor John, can you explain how our joy relates to the three aspects of the Christian life?
[00:00:34.000 --> 00:00:38.000]   Justification, sanctification, and glorification.
[00:00:38.000 --> 00:00:47.000]   Specifically, I would like to know how joy is obtained in each of these distinct blessings and how they are similar or different from one another."
[00:00:47.000 --> 00:00:54.000]   I love this question. In fact, I love it so much, I love it so much that I want to make it bigger.
[00:00:54.000 --> 00:00:56.000]   (laughter)
[00:00:56.000 --> 00:01:06.000]   So I'm going to add to justification and sanctification and glorification, propitiation, which comes before those three,
[00:01:06.000 --> 00:01:10.000]   and without which they could not exist for sinners like us.
[00:01:10.000 --> 00:01:23.000]   So how does joy relate to each of these four massive, indispensable, wonderful works of God which make up the steps of our great salvation?
[00:01:23.000 --> 00:01:25.000]   So here's my short answer.
[00:01:25.000 --> 00:01:32.000]   In propitiation, joy is purchased and secured once for all.
[00:01:32.000 --> 00:01:37.000]   By justification, joy is given once for all.
[00:01:37.000 --> 00:01:44.000]   In sanctification, joy is tasted throughout this life.
[00:01:44.000 --> 00:01:49.000]   And in glorification, joy is perfected once for all.
[00:01:49.000 --> 00:01:53.000]   That's my summary answer. I'm going to take those one at a time, just a brief word.
[00:01:53.000 --> 00:01:55.000]   First, propitiation.
[00:01:55.000 --> 00:02:09.000]   This is the decisive once-for-all act of God on the cross, removing his wrath from his elect by transferring it onto Jesus Christ, his Son, as our substitute.
[00:02:09.000 --> 00:02:14.000]   Propitiation means the removal of the wrath of God.
[00:02:14.000 --> 00:02:20.000]   We all deserve God's wrath because of our sin against him.
[00:02:20.000 --> 00:02:30.000]   But God himself steps in between us and his own wrath and bears our punishment in his Son.
[00:02:30.000 --> 00:02:37.000]   Romans 3.25, God put Christ forward as a propitiation by his blood.
[00:02:37.000 --> 00:02:42.000]   Romans 8.3, sending his own Son, he condemned.
[00:02:42.000 --> 00:02:47.000]   That is, he poured out his wrath on sin in the flesh, namely Christ.
[00:02:47.000 --> 00:02:53.000]   Christ bore in his flesh the condemnation, the wrath owing to our sin.
[00:02:53.000 --> 00:02:58.000]   Isaiah 53.5, he was pierced for our transgressions.
[00:02:58.000 --> 00:03:01.000]   He was crushed for our iniquities.
[00:03:01.000 --> 00:03:07.000]   Now, we were not even alive when this happened, when propitiation happened.
[00:03:07.000 --> 00:03:12.000]   It happened A.D. 33, never to happen again.
[00:03:12.000 --> 00:03:25.000]   But when it happened, God's joy over his people, instead of wrath, and our eventual joy in him, was absolutely secured, guaranteed, purchased.
[00:03:25.000 --> 00:03:36.000]   At the price of the blood of the Son of God, God secured in Christ, once for all, the reality of Romans 8.31.
[00:03:36.000 --> 00:03:39.000]   God is for us and not against us.
[00:03:39.000 --> 00:03:46.000]   This is the ground of all our joy, wrath removed, God for us.
[00:03:46.000 --> 00:03:52.000]   Number two, that was true before anything happened in us.
[00:03:52.000 --> 00:03:55.000]   The foundation was laid in history.
[00:03:55.000 --> 00:04:14.000]   The justification now is the act of God by which, on the basis of Christ's propitiating death, he declares us righteous in union with Christ through faith.
[00:04:14.000 --> 00:04:21.000]   He counts the punishment poured out on Christ as ours.
[00:04:21.000 --> 00:04:31.000]   Our punishment happened in Jesus, and we own it and receive it and are counted righteous through it by faith.
[00:04:31.000 --> 00:04:42.000]   He counts us righteous because of Christ, and he does this by uniting us to Christ by faith, so we speak of being justified by faith.
[00:04:42.000 --> 00:04:45.000]   This did not happen in A.D. 33.
[00:04:45.000 --> 00:04:50.000]   It happened the instant every one of you believed.
[00:04:50.000 --> 00:04:59.000]   So, when I say that by justification joy is given once for all, I have two things in mind.
[00:04:59.000 --> 00:05:01.000]   Listen carefully now.
[00:05:01.000 --> 00:05:09.000]   In the instant of justification, we experience faith uniting us to Christ.
[00:05:09.000 --> 00:05:19.000]   That faith, I would argue, has in it at least a seed of the experience of joy in Christ.
[00:05:19.000 --> 00:05:26.000]   Faith is not just a mental affirmation of the truth that Christ is Savior and Lord.
[00:05:26.000 --> 00:05:46.000]   Saving faith also is the experience of Christ as our treasure, and that implies there is in this faith a sweet element of delight in him treasuring him, treasuring, owning, embracing, receiving the glory of Christ.
[00:05:46.000 --> 00:06:07.000]   But I also mean when I say by justification joy is given once for all, I also mean that by justification we are launched in that moment into a life indwelt by the Spirit of God whose fruit is joy.
