
[00:00:00.040 --> 00:00:09.300]  remo
[00:00:09.300 --> 00:00:11.340]   en the,,, play in the change of
[00:00:11.340 --> 00:00:19.000]  �
[00:00:19.000 --> 00:00:27.300]   man has a
[00:00:28.440 --> 00:00:57.360]   sub
[00:01:55.640 --> 00:01:55.640]   and
[00:02:25.100 --> 00:02:35.320]   gray
[00:02:35.320 --> 00:02:36.340]   in the did
[00:02:36.340 --> 00:02:38.900]   Herman
[00:02:38.900 --> 00:02:48.880]  ab, for,,,,,,,, this is a enthusiastic歡 ch balance wh seemedпри became stuck. The third thing is to invest the higher your income the wout the third thing the higher the higher the higher the equal, the higher your Mar, the, the, the higher the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, ..., absol -, -. - ingredients -ig -G -T -T -E -And -uffy -G -G -L -I -naj - EST But - conduct - bang -難 - Harry - radius - utiliz - Awards - naj -oman - la - Сам - analytical -み - feed- un - title - gig of design - saint - RA OR L armed- quite -chuck-
[00:03:10.180 --> 00:03:11.180]   The final two layers are:
[00:03:11.180 --> 00:03:13.980]   Not ancillary, but they're not as direct.
[00:03:13.980 --> 00:03:16.280]   Point number four is to avoid catastrophe.
[00:03:16.280 --> 00:03:18.280]   This is where you consider a potential risk and how it will affect your business.
[00:03:18.280 --> 00:03:18.780]   This is where you consider a potential risk and how it will affect your business.
[00:03:18.780 --> 00:03:18.780]   This is where you consider a potential risk and how it will affect your business.
[00:03:59.940 --> 00:04:03.500]   This is where you consider a potential risk and how it will affect your business.
[00:04:03.500 --> 00:04:04.000]   This is where you consider a potential risk and how it will affect your business.
[00:04:04.000 --> 00:04:04.300]   This is where you consider a potential risk and how it will affect your business.
[00:04:04.300 --> 00:04:04.800]   This is where you consider a potential risk and how it will affect your business.
[00:04:04.800 --> 00:04:05.300]   This is where you consider a potential risk and how it will affect your business.
[00:04:05.300 --> 00:04:05.800]   This is where you consider a potential risk and how it will affect your business.
[00:04:05.800 --> 00:04:06.300]   This is where you consider a potential risk and how it will affect your business.
[00:04:06.300 --> 00:04:06.800]   This is where you consider a potential risk and how it will affect your business.
[00:04:06.800 --> 00:04:07.300]   This is where you consider a potential risk and how it will affect your business.
[00:04:07.300 --> 00:04:07.800]   This is where you consider a potential risk and how it will affect your business.
[00:04:07.800 --> 00:04:08.300]   This is where you consider a potential risk and how it will affect your business.
[00:04:08.300 --> 00:04:08.400]   This is where you consider a potential risk and how it will affect your business.
[00:04:12.100 --> 00:04:38.780]  , you'd be able to feed your children.
[00:04:38.780 --> 00:04:41.920]   There are many layers to avoiding catastrophe.
[00:04:41.920 --> 00:04:42.080]   This is where you consider a potential risk and how you will avoid it.
[00:04:42.080 --> 00:04:42.080]   This is where you consider a potential risk and how you will avoid it.
[00:04:42.080 --> 00:04:42.080]   This is where you consider a potential risk and how you will avoid it.
[00:04:42.080 --> 00:04:42.080]   This is where you consider a potential risk and how you will avoid it.
[00:04:42.080 --> 00:04:42.080]   This is where you consider a potential risk and how you will avoid it.
[00:04:42.080 --> 00:04:42.080]   This is where you consider a potential risk and how you will avoid it.
[00:04:42.080 --> 00:04:42.080]   and where you consider a potential risk and how you will avoid it.
[00:04:42.080 --> 00:04:42.080]   and where you consider a potential risk and how you will affect your business.
[00:04:42.080 --> 00:04:42.080]   and where you consider a potential risk and how you will be able to be able to do what you are you and how you're able to be able to do your business.
[00:04:42.100 --> 00:04:51.340]   This week I was advising a consulting client on the importance of segregating and siloing various communications methodologies.
[00:04:51.340 --> 00:04:57.300]   If you have a business, you should never mix your business and your personal cell phone, for example.
[00:04:57.300 --> 00:05:05.940]   I have a friend of mine who, unfortunately, through business practices that, if you or I were to judge,
[00:05:05.940 --> 00:05:11.220]   might seem a little bit questionable but would not feel illegal.
[00:05:11.220 --> 00:05:12.100]   It's not just a question of how you feel.
[00:05:12.100 --> 00:05:12.100]   It's a question of how you feel.
[00:05:12.100 --> 00:05:12.100]   It's a question of how you feel.
[00:05:12.100 --> 00:05:12.100]   It's a question of how you feel.
[00:05:12.100 --> 00:05:12.100]   Unfortunately, if you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:12.100 --> 00:05:12.100]   Unfortunately, if you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:12.100 --> 00:05:12.100]   Unfortunately, if you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:12.140 --> 00:05:42.120]  ,
[00:05:42.120 --> 00:05:42.120]   If you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:42.120 --> 00:05:42.120]   If you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:42.120 --> 00:05:42.120]   If you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:42.120 --> 00:05:42.120]   If you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:42.120 --> 00:05:42.120]   If you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:42.120 --> 00:05:42.120]   If you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:42.120 --> 00:05:42.120]   If you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:42.120 --> 00:05:42.120]   If you or I were to judge, it might seem a little bit questionable but would not feel illegal.
[00:05:42.140 --> 00:06:12.140]   The only cell phone that was available for the FBI's warrant was your business cell phone that only had your business records on it.
[00:06:12.140 --> 00:06:12.140]   It was your business cell phone that only had your business records on it.
[00:06:12.140 --> 00:06:12.140]   It was your business cell phone that only had your business records on it.
[00:06:12.140 --> 00:06:12.140]   It was your business cell phone that only had your business records on it.
[00:06:12.140 --> 00:06:12.140]   It was your business cell phone that only had your business records on it.
[00:06:12.140 --> 00:06:12.140]   It was your business cell phone that only had your business records on it.
[00:06:12.140 --> 00:06:12.140]   It was your business cell phone that only had your business records on it.
[00:06:12.140 --> 00:06:12.140]   It was your business cell phone that only had your business records on it.
[00:06:12.140 --> 00:06:12.140]   Wouldn't it be better if that cell phone were encrypted and not some stupid fingerprint?
[00:06:12.140 --> 00:06:12.140]   Wouldn't it be better if that cell phone were encrypted and not some stupid fingerprint?
[00:06:12.140 --> 00:06:12.140]   Wouldn't it be better if that cell phone were encrypted and not some stupid fingerprint?
[00:06:12.140 --> 00:06:42.160]  , wouldn't it be better if that cell phone were encrypted and not some stupid fingerprint?
[00:06:42.160 --> 00:06:42.160]   It was a rather eye-opening experience for me to watch my friend who was, I would say, a good guy. This particular business practice that he is charged with. If the charges are true, it's not the kind of thing that you would say is really that big of a deal. It's the kind of thing that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:06:42.180 --> 00:07:12.180]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:07:12.180 --> 00:07:12.180]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:07:12.180 --> 00:07:12.180]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:07:12.180 --> 00:07:12.180]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
[00:07:12.180 --> 00:07:12.180]   The only thing that I would say is that on a technicality and the law, though, is costing a huge amount of money and very possibly could result in the future.
