
[00:00:00.000 --> 00:00:08.320]   Well, thank you.
[00:00:08.320 --> 00:00:11.560]   It really is an honor for me to be with you.
[00:00:11.560 --> 00:00:17.420]   I'm sorry for your sakes that Pastor John wasn't able to make it, but I am honored by
[00:00:17.420 --> 00:00:21.400]   the opportunity to open the Word of God to you in his place.
[00:00:21.400 --> 00:00:27.780]   I said to Brad Armstrong on the way in, I said, "I'm here to disappoint everybody."
[00:00:27.780 --> 00:00:33.400]   You know, I'm trusting the Lord that he will minister grace to you through his Word, even
[00:00:33.400 --> 00:00:37.000]   if the steward is different than expected.
[00:00:37.000 --> 00:00:43.320]   I have, as I hope was evident in the Q&A, I have great respect for what you do, Christians
[00:00:43.320 --> 00:00:49.360]   working in the STEM fields, in environments which are often extremely hostile to God,
[00:00:49.360 --> 00:00:56.040]   hostile to Christ, hostile to Scripture, and hostile to the very truth that you and they
[00:00:56.040 --> 00:01:01.160]   must presuppose if you were to do your jobs well.
[00:01:01.160 --> 00:01:07.460]   The sciences, properly executed, I said something about this in the last hour, they discover
[00:01:07.460 --> 00:01:14.840]   and articulate truths that God has revealed in His creation, the creation over which Christ
[00:01:14.840 --> 00:01:22.020]   presently reigns as Supreme Lord and King, the truths that are amplified and further
[00:01:22.020 --> 00:01:30.260]   revealed and clarified in the 66 infallible and inerrant books of the Old and New Testaments.
[00:01:30.260 --> 00:01:38.180]   The very success of the people in your fields depends upon these foundational facts that
[00:01:38.180 --> 00:01:45.860]   so many in your fields reject out of hand, inconsistently, of course, but reject nonetheless.
[00:01:45.860 --> 00:01:52.260]   It's something like a mechanic who is vehemently morally opposed to the existence of nuts and
[00:01:52.260 --> 00:01:54.540]   bolts and screws, right?
[00:01:54.540 --> 00:01:58.140]   It'd be really tough to work in that guy's garage.
[00:01:58.140 --> 00:01:59.940]   Don't talk to me about nuts and bolts and screws.
[00:01:59.940 --> 00:02:05.660]   Don't talk to me about a Creator and a King and truth.
[00:02:05.660 --> 00:02:10.460]   That's akin to what many of you have to do since these fields have been hijacked by the
[00:02:10.460 --> 00:02:18.660]   enemies of truth and who so often persecute those who don't receive their a priori secularism.
[00:02:18.660 --> 00:02:24.580]   There's a sense in which you are all like special agents of the true King working behind
[00:02:24.580 --> 00:02:29.640]   enemy lines, but in territory that really belongs to the King.
[00:02:29.640 --> 00:02:35.020]   And in those environments, you're bombarded with unbiblical ideas and worldly agendas
