
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:00:02.420 --> 00:00:06.400]   - Welcome friends to this episode
[00:00:06.400 --> 00:00:09.280]   of the Everyday Educator podcast.
[00:00:09.280 --> 00:00:11.040]   I'm your host, Lisa Bailey,
[00:00:11.040 --> 00:00:14.640]   and I am excited to spend some time with you today
[00:00:14.640 --> 00:00:18.120]   as we encourage one another, learn together,
[00:00:18.120 --> 00:00:21.040]   and ponder the delights and challenges
[00:00:21.040 --> 00:00:24.380]   that make homeschooling the adventure of a lifetime.
[00:00:24.380 --> 00:00:26.280]   Whether you're just considering
[00:00:26.280 --> 00:00:28.400]   this homeschooling possibility
[00:00:28.400 --> 00:00:32.340]   or deep into the daily delight of family learning,
[00:00:32.340 --> 00:00:36.200]   I believe you'll enjoy thinking along with us.
[00:00:36.200 --> 00:00:37.600]   But don't forget,
[00:00:37.600 --> 00:00:41.120]   although this online community is awesome,
[00:00:41.120 --> 00:00:46.120]   you'll find even closer support in a local CC community.
[00:00:46.120 --> 00:00:49.620]   So go to classicalconversations.com
[00:00:49.620 --> 00:00:53.720]   and find a community near you today.
[00:00:53.720 --> 00:00:57.080]   Well, listeners, I can hardly believe that it's advent.
[00:00:57.080 --> 00:01:02.080]   I feel like this year has been a rushing rollercoaster
[00:01:02.080 --> 00:01:06.280]   and I am shocked to look up and discover
[00:01:06.280 --> 00:01:08.740]   that this is our first week of advent.
[00:01:08.740 --> 00:01:14.280]   I have a suggestion for your family,
[00:01:14.280 --> 00:01:17.980]   for all of our families this Christmas.
[00:01:17.980 --> 00:01:24.040]   What if we intentionally spent time together
[00:01:26.120 --> 00:01:29.720]   doing the simplest things?
[00:01:29.720 --> 00:01:33.760]   What if we practiced simple habits
[00:01:33.760 --> 00:01:37.120]   designed to draw us to one another
[00:01:37.120 --> 00:01:40.300]   and to start meaningful conversations
[00:01:40.300 --> 00:01:43.120]   and to provoke us to deeper thinking
[00:01:43.120 --> 00:01:47.560]   and to encourage us toward true worship?
[00:01:47.560 --> 00:01:52.560]   What if, what if in this season of busy
[00:01:54.520 --> 00:01:59.520]   we celebrated Christmas by praying together,
[00:01:59.520 --> 00:02:04.640]   playing together, reading together,
[00:02:04.640 --> 00:02:09.640]   exploring together and serving together.
[00:02:09.640 --> 00:02:14.400]   This advent season, the everyday educator
[00:02:14.400 --> 00:02:19.400]   wants to practice these scribblers habits along with you.
[00:02:19.400 --> 00:02:22.200]   And we're going to talk with others
[00:02:22.200 --> 00:02:24.400]   who want to try this plan too.
[00:02:24.400 --> 00:02:29.400]   So you can listen in every Tuesday of the advent season
[00:02:29.400 --> 00:02:32.680]   to ponder the next habit.
[00:02:32.680 --> 00:02:37.680]   And today we are going to think about praying together
[00:02:37.680 --> 00:02:42.320]   and I have my friend Karen Carpenter
[00:02:42.320 --> 00:02:45.780]   along for this ride and this conversation.
[00:02:45.780 --> 00:02:48.320]   Karen, thanks for joining me.
[00:02:48.320 --> 00:02:50.040]   - Oh, it's my pleasure.
[00:02:50.040 --> 00:02:50.880]   - I am excited.
[00:02:50.880 --> 00:02:53.380]   Now I personally love Christmas.
[00:02:53.380 --> 00:02:55.520]   Are you a Christmas lover, Karen?
[00:02:55.520 --> 00:02:56.940]   - Absolutely.
[00:02:56.940 --> 00:03:00.080]   - I love Christmas and my family has always loved Christmas
[00:03:00.080 --> 00:03:02.240]   and we get into almost everything.
[00:03:02.240 --> 00:03:07.240]   We love the decorating and the baking and the caroling.
[00:03:07.240 --> 00:03:09.720]   We love Christmas cookies.
[00:03:09.720 --> 00:03:11.100]   We love Christmas parties.
[00:03:11.100 --> 00:03:16.100]   I like Christmas movies and we can get really busy.
[00:03:16.100 --> 00:03:18.280]   My husband's a pastor.
[00:03:18.280 --> 00:03:22.800]   And so Christmas season is busy season at our house
[00:03:22.800 --> 00:03:26.900]   and has been for years and years and years.
[00:03:26.900 --> 00:03:31.640]   And there are years when I think it's just too much.
[00:03:31.640 --> 00:03:34.660]   Too much of a good thing is not too good.
[00:03:34.660 --> 00:03:36.320]   It's just too much.
[00:03:36.320 --> 00:03:37.500]   It's still too much.
[00:03:37.500 --> 00:03:42.500]   And I was pondering ways for our family
[00:03:42.500 --> 00:03:48.060]   to enjoy the deep celebration of the season
[00:03:48.380 --> 00:03:52.800]   without participating in all the frenzy.
[00:03:52.800 --> 00:03:57.800]   And so I want us to look at how we can celebrate Christmas
[00:03:57.800 --> 00:04:00.460]   this year in simpler ways.
[00:04:00.460 --> 00:04:02.960]   And so Karen, thank you for coming on
[00:04:02.960 --> 00:04:07.780]   and helping me think about praying together.
[00:04:07.780 --> 00:04:12.740]   I wanna ask you, I know that you homeschooled your children
[00:04:12.740 --> 00:04:15.740]   and you don't have any that you're currently homeschooling.
[00:04:15.740 --> 00:04:18.100]   You don't have any kids at home now, right?
[00:04:18.100 --> 00:04:19.380]   - Correct.
[00:04:19.380 --> 00:04:21.660]   - But I wanna ask you about this.
[00:04:21.660 --> 00:04:28.400]   Did your family have a regular prayer time together,
[00:04:28.400 --> 00:04:32.940]   apart from saying blessing at mealtime
[00:04:32.940 --> 00:04:34.940]   and prayers at bedtime?
[00:04:34.940 --> 00:04:39.060]   Did your family have a regular prayer time otherwise?
[00:04:39.060 --> 00:04:41.460]   - I think that we generally use
[00:04:41.460 --> 00:04:43.740]   what is now called morning time.
[00:04:43.740 --> 00:04:46.900]   We did not have that phrase when I was homeschooling,
[00:04:46.900 --> 00:04:49.260]   but that was generally when we would
[00:04:49.260 --> 00:04:53.340]   either be reading a book together with spiritual content
[00:04:53.340 --> 00:04:56.360]   or we'd be reading through parts of the Bible
[00:04:56.360 --> 00:04:58.700]   or sometimes we'd even be using the hymnal
[00:04:58.700 --> 00:05:03.120]   and that would be a time when we would pray together.
[00:05:03.120 --> 00:05:04.660]   - Yeah, yeah.
[00:05:04.660 --> 00:05:06.420]   So did you intentionally pray?
[00:05:06.420 --> 00:05:07.980]   I'm thinking, we did the same thing.
[00:05:07.980 --> 00:05:09.480]   Yeah, you and I homeschooled
[00:05:09.480 --> 00:05:13.380]   before the morning basket time was a thing.
[00:05:13.380 --> 00:05:18.220]   But we started our day together, reading scripture together,
[00:05:18.220 --> 00:05:21.220]   memorizing scripture together, lots of years,
[00:05:21.220 --> 00:05:23.820]   and like you said, reading a book or a hymn
[00:05:23.820 --> 00:05:25.740]   and thinking about the Lord.
[00:05:25.740 --> 00:05:28.260]   But then we had a specific prayer time,
[00:05:28.260 --> 00:05:31.560]   and even when I was a challenge director,
[00:05:31.560 --> 00:05:32.820]   we tended to do this.
[00:05:32.820 --> 00:05:37.120]   We had a morning prayer time where I asked my children,
[00:05:37.120 --> 00:05:43.020]   my own children and my challenged children,
[00:05:43.940 --> 00:05:47.580]   who they wanted to lift to the throne together.
[00:05:47.580 --> 00:05:52.500]   So we had a time that we prayed for other people.
[00:05:52.500 --> 00:05:57.340]   Did you guys have a season of prayer for things,
[00:05:57.340 --> 00:06:00.300]   people that were outside your family?
[00:06:00.300 --> 00:06:03.580]   - Yes, and as a challenge director, we also did that.
[00:06:03.580 --> 00:06:05.300]   We had, that was first thing in the morning.
[00:06:05.300 --> 00:06:07.900]   We would spend some time in prayer.
[00:06:07.900 --> 00:06:10.340]   And really, I felt like part of my job
[00:06:10.340 --> 00:06:12.620]   as their challenge director was to train them
[00:06:12.620 --> 00:06:16.180]   to think about how prayer works a little bit.
[00:06:16.180 --> 00:06:20.300]   Sometimes prayer time kind of became an announcement time.
[00:06:20.300 --> 00:06:23.140]   I saw a rag, or this is happening or whatever.
[00:06:23.140 --> 00:06:25.500]   And so training them to say, okay,
[00:06:25.500 --> 00:06:27.280]   how would you like to pray about that?
[00:06:27.280 --> 00:06:29.480]   What do you want to bring to the Lord
[00:06:29.480 --> 00:06:31.780]   about that thing that you just told me?
[00:06:31.780 --> 00:06:33.700]   To just kind of train them to think
[00:06:33.700 --> 00:06:35.780]   about things a little differently.
[00:06:35.780 --> 00:06:37.680]   - That's lovely.
[00:06:37.680 --> 00:06:39.940]   That's lovely, Karen, what a gift.
[00:06:41.040 --> 00:06:43.260]   What a gift of training.
[00:06:43.260 --> 00:06:46.560]   And I think, I'm sure that your students
[00:06:46.560 --> 00:06:51.560]   were blessed by that habit that you inculcated
[00:06:51.560 --> 00:06:56.360]   in them of thinking about how am I asking God
[00:06:56.360 --> 00:07:00.000]   to be involved in this situation or in this problem?
[00:07:00.000 --> 00:07:01.780]   That's really good.
[00:07:01.780 --> 00:07:04.200]   Did you, in your challenge group
[00:07:04.200 --> 00:07:07.560]   or in your home prayer time with your own kids,
[00:07:07.560 --> 00:07:11.160]   did you, was it the same every day or every season?
[00:07:11.160 --> 00:07:15.160]   Or did you ever do anything differently during Advent?
[00:07:15.160 --> 00:07:16.780]   Did you have special prayers
[00:07:16.780 --> 00:07:19.340]   that y'all prayed during Advent?
[00:07:19.340 --> 00:07:21.100]   - Well, with my own kids at home,
[00:07:21.100 --> 00:07:23.620]   we used the Jesse tree for several years.
[00:07:23.620 --> 00:07:25.020]   - Oh, yes!
[00:07:25.020 --> 00:07:28.300]   - And so what I wanted the prayers to be
[00:07:28.300 --> 00:07:30.220]   coming right out of Thanksgiving season,
[00:07:30.220 --> 00:07:34.480]   'cause the season of Advent starts right
[00:07:34.480 --> 00:07:36.140]   on the tail of Thanksgiving.
[00:07:36.140 --> 00:07:38.120]   So we had just been thinking through
[00:07:38.120 --> 00:07:39.460]   what to be thankful for.
[00:07:39.460 --> 00:07:41.260]   And in general, a lot of the things
[00:07:41.260 --> 00:07:43.980]   that we were thankful for during the Thanksgiving season
[00:07:43.980 --> 00:07:46.860]   were blessings that we had received,
[00:07:46.860 --> 00:07:50.640]   sometimes materially, sometimes relationally.
[00:07:50.640 --> 00:07:53.920]   But what we did with our Jesse tree
[00:07:53.920 --> 00:07:56.240]   was we would look at each of the ornaments,
[00:07:56.240 --> 00:08:00.180]   talk about the root that sprung from Jesse's tree
[00:08:00.180 --> 00:08:02.340]   and that it was for different people.
[00:08:02.340 --> 00:08:03.500]   It was for the Gentiles.
[00:08:03.500 --> 00:08:05.300]   And how can that make us thankful?
[00:08:05.300 --> 00:08:08.380]   And why is that so important to you and me today?
[00:08:08.380 --> 00:08:10.260]   And what would be different if that weren't true?
[00:08:10.260 --> 00:08:14.780]   And then we would pray about how we feel so blessed
[00:08:14.780 --> 00:08:16.500]   as a result of each of these things,
