
[00:00:00.000 --> 00:00:02.160]   (beeping)
[00:00:02.160 --> 00:00:12.240]   (upbeat music)
[00:00:12.240 --> 00:00:19.860]   - Welcome back to Portfolio Rescue,
[00:00:19.860 --> 00:00:21.780]   a show where we take questions straight from you,
[00:00:21.780 --> 00:00:24.760]   the viewer, from all of our different content we produce.
[00:00:24.760 --> 00:00:27.980]   Duncan, we took a week off because I was in Disney.
[00:00:27.980 --> 00:00:29.740]   I learned a valuable lesson about the difference
[00:00:29.740 --> 00:00:31.900]   between a trip and a vacation.
[00:00:31.900 --> 00:00:35.000]   A family trip is one where everyone goes to bed at 9 p.m.
[00:00:35.000 --> 00:00:35.840]   'cause you're all tired
[00:00:35.840 --> 00:00:37.240]   from all the activities during the day,
[00:00:37.240 --> 00:00:38.620]   and a vacation is where you stay up late
[00:00:38.620 --> 00:00:39.840]   and party and have fun,
[00:00:39.840 --> 00:00:41.580]   and that was not what we were on.
[00:00:41.580 --> 00:00:44.200]   - I'm kind of surprised you're not wearing Mickey ears,
[00:00:44.200 --> 00:00:45.260]   you know?
[00:00:45.260 --> 00:00:46.780]   Thought you might come back with some of those.
[00:00:46.780 --> 00:00:48.080]   - I was the only crank in the family
[00:00:48.080 --> 00:00:50.460]   who didn't have, like, head-to-toe Mickey Mouse
[00:00:50.460 --> 00:00:51.660]   or Disney gear.
[00:00:51.660 --> 00:00:54.860]   Anyway, right before the show,
[00:00:54.860 --> 00:00:55.700]   I actually got a,
[00:00:55.700 --> 00:00:57.980]   I've given some book recommendations before.
[00:00:57.980 --> 00:00:59.340]   Poor Charlie's Almanac.
[00:00:59.340 --> 00:01:01.800]   This is something I read early on in my career.
[00:01:01.800 --> 00:01:04.220]   We actually had a relative of the person
[00:01:04.220 --> 00:01:05.660]   who worked on editing this book,
[00:01:05.660 --> 00:01:08.420]   and it's all of Charlie Munger's different speeches
[00:01:08.420 --> 00:01:09.460]   he's given over the years,
[00:01:09.460 --> 00:01:10.580]   sent me a signed copy.
[00:01:10.580 --> 00:01:12.300]   I think he sent a signed copy to the office, too,
[00:01:12.300 --> 00:01:14.660]   for Josh and Barry and Michael and some other people,
[00:01:14.660 --> 00:01:15.860]   which I thought was very cool.
[00:01:15.860 --> 00:01:17.380]   It's a very good book,
[00:01:17.380 --> 00:01:19.900]   and this guy is 98 years old now,
[00:01:19.900 --> 00:01:22.260]   and he was out there spitting fire yesterday
[00:01:22.260 --> 00:01:24.460]   calling Bitcoin a venereal disease,
[00:01:24.460 --> 00:01:27.980]   and I just hope I make it someday to that age
[00:01:27.980 --> 00:01:29.660]   where I think it's basically 80 plus
[00:01:29.660 --> 00:01:31.660]   where you just stop caring at all
[00:01:31.660 --> 00:01:34.500]   what you say and what people think of you.
[00:01:34.500 --> 00:01:37.380]   It's wonderful, so I would like that.
[00:01:37.380 --> 00:01:38.220]   I just want to say real quick,
[00:01:38.220 --> 00:01:39.100]   so remember, if you have a question,
[00:01:39.100 --> 00:01:41.060]   email us, askthecompoundshow@gmail.com,
[00:01:41.060 --> 00:01:43.800]   and you can also leave some feedback there as well.
[00:01:43.800 --> 00:01:44.640]   So we got a feedback.
[00:01:44.640 --> 00:01:45.820]   Last time, someone asked,
[00:01:45.820 --> 00:01:48.180]   "Hey, I want to YOLO into a rental property
[00:01:48.180 --> 00:01:49.340]   "in Austin, Texas.
[00:01:49.340 --> 00:01:50.840]   "I want to cash out my 401(k)."
[00:01:50.840 --> 00:01:52.820]   We think he was cashing it out and not doing a loan,
