
[00:00:00.000 --> 00:00:01.920]   Question from Natalia.
[00:00:01.920 --> 00:00:04.400]   You've mentioned that one way to answer the question,
[00:00:04.400 --> 00:00:07.320]   what makes a good life good is to turn to biographies
[00:00:07.320 --> 00:00:09.720]   of people whose life you admire.
[00:00:09.720 --> 00:00:11.200]   Who do you personally admire?
[00:00:11.200 --> 00:00:13.640]   - Well, I have a lot of answers to that question,
[00:00:13.640 --> 00:00:16.400]   but why don't I just give you one example
[00:00:16.400 --> 00:00:19.640]   of someone I admire and that admiration has been developed
[00:00:19.640 --> 00:00:21.820]   and nuanced through the reading of biographies.
[00:00:21.820 --> 00:00:25.880]   And one of my classic examples there is Abraham Lincoln,
[00:00:25.880 --> 00:00:27.180]   real influence on me.
[00:00:28.040 --> 00:00:30.640]   I'm actually reading John Meacham's new biography
[00:00:30.640 --> 00:00:32.520]   of Lincoln and there was light.
[00:00:32.520 --> 00:00:33.400]   So I'm about halfway through that.
[00:00:33.400 --> 00:00:34.220]   I'm enjoying that one.
[00:00:34.220 --> 00:00:36.520]   I've read a lot of Lincoln books,
[00:00:36.520 --> 00:00:39.320]   but that one is ranking pretty high up so far.
[00:00:39.320 --> 00:00:41.360]   So I like what he's doing there.
[00:00:41.360 --> 00:00:46.360]   All right, so here's the two things I learned about Lincoln
[00:00:46.360 --> 00:00:50.400]   through going deep through biographical material
[00:00:50.400 --> 00:00:53.240]   that makes him someone I admire.
[00:00:53.240 --> 00:00:57.840]   One is the fact that Lincoln was a moral being.
[00:00:57.840 --> 00:01:02.000]   I wanna be really clear about what I mean by that.
[00:01:02.000 --> 00:01:05.960]   I don't mean that in the sense that he was a superlative
[00:01:05.960 --> 00:01:10.400]   example of morality that even by 21st century standards,
[00:01:10.400 --> 00:01:13.520]   we look back at everything he did or think and said,
[00:01:13.520 --> 00:01:16.640]   wow, he had found some sort of crystalline, pure morality.
[00:01:16.640 --> 00:01:19.600]   He had broken free from any sort of parochial
[00:01:19.600 --> 00:01:21.200]   or cultural influences and just saw
[00:01:21.200 --> 00:01:24.680]   the abstract platonic light of the perfect moral sentiments.
[00:01:24.680 --> 00:01:29.360]   It's not that his morality was at a very high polished
[00:01:29.360 --> 00:01:33.160]   plane, but that he saw his morality
[00:01:33.160 --> 00:01:34.680]   as an important part of his life.
[00:01:34.680 --> 00:01:37.600]   And he worked on it explicitly throughout his life.
[00:01:37.600 --> 00:01:38.800]   He is a moral being.
[00:01:38.800 --> 00:01:40.680]   What you get out of reading his biographies
[00:01:40.680 --> 00:01:43.480]   is the degree to which he thought that maintaining
[00:01:43.480 --> 00:01:45.720]   and evolving his sense of principles
