
[00:00:00.500 --> 00:00:05.200]   So something we hear casually tossed around these days is the idea that knowledge workers are more
[00:00:05.200 --> 00:00:10.740]   exhausted and prone to burnout than ever before. Anecdotally, this seems to be true, but does the
[00:00:10.740 --> 00:00:16.280]   data back it up? Well, it does. If you look at survey data of knowledge workers, this trend seems
[00:00:16.280 --> 00:00:23.900]   to be clear. For example, 2025 research by research consultants at Censuswide found that 66% of
[00:00:23.900 --> 00:00:28.060]   American employees are experiencing some sort of burnout. This was the highest number they had
[00:00:28.060 --> 00:00:35.300]   recorded. Another survey from 2025 found that 82% of respondents reported experiencing some level of
[00:00:35.300 --> 00:00:40.720]   exhaustion. I kept finding study after study along these lines. They are common and the trend lines are
[00:00:40.720 --> 00:00:45.400]   heading in the wrong direction. So I want to talk about this today and I have two goals. First, I'm
[00:00:45.400 --> 00:00:51.400]   going to focus on a specific factor that I think helps explains this trend. It's not the only factor
[00:00:51.400 --> 00:00:55.460]   that explains this trend, but it is an important one. And it's one I think that we don't talk about
[00:00:55.460 --> 00:01:03.980]   enough. Second, I'm going to then follow the logic. If this factor is true, where would that lead us in
[00:01:03.980 --> 00:01:08.500]   terms of how we should be rethinking work? And I'm going to make a suggestion about what I think the
[00:01:08.500 --> 00:01:14.040]   ideal knowledge work workday should look like for a normal human being. It's an answer that might be
[00:01:14.040 --> 00:01:18.720]   shocking, but if you give it some time, I think it actually makes more sense than you might at first
[00:01:18.720 --> 00:01:26.340]   realize. So to get started, I want to start in an unexpected place. It's a quote I came across
[00:01:26.340 --> 00:01:33.860]   recently that sparked the whole line of thinking that led to this deep dive. It was a quote that was
[00:01:33.860 --> 00:01:39.920]   written down in a journal 150 years ago, and it might not seem to have anything to do with work,
[00:01:39.920 --> 00:01:44.660]   but I think when we look at it closely, it has everything to do with work today. All right,
[00:01:44.660 --> 00:01:49.000]   I'm going to pull this quote up here on the screen for those who are watching instead of just
[00:01:49.000 --> 00:01:54.820]   listening. This quote comes from Henry David Thoreau's journal. He wrote this journal entry in 1852.
[00:01:54.820 --> 00:02:01.280]   This was in the period after he had already spent his time at Walden Pond, but before he had published
[00:02:01.280 --> 00:02:07.580]   his book on the experience. So he was sort of processing it. Here's what he wrote.
[00:02:07.660 --> 00:02:14.080]   I have the habit of attention to such excess that my senses get no rest, but suffer from a constant
[00:02:14.080 --> 00:02:22.440]   strain. Be not preoccupied with looking, go not to the object, let it come to you. What I need is not
[00:02:22.440 --> 00:02:30.200]   to look at all, but a true sauntering of the eye. Okay, let's think about this a little bit. What did he
[00:02:30.200 --> 00:02:35.400]   mean by this? Well, to get some analysis that's going to help us connect us to work, I'm going to turn to
[00:02:35.400 --> 00:02:41.220]   the source where I found this journal entry, which was in Caleb Smith's recent book, Thoreau's Axe,
[00:02:41.220 --> 00:02:45.300]   which I read a couple months ago and we talked about on this show. The author of this book,
[00:02:45.300 --> 00:02:50.960]   Caleb Smith, in analyzing Thoreau's journal entry that I just read, said the following.
[00:02:50.960 --> 00:02:58.400]   At Walden, Thoreau had begun by trying to undistract himself, to reawaken his own powers of perception and
[00:02:58.400 --> 00:03:04.080]   refocus his attention on natural, uncommodified objects of contemplation. By doing so, he had hoped to
[00:03:04.080 --> 00:03:08.240]   free himself from the degrading cycle of labor and consumption that organized middle-class life under
[00:03:08.240 --> 00:03:13.240]   market capitalism. In the long run, though, he found that this very effort exhausted his senses and
[00:03:13.240 --> 00:03:18.880]   trapped him in a, quote, habit of attention, end quote. All right, this is a little bit academic.
[00:03:18.880 --> 00:03:22.900]   That's from an academic book, but let me deconstruct it because there's a critical point in
[00:03:22.900 --> 00:03:28.220]   here. When Thoreau went to Walden Pond to do that experiment of living deliberately by the water,
[00:03:28.420 --> 00:03:33.640]   he thought that his problem was he was paying attention to the wrong things,
[00:03:33.640 --> 00:03:42.520]   right? That he was focusing too much on consumer and materialistic goods, and that by removing those
[00:03:42.520 --> 00:03:47.780]   from his life and focusing on the wonders of nature, for example, which he describes in sort of great
[00:03:47.780 --> 00:03:54.260]   loving detail in his book, Walden, that he would find a sort of more purity in his existence. He was sort
[00:03:54.260 --> 00:03:58.660]   of playing here with the ancient monastic Christian notion of turning your attention from the worldly
[00:03:58.660 --> 00:04:05.160]   to the heavens above and contemplating hard, you know, God and divinity. But in this journal entry
[00:04:05.160 --> 00:04:11.780]   that comes after he leaves Walden, he's realizing that the bigger problem was how much time he was
[00:04:11.780 --> 00:04:19.660]   spending paying attention in the first place. So he was discovering this idea of, like, I need to focus
[00:04:19.660 --> 00:04:23.660]   really hard on the right thing, like, focus on the ice that I'm going to write about in Walden,
[00:04:23.660 --> 00:04:30.480]   focus on the clouds up above, that that act of paying so much attention itself was unnatural,
[00:04:30.480 --> 00:04:36.780]   regardless of what he was paying attention to. There's periods where you just need to let the
[00:04:36.780 --> 00:04:41.980]   world be around you, let objects come to your attention, and then drift off. This might give you
[00:04:41.980 --> 00:04:47.840]   deep insight. Sometimes it might not, but it gives you a more deeper sense of contentment.
[00:04:47.840 --> 00:04:54.780]   So we had this revelation. There's only so much we can kind of force ourselves to pay attention. We're
[00:04:54.780 --> 00:05:00.360]   actually wired to let the world come to us, just to be there in the world for a lot of our time.
[00:05:00.360 --> 00:05:06.900]   All right, let's connect this to knowledge work. There is a through line here. In his philosophizing,
[00:05:06.900 --> 00:05:11.420]   right, Thoreau was stumbling on this important point about paying focus attention being to some degree
[00:05:11.420 --> 00:05:18.340]   unnatural or something we can only do a limited amount. And yet, isn't this exactly what knowledge
[00:05:18.340 --> 00:05:24.040]   work demands of us? The knowledge work demands that we have to be focusing and paying attention on things
[00:05:24.040 --> 00:05:30.980]   with our brain the entire day. Well, where did this come from? Well, here's a story to tell.
[00:05:30.980 --> 00:05:40.240]   As we get the rise of the Industrial Revolution and factory labor, we invented a new model of productive work
[00:05:40.860 --> 00:05:46.960]   in which what you're essentially doing is renting your body to a factory owner. So in industrial work,
[00:05:46.960 --> 00:05:51.920]   which was what was big in the time when Thoreau was around, this was the model we had. Hey, I'm going
[00:05:51.920 --> 00:05:57.780]   to rent my body to you, the factory owner, for eight hours. It would have been more before, but after,
[00:05:57.780 --> 00:06:01.540]   you know, federal labor reform standards, early 20th century, it'd be something like eight hours.
[00:06:01.540 --> 00:06:06.060]   And then you could basically tell me what to do with that. I need your arms to turn these
[00:06:06.060 --> 00:06:11.420]   knobs and to attach these steering wheels or to move these things from the assembly line and off.
[00:06:11.420 --> 00:06:16.240]   And you're paying me for use of my body. You're going to tell me exactly how to use it. And if I
[00:06:16.240 --> 00:06:20.520]   say, hey, I'm going to go take a two-hour break, like, great, we're not using your body, then we're not
[00:06:20.520 --> 00:06:26.320]   paying you for those two hours, right? So I'm renting your body to help make our factories actually run
[00:06:26.320 --> 00:06:30.860]   because we need human bodies doing things in there. So when knowledge work emerged as a major economic
[00:06:30.860 --> 00:06:36.240]   sector in the mid-20th century, the decision implicitly was like, well, we'll just do the
[00:06:36.240 --> 00:06:41.440]   same thing with brains. It just made sense. It was a natural leap. In the factories, we rent your bodies
[00:06:41.440 --> 00:06:46.540]   for eight to 10 hours a day, and the offices will rent your brains for eight hours. Your brain is ours
[00:06:46.540 --> 00:06:53.480]   for those eight hours, so it better be doing the cognitive equivalent of turning the wrench or attaching
[00:06:53.480 --> 00:07:01.560]   the steering wheel for those eight hours. So you've got to be doing things with your brain the entire
[00:07:01.560 --> 00:07:07.580]   time that you're working. So this made sense from, I don't know, an intuitive perspective. It's just what
[00:07:07.580 --> 00:07:15.960]   we did in factories. Why not do it in offices? But as Thoreau had pointed out 150 years ago, you can't do
[00:07:15.960 --> 00:07:21.640]   that. You can sit in a factory and move things off an assembly line for eight hours a day, but you can't
[00:07:21.640 --> 00:07:26.860]   easily pay attention to things for eight hours a day. It's unnatural, and it's draining, and it is
[00:07:26.860 --> 00:07:33.140]   exhausting. It is a very unnatural configuration to be in. Now, why then are these numbers getting worse?
[00:07:33.140 --> 00:07:37.400]   If this was our idea early in the mid-20th century, we had all these big factories, the offices built,
[00:07:37.400 --> 00:07:41.100]   we said let's run the offices the same way as a factory. Why is this burnout and exhaustion getting
[00:07:41.100 --> 00:07:45.460]   worse today than it was back then? Wouldn't it just be bad from the very beginning? Well, I think
[00:07:45.460 --> 00:07:54.440]   technology has a role to play in this story. So while it was true in 1965, and you're working
[00:07:54.440 --> 00:08:00.100]   on Madison Avenue, like in the Jon Hamm show, Mad Men, that your brain was being rented for eight
[00:08:00.100 --> 00:08:05.820]   hours, it was easier to fake it than you could in industrial labor. In industrial labor, I can tell
[00:08:05.820 --> 00:08:09.640]   if you were not doing your thing on the assembly line. I can see you not turning the wrench. What's going
[00:08:09.640 --> 00:08:17.600]   on? But if I'm John Draper in Mad Men, come on, I can have a cocktail at two in the afternoon for an
[00:08:17.600 --> 00:08:22.020]   hour. We're like working in the conference room to think about ideas, but not really. When the boss
[00:08:22.020 --> 00:08:26.760]   comes by, you put down your magazine, and you're at the water cooler talking football, and the supervisor
[00:08:26.760 --> 00:08:31.480]   walks in, and you quickly shift at the client talk. So we all kind of pretended like this is what we
[00:08:31.480 --> 00:08:34.900]   were doing. Yeah, we're renting our brains just like our brothers in the factory. It's the same thing
[00:08:34.900 --> 00:08:37.960]   we're doing. We're renting our brains for eight hours, and we're here, and we're thinking the whole
[00:08:37.960 --> 00:08:41.020]   time, but we really weren't doing that, and you could kind of get away with that.
[00:08:41.020 --> 00:08:47.580]   Then technology came along, and we lost our ability to fake it. The personal computer, as I've talked
[00:08:47.580 --> 00:08:52.340]   about before, and I wrote about this in my book, Slow Productivity, the personal computer came along,
[00:08:52.340 --> 00:08:56.260]   and it vastly increased the number of things you could be working on. There's so much more work that
[00:08:56.260 --> 00:09:00.180]   could be assigned to you because there's so many more things that one individual could do because the
[00:09:00.180 --> 00:09:05.640]   computer made so many tasks just easy enough that one person could learn to do them. This led to a
[00:09:05.640 --> 00:09:09.120]   theory of workload that said, well, great. Now that there's so many different things you can do,
[00:09:09.120 --> 00:09:15.120]   why not just fill your queue hopelessly large with the idea that there'll be no downtime? So there'll
[00:09:15.120 --> 00:09:20.680]   always be something you can work on, right? So we were kind of calling the bluff of this renting your
[00:09:20.680 --> 00:09:23.800]   brain model. We're like, okay, if we really have your brain for eight hours, now that there's like an
