
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[00:00:06.720 --> 00:00:14.000]   or tighter nomadic circles depending on the geographic region but they'd move so once humans
[00:00:14.000 --> 00:00:20.560]   figured out how to stay in a place that's the initial trigger to what would become civilization
[00:00:20.560 --> 00:00:26.240]   i think you said beauty and blood went hand in hand for the aztec what i meant by that is they
[00:00:26.240 --> 00:00:32.560]   were absolutely comfortable with human sacrifice and you know ripping people's hearts out this they
[00:00:32.560 --> 00:00:42.400]   had this this just you know grotesque violent bent but in the same way they also absolutely loved flower
[00:00:42.400 --> 00:00:53.520]   gardens and poetry and music and dance the same aztec king who would order the hearts of a thousand
[00:00:53.520 --> 00:01:00.800]   people extracted also would stand up at dinner parties to recite his own poetry but they were
[00:01:00.800 --> 00:01:07.200]   really just surgical about it they'd use a thick obsidian knife where they could just break the ribs
[00:01:07.200 --> 00:01:12.880]   right along the sternum and then push the sternum down pull up and just while the person was alive
[00:01:12.880 --> 00:01:22.000]   yep while the person was alive the following is a conversation with ed barnhart an archaeologist
[00:01:22.000 --> 00:01:29.600]   specializing in ancient civilizations of south america mesoamerica and north america this is a
[00:01:29.600 --> 00:01:36.160]   lex friedman podcast to support it please check out our sponsors in the description and now dear friends
[00:01:36.160 --> 00:01:44.480]   here's ed barnhart do you think there are lost civilizations in the history of humans on earth
[00:01:44.480 --> 00:01:53.120]   which we don't know anything about yes i do and in fact you know we we have found some civilizations
[00:01:53.120 --> 00:02:00.480]   that we had no idea about just in my lifetime i mean we've got gobekli tepi and we've got the stuff
[00:02:00.480 --> 00:02:08.080]   that's going on in the amazon and there's some other less startling things that we had no id existed and
[00:02:08.080 --> 00:02:13.840]   push our dates back and give us whole new civilizations we had no idea about so
[00:02:13.840 --> 00:02:19.920]   yeah it's happened and i think it'll happen again do you think there's a lost civilization
[00:02:19.920 --> 00:02:29.680]   in the amazon that uh the amazon jungle has eaten up or is hiding the evidence of yes i do and i uh
[00:02:29.680 --> 00:02:36.640]   we're beginning to find it there are these huge what we call geoglyphs these mound groups that are
[00:02:36.640 --> 00:02:43.520]   in geometric patterns i think that the average joe when they hear the word civilization they think of
[00:02:43.520 --> 00:02:48.880]   something that looks like rome and i don't think we're ever going to find anything that looks like
[00:02:48.880 --> 00:02:55.200]   rome in the amazon i think a lot of things there i mean wherever you are on the planet you use your
[00:02:55.200 --> 00:03:01.280]   natural resources and in the amazon there's not a whole lot of stone what stone is there is deep deep
[00:03:01.280 --> 00:03:11.600]   deep so a lot of their things were built out of dirt and trees and feathers and textiles but is it possible
[00:03:11.600 --> 00:03:18.320]   that all that land that's not covered by trees is actually hiding stone for example some architecture
[00:03:18.320 --> 00:03:24.960]   some things that's just very difficult to find for archaeologists i think at the base of the andes
[00:03:24.960 --> 00:03:31.520]   where the amazon connects to the andes there's a lot of potential there because that's where the stone
