
[00:00:00.000 --> 00:00:21.120]   Hello everyone. Thanks for coming to the session here today. My name is Jonathan Larson and I run
[00:00:21.120 --> 00:00:26.680]   the GraphRag team at Microsoft Research. Some of you may have seen our paper that we actually
[00:00:26.680 --> 00:00:32.740]   released last year, the GraphRag paper, or you might have seen our GitHub repo that was
[00:00:32.740 --> 00:00:37.800]   out there and has a lot of stars on it. When it released this last year, to our surprise,
[00:00:37.800 --> 00:00:42.280]   it got a lot of attention and also it inspired many other offerings that we saw that were
[00:00:42.280 --> 00:00:46.300]   out there as well, too. My favorites, of course, were the ones that Neo4j did with the card
[00:00:46.300 --> 00:00:51.100]   game, because I'm a huge board game fanatic as well, too. But there's been lots of derivative
[00:00:51.100 --> 00:00:55.360]   work from it. And today, though, I'm not here to talk to you about some of the things that
[00:00:55.360 --> 00:00:59.980]   happened. I'm here to talk to you about some of the new horizons. And the two things I really
[00:00:59.980 --> 00:01:05.440]   want to leave you with here today are that LM memory with structure is just an absolutely key
[00:01:05.440 --> 00:01:11.500]   enabler for building effective AI applications. The second, as we'll talk about a little bit later in
[00:01:11.500 --> 00:01:16.420]   the talk as well, too, are that agents, of course, paired with these structures can provide something
[00:01:16.420 --> 00:01:20.360]   even more powerful. And let me go ahead and go back to the slide here. So today, I'm going to tell you
[00:01:20.360 --> 00:01:24.980]   about a couple things. The first is actually showing you Graphrag as applied to a specific
[00:01:24.980 --> 00:01:29.180]   domain. In this case, we're going to apply it to the coding domain to look at enterprise productivity
[00:01:29.180 --> 00:01:34.700]   in the coding space. The second is we're going to take a look at a new release that we are announcing
[00:01:34.700 --> 00:01:39.600]   today. We're actually having a blog post on this tomorrow. We have benchmark QED just went open source
[00:01:39.600 --> 00:01:45.720]   as well. And then I'll talk about some new results that we've had on some Graphrag evolutions on a new
[00:01:45.720 --> 00:01:49.740]   technology we've been working on called lazy Graphrag. I won't be going into the specifics of how many it
[00:01:49.740 --> 00:01:54.360]   works. I'll just be showing some benchmarks and talking about some of the ways you'll be able to access it
[00:01:54.360 --> 00:01:59.660]   soon. So with that, let me go ahead and jump into Graphrag for code and tell you about how we've been
[00:01:59.660 --> 00:02:05.540]   using Graphrag to actually help drive repository-level understanding. And I want to start first with a little
[00:02:05.540 --> 00:02:09.800]   demonstration. Everyone likes to watch little videos, so I'm going to go ahead and hit play. And yes,
[00:02:09.800 --> 00:02:14.100]   it's showing on the screen there. So this is a little terminal-based video game that one of my
[00:02:14.100 --> 00:02:19.220]   engineers have put together. It's one where you jump over obstacles, and then you get points when you jump
[00:02:19.220 --> 00:02:23.660]   over them, and you run into them, you lose points. And two important things, though. First, the LLM has never
[00:02:23.660 --> 00:02:27.720]   seen this code before, and it's small enough for the human to know the ground truth
[00:02:27.720 --> 00:02:33.660]   holistically because it's only about 200 lines of code across seven files. But it's complex enough that the LLM's had
[00:02:33.660 --> 00:02:37.920]   a lot of troubles understanding it if you just provide all the code directly into the context window.
[00:02:37.920 --> 00:02:42.660]   So with that as a background, let's take a look at what happens if you use typical regular rag over
[00:02:42.660 --> 00:02:47.640]   the top of this. So if you're using one of the tools that help analyze your code, this is the type of
[00:02:47.640 --> 00:02:52.140]   answer you might get back. And this is -- we ran this through with a regular rag system. And we asked
[00:02:52.140 --> 00:02:58.500]   it, describe what this application is and how it works. And just to read you what it says, because it's too
[00:02:58.500 --> 00:03:02.820]   small to read, "The application is designed as a game that is configured and initiated through a main
[00:03:02.820 --> 00:03:08.040]   function. The game leverages a configuration file and has its main components, such as the game screen,
[00:03:08.040 --> 00:03:13.080]   game logic, encapsulated in separate classes and functions." Totally useless. It just says,
[00:03:13.080 --> 00:03:18.300]   it's a game. There's nothing more to it than that. And it just put a bunch of other cruft in there.
[00:03:18.300 --> 00:03:24.000]   If you use GraphRack for code over the exact same code base with the exact same question,
[00:03:24.000 --> 00:03:29.100]   you get a much, much better description. This is just a very stark contrast you get between the two.
[00:03:29.100 --> 00:03:34.320]   So in the GraphRack for code, it says, "The application is a terminal-based interactive game
[00:03:34.320 --> 00:03:39.000]   designed to run in a curses-based terminal environment. So far, not much better. But this
[00:03:39.000 --> 00:03:44.280]   next line just kills it." It features a player character that can jump vertically, obstacles that
[00:03:44.280 --> 00:03:49.080]   move horizontally across the screen, and a static background layer. The game controls via keyboard
[00:03:49.080 --> 00:03:54.480]   inputs, specifically using the space bar to trigger the player's jump action. So what this is showing you
[00:03:54.480 --> 00:04:00.960]   is semantic understanding. So if you've read our paper or used any of the GraphRack code base that
[00:04:00.960 --> 00:04:05.760]   we've put out there, you'll know about the concept for what we call local and global queries. And so
[00:04:05.760 --> 00:04:10.380]   this is what we would call a global query over top of the repository. It requires understanding the whole
[00:04:10.380 --> 00:04:16.620]   repository to answer that question correctly. And we can see that it excels at that. So one of the next
[00:04:16.620 --> 00:04:21.540]   things we decided to do was, well, if I can answer questions pretty well, can it maybe do code
[00:04:21.540 --> 00:04:27.280]   translation? And so that was the next thing that we aimed it at. So taking the same code base here,
[00:04:27.280 --> 00:04:32.340]   we took on the challenge of taking this Python code and then asking to translate it directly into Rust.
[00:04:32.340 --> 00:04:36.720]   And let me show you just how that actually works. I'm going to play the video here. So we're going to do is
[00:04:36.720 --> 00:04:41.520]   We're going to start off with in VS Code here. We're going to look at the four source code files. Well, there's four main ones.
[00:04:41.520 --> 00:04:46.920]   There's seven files total for this game. These are the source Python code files that we're working with here.
[00:04:46.920 --> 00:04:51.780]   We're going to go ahead and run those just to show you again. This is the same game. So this is again the same
[00:04:51.780 --> 00:04:56.580]   side scroller game here. And then what we're going to do is we're going to actually take those source code files and just
