
[00:00:00.000 --> 00:00:05.480]   The Hartford Small Business Insurance knows that running a small business is a big-time commitment.
[00:00:05.480 --> 00:00:14.480]   So this holiday season, they're celebrating hard-working small business owners with a chance to go to I Heart Radio Jingle Ball in Miami on December 16th.
[00:00:14.480 --> 00:00:19.000]   Nominate yourself or another small business owner for a chance to win a trip for two.
[00:00:19.000 --> 00:00:24.680]   Includes airfare, two-night hotel, tickets to the show, plus $1,000 in spending cash.
[00:00:24.680 --> 00:00:29.680]   For official rules and entry information, visit IHeartRadio.com/SmallBusiness.
[00:00:30.680 --> 00:00:35.680]   Hey, Radicals. Welcome to the Radical Personal Finance Podcast. My name is Joshua Sheets and I'm your host.
[00:00:35.680 --> 00:00:42.680]   A different episode of the show today. We're going to again call this a coaching call instead of the normal long format of the show.
[00:00:42.680 --> 00:00:51.680]   Enjoying some time at home and still want to make sure you have something to listen to as regularly as possible, but not able to get the full show out to you today.
[00:00:51.680 --> 00:00:57.680]   I want to talk with you about a little coaching tip and ask you about your habits.
[00:00:57.680 --> 00:01:02.680]   Most specifically, your littlest habits.
[00:01:02.680 --> 00:01:06.680]   Something I think about. I'm not necessarily great at this. I work at it.
[00:01:06.680 --> 00:01:10.680]   But like anybody, I've got some things I'm really good at and some things I'm really bad at.
[00:01:10.680 --> 00:01:15.680]   But I think it's worth focusing for a couple minutes on the discussion of little habits.
[00:01:15.680 --> 00:01:31.680]   My question for you to consider today is what are the little habits that are going to help you to consistently move toward your goals?
[00:01:31.680 --> 00:01:40.680]   Or if you want to phrase it a different way, is there a little habit that would help you to maintain the lifestyle that you want to live?
[00:01:40.680 --> 00:01:49.680]   Or is there a small habit that you could research and institute into your life that would consistently move you forward?
[00:01:49.680 --> 00:01:52.680]   You can phrase it any way you want.
[00:01:52.680 --> 00:01:58.680]   Figure out the best way to ask yourself the question that's going to stimulate your thinking.
[00:01:58.680 --> 00:02:00.680]   But the point is the same.
[00:02:00.680 --> 00:02:10.680]   Oftentimes, there are some very little things that you can do that might make a profound difference in your life long term.
[00:02:10.680 --> 00:02:14.680]   I've heard it said – I think it was Brian Tracy. I have no idea of the citation on it.
[00:02:14.680 --> 00:02:19.680]   But I've heard it said that 95% of your results come from your habits or 95% of your success comes from your habits.
[00:02:19.680 --> 00:02:20.680]   Something along those lines.
[00:02:20.680 --> 00:02:24.680]   The point is habits influence a lot.
