
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:08.660]   - We now have over 1,200 sermons by John Piper
[00:00:08.660 --> 00:00:10.620]   in the Desiring God sermon archive,
[00:00:10.620 --> 00:00:13.080]   but none of them are more popular than one sermon
[00:00:13.080 --> 00:00:15.980]   that stands above all the others in page views.
[00:00:15.980 --> 00:00:18.600]   It's simply titled, "What is the Will of God
[00:00:18.600 --> 00:00:20.120]   "and How Do We Know It?"
[00:00:20.120 --> 00:00:23.480]   A sermon he preached on August 22nd, 2004.
[00:00:23.480 --> 00:00:24.920]   In it, he answers the question,
[00:00:24.920 --> 00:00:26.620]   "What is the single most important key
[00:00:26.620 --> 00:00:28.500]   "to knowing God's will in my life?
[00:00:28.500 --> 00:00:29.760]   "Like, how do I obey him?
[00:00:29.760 --> 00:00:32.160]   "In any given situation, but also,
[00:00:32.160 --> 00:00:33.760]   "who does he want me to marry?
[00:00:33.760 --> 00:00:34.840]   "What car should I buy?
[00:00:34.840 --> 00:00:36.800]   "What career path should I choose?
[00:00:36.800 --> 00:00:38.700]   "Where should I go to school?"
[00:00:38.700 --> 00:00:40.740]   Pastor John explains how to know God's will
[00:00:40.740 --> 00:00:44.400]   in three stages from Romans 12, verses one and two.
[00:00:44.400 --> 00:00:48.420]   - If I'm arguing that discern the will of God
[00:00:48.420 --> 00:00:53.340]   in verse two means discern the will of command,
[00:00:53.340 --> 00:00:57.020]   discern your duty, how does that look?
[00:00:57.020 --> 00:00:57.900]   Three stages.
[00:00:57.900 --> 00:01:02.900]   Number one, God's will of command is revealed
[00:01:02.900 --> 00:01:06.700]   finally and decisively only in the Bible.
[00:01:06.700 --> 00:01:11.600]   Finally and decisively, very important words.
[00:01:11.600 --> 00:01:15.860]   God's will of command is revealed with final
[00:01:15.860 --> 00:01:18.860]   and decisive authority only in the Bible,
[00:01:18.860 --> 00:01:21.660]   and we must have a renewed mind in order to see it,
[00:01:21.660 --> 00:01:23.220]   because if you go to the Bible
[00:01:23.220 --> 00:01:24.680]   without having a renewed mind,
[00:01:24.680 --> 00:01:29.680]   you will find a way to distort and evade self-denial,
[00:01:29.680 --> 00:01:34.840]   love, purity, the command that Jesus be supremely satisfying.
[00:01:34.840 --> 00:01:39.360]   We must have the Holy Spirit illumining, transforming.
[00:01:39.360 --> 00:01:41.620]   The Holy Spirit brings us Christ-exalting truth,
[00:01:41.620 --> 00:01:45.240]   and from inside, he works truth-embracing humility.
[00:01:45.240 --> 00:01:46.380]   That's just gotta happen.
[00:01:46.380 --> 00:01:48.240]   When you go to the Bible, you're gonna blow off
[00:01:48.240 --> 00:01:50.600]   all kinds of things or twist them
[00:01:50.600 --> 00:01:53.920]   so that they fit your own self-exalting passions.
[00:01:53.920 --> 00:01:58.920]   So step one is the Bible is God's revealed will,
[00:01:58.920 --> 00:02:04.600]   the will of command, and it's the only place
[00:02:04.600 --> 00:02:09.600]   where it is expressed with final and decisive authority.
[00:02:09.600 --> 00:02:15.680]   Here's a text to support that claim, 2 Timothy 3.16.
[00:02:15.680 --> 00:02:19.840]   All scripture is inspired by God and is profitable
[00:02:19.840 --> 00:02:22.560]   for teaching, for reproof, for correction,
[00:02:22.560 --> 00:02:26.960]   for training in godliness, in order that the man of God
[00:02:26.960 --> 00:02:31.960]   might be competent, equipped for every good work, not some.
[00:02:31.960 --> 00:02:34.160]   Like some good works, you gotta get messages
[00:02:34.160 --> 00:02:35.800]   in order to do.
[00:02:35.800 --> 00:02:38.080]   I won't be able to figure out the will of God here
[00:02:38.080 --> 00:02:39.760]   unless I get a message.
[00:02:39.760 --> 00:02:45.120]   This text says the scriptures are inspired
[00:02:45.120 --> 00:02:47.600]   to make the Christian competent,
[00:02:47.600 --> 00:02:52.520]   equipped for every good work.
[00:02:52.520 --> 00:02:55.400]   Second stage, first one is Bible.
[00:02:55.400 --> 00:02:59.760]   We need renewed mind to understand it and apply it.
[00:02:59.760 --> 00:03:02.760]   The second stage is the application of biblical truth
[00:03:02.760 --> 00:03:05.780]   to new situations that are not explicitly addressed
[00:03:05.780 --> 00:03:08.620]   in the Bible, and there are, of course, millions of them.
[00:03:08.620 --> 00:03:10.720]   The Bible does not tell you which person to marry
[00:03:10.720 --> 00:03:12.360]   or whether to marry.
[00:03:12.360 --> 00:03:16.360]   The Bible does not tell you which car to drive or buy, rent.
[00:03:16.360 --> 00:03:18.920]   The Bible doesn't tell you whether to buy a home or not,
[00:03:18.920 --> 00:03:19.800]   or which home to buy.
[00:03:19.800 --> 00:03:22.920]   The Bible doesn't tell you where or if to take a vacation.
[00:03:22.920 --> 00:03:26.560]   The Bible doesn't tell you which cell phone plan to buy.
[00:03:26.560 --> 00:03:28.320]   The Bible doesn't tell you which brand of orange juice
[00:03:28.320 --> 00:03:29.240]   to drink.
[00:03:29.240 --> 00:03:32.000]   There are 10,000 decisions you must make
[00:03:32.000 --> 00:03:35.840]   that are not explicitly addressed in the Bible.
[00:03:35.840 --> 00:03:37.080]   So what do you do?
[00:03:37.080 --> 00:03:40.560]   My answer is you must have a renewed mind.
[00:03:40.560 --> 00:03:42.640]   That's what the text says.
[00:03:42.640 --> 00:03:44.680]   Be transformed by the renewal of your mind
[00:03:44.680 --> 00:03:49.600]   that you may prove how to eat, how to drink,
[00:03:49.600 --> 00:03:54.280]   cars to drive, houses to live in, missions to go on,
[00:03:54.280 --> 00:03:57.640]   lifestyles to choose from, friendships to cultivate,
[00:03:57.640 --> 00:03:59.400]   conversations to have and not to have.
[00:03:59.400 --> 00:04:02.600]   10,000 decisions not written in the Bible,
[00:04:02.600 --> 00:04:07.680]   and yet informed by all the teaching of the Bible
[00:04:07.680 --> 00:04:11.600]   into this new mind so that you think with the mind of Christ
[00:04:11.600 --> 00:04:14.600]   and assess things the way Christ would assess them
[00:04:14.600 --> 00:04:16.880]   so that the decisions that are made really
[00:04:16.880 --> 00:04:21.440]   are flowing from the revealed will of God in the Bible
[00:04:21.440 --> 00:04:24.320]   as it transforms your mind.
[00:04:24.320 --> 00:04:31.360]   Lastly, 95% of your life is unpremeditated.
[00:04:31.360 --> 00:04:33.320]   I'm just picking 95% out of the blue.
