
[00:00:00.000 --> 00:00:20.280]   I'm going to be giving a quick presentation about the State of the Union regarding AI Vision.
[00:00:20.280 --> 00:00:29.620]   So I'm Peter Robichaux. I'm the ML lead at RoboFlow, which is a platform for building and
[00:00:29.620 --> 00:00:37.400]   deploying vision models. A lot of people are really interested in LLMs these days, so I'm
[00:00:37.400 --> 00:00:44.240]   trying to pitch why computer vision matters. If you think about systems that interact with
[00:00:44.240 --> 00:00:50.240]   the real world, they have to use vision as one of their primary inputs because the built
[00:00:50.240 --> 00:00:59.240]   world is sort of built around vision as a fundamental primitive. There's a big gap between where human
[00:00:59.240 --> 00:01:05.920]   is and where computer vision is. I would argue a bigger gap than exists currently for human
[00:01:05.920 --> 00:01:15.940]   speech and computer speech. Computer vision has its own set of problems that are very distinct
[00:01:15.940 --> 00:01:21.260]   from the problems that need to be solved by LLMs. Latency usually matters. If you want to
[00:01:21.260 --> 00:01:27.420]   perceive motion, you have to be running your process multiple frames per second. You usually
[00:01:27.420 --> 00:01:32.900]   want to run at the edge. You can't have one big hub where you do all of your computation
[00:01:32.900 --> 00:01:40.100]   because you would introduce too much latency to make decisions based off that computation.
[00:01:40.100 --> 00:01:49.480]   So I sort of gave a version of this talk at Latent Spaces podcast at NeurIPS. And retrospectively,
[00:01:49.480 --> 00:01:56.280]   I think we identified a few problems with the field of vision in 2024, one of them being
[00:01:56.280 --> 00:02:03.160]   evals or saturated. So vision evals like ImageNet and Cocoa, they're mostly like pattern matching.
[00:02:03.160 --> 00:02:08.960]   They measure your ability to match patterns and sort of like don't require much visual intelligence
[00:02:08.960 --> 00:02:17.720]   to solve. Consequently, I think, vision models don't leverage big pre-training the way that
[00:02:17.720 --> 00:02:21.900]   language models do. So right now, you can take a language model and unleash it on the internet
[00:02:21.900 --> 00:02:27.860]   and get something incredibly smart. Some of the best vision models are moving in that direction.
[00:02:27.860 --> 00:02:34.360]   But because you don't need that level of knowledge and intelligence to solve the evals, there's kind
[00:02:34.360 --> 00:02:41.440]   of no incentive to do so. And I think that part of that -- so there's sort of two dimensions
[00:02:41.440 --> 00:02:46.840]   here. One is that vision doesn't leverage big pre-training. So you can think of like if you're
[00:02:46.840 --> 00:02:50.440]   building an application with language right now, you probably want to use the smartest model
[00:02:50.440 --> 00:02:55.000]   to get an embedding that works really well for you. And right now, we don't have like their
[00:02:55.000 --> 00:02:59.560]   downstream applications that make really good use of the pre-training and the embeddings that
[00:02:59.560 --> 00:03:05.720]   they get from large language models. But there aren't really good vision models that can leverage
[00:03:05.720 --> 00:03:13.960]   these embeddings. And the corollary to this is that the quality of big pre-trained models just isn't the
[00:03:13.960 --> 00:03:20.640]   same in vision as it is in language. And so my underlying conclusion is vision models aren't smart. That's the
[00:03:20.640 --> 00:03:27.360]   the takeaway. And I can prove it to you. So last year when Cloud 3.5 was happening, you can give it an
[00:03:27.360 --> 00:03:32.480]   image of a watch and it just guesses -- you ask it what time it is and it'll just guess a random time.
[00:03:32.480 --> 00:03:38.480]   And that's because this model, it has a good conceptual abstract idea of what a clock is or what a watch
[00:03:38.480 --> 00:03:43.280]   is, but it only comes to actually identifying the location of watch hands and finding the numbers on the
[00:03:43.280 --> 00:03:50.880]   watch. It's hopeless. And updated for Cloud 4 still has no idea what time it is. And this is even like
[00:03:50.880 --> 00:03:57.040]   a an egregious failure because 10:10 is like the stock time on like all watches. So the fact that it
[00:03:57.040 --> 00:04:04.240]   couldn't even get like the most common time is pretty telling. There's so there's this really cool
[00:04:05.440 --> 00:04:13.840]   data set that's trying to measure this inability of LLMs to see called MMVP, which basically you can
[00:04:13.840 --> 00:04:19.920]   see an example here where they ask this question that seems incredibly obvious. And the model -- so
[00:04:19.920 --> 00:04:26.960]   in this case, they're asked the model, which is like ChatGPT, 4.0, which direction the school bus is
[00:04:26.960 --> 00:04:31.840]   facing. Are we seeing the front or the back of the school bus? And the model gets it completely wrong
[00:04:31.840 --> 00:04:36.880]   and then hallucinates details to support its claim. And again, I think this is evidence that large
[00:04:36.880 --> 00:04:43.280]   language models, which are maybe the most intelligent models that we have, like cannot see. And that is
[00:04:43.280 --> 00:04:48.720]   due to a lack of visual features that they can perceive with. And so the way that this dataset was
[00:04:48.720 --> 00:04:55.840]   created is they went and they found pairs of images that were close in CLIP space but far in DinoV2 space.
[00:04:55.840 --> 00:05:01.200]   So CLIP is a vision language model that was sort of contrastedly trained on the whole internet.
[00:05:01.200 --> 00:05:13.440]   And so what this is showing is that CLIP is not discriminative enough to tell these two images
[00:05:13.440 --> 00:05:17.920]   apart, right? So according to CLIP, these two images basically look the same. And what that's
[00:05:17.920 --> 00:05:25.360]   pointing to is like a failure in vision language pre-training. And so the way CLIP is trained is
[00:05:25.360 --> 00:05:32.400]   basically you come up with a big data set of captioned images and you ask the model to -- you
[00:05:32.400 --> 00:05:36.800]   scramble the captions and scramble the images and ask the model to pair the image with the caption.
[00:05:36.800 --> 00:05:42.240]   But the thing is if you go back and look at these two images, what is a caption that would distinguish
[00:05:42.240 --> 00:05:48.640]   these two images, right? It's like the peculiar pose of the dog and one image it's facing the camera
[00:05:48.640 --> 00:05:52.320]   and one it's facing away. But these are sort of details that aren't included in the caption.
[00:05:52.320 --> 00:05:56.400]   So if your loss function can't tell these two images apart, then why would your model be able to,
[00:05:56.400 --> 00:06:04.960]   right? So vision-only pre-training kind of works is the claim. So DinoV2 is this really cool model.
[00:06:04.960 --> 00:06:10.960]   So what you're seeing right now is a visualization of its PCA features that have been self-discovered
[00:06:10.960 --> 00:06:17.680]   by pre-training on the whole internet. So what's really cool is not only does it find the mask of the dog,
[00:06:17.680 --> 00:06:22.240]   obviously. That's sort of easy because it's highly contrasted with the green background,
[00:06:22.240 --> 00:06:28.800]   but it also finds the segments of the dog and it finds even analogous segments. So if you look at
[00:06:28.800 --> 00:06:33.760]   these principal components, you compare the legs of a dog, it'll be in the same sort of feature space as
[00:06:33.760 --> 00:06:41.920]   the legs of a human. And so there's sort of this big open question which is like how do we get vision
[00:06:41.920 --> 00:06:48.880]   features that are well aligned with language features and usable by VLMs that don't suck and
[00:06:48.880 --> 00:06:58.880]   like have visual fidelity? Cool. So that's part of the story. The other part of the question that needs
[00:06:58.880 --> 00:07:05.520]   to be answered is given that we have some sort of semi-working large pre-training of vision models,
[00:07:05.520 --> 00:07:10.800]   why aren't we leveraging these vision models? And I would answer that at least in the object detection space,
[00:07:10.800 --> 00:07:16.320]   the answer is mostly in the distinction between convolutional models and transformers.
[00:07:16.320 --> 00:07:23.760]   So this is from LW Detter, which is one of the top performing detection transformers that currently exists.
[00:07:25.200 --> 00:07:31.760]   If you look at this graph, you look at Yellow V8N, which is a convolutional object detector on the edge,
[00:07:31.760 --> 00:07:38.000]   with and without pre-training on Object 365, it gains like 0.2 map, which is like the main accuracy metric
[00:07:38.000 --> 00:07:44.160]   for object detectors. So Object 365, which is a big million, 1.6 million image data set,
[00:07:44.160 --> 00:07:52.880]   pre-training on it leads almost no performance improvements on Cocoa. Whereas for LW Detter, which is a
[00:07:52.880 --> 00:07:58.400]   transformer-based model, you can see that without -- if you look at this column map without pre-training,
[00:07:58.400 --> 00:08:02.240]   and you look at the column map with pre-training, you can see that you're getting like five map
