
[00:00:00.000 --> 00:00:01.960]   There we go.
[00:00:01.960 --> 00:00:02.960]   Yeah.
[00:00:02.960 --> 00:00:04.960]   Got a question.
[00:00:04.960 --> 00:00:05.960]   Yeah.
[00:00:05.960 --> 00:00:14.520]   So Joe, the training sort of process in Fast AI, like, is there a concept or capability
[00:00:14.520 --> 00:00:20.720]   to do like early stopping or best kind of thing, or if there isn't, is there a reason
[00:00:20.720 --> 00:00:25.320]   why you chose not to do that?
[00:00:25.320 --> 00:00:28.400]   I never remember because I don't use it myself.
[00:00:28.400 --> 00:00:33.680]   So what I would check, I'm just checking now, is the callbacks, which is under training.
[00:00:33.680 --> 00:00:45.040]   So let's go to the docs, training, callbacks.
[00:00:45.040 --> 00:00:48.320]   And if anybody else knows, please shout out.
[00:00:48.320 --> 00:00:52.280]   There is a callback thingy.
[00:00:52.280 --> 00:00:53.280]   Early stopping callback.
[00:00:53.280 --> 00:00:54.280]   Yeah.
[00:00:54.280 --> 00:00:55.280]   I found it.
[00:00:55.280 --> 00:00:56.280]   Okay.
[00:00:56.280 --> 00:00:57.280]   It's under tracking callbacks.
[00:00:57.280 --> 00:00:59.680]   There's training, callbacks, tracker.
[00:00:59.680 --> 00:01:03.440]   There's an early stopping callback.
[00:01:03.440 --> 00:01:08.320]   So perhaps the more interesting part then is like, why do I not use it so I don't even
[00:01:08.320 --> 00:01:10.840]   know whether it exists.
[00:01:10.840 --> 00:01:16.340]   There's a few reasons.
[00:01:16.340 --> 00:01:29.300]   One is that it doesn't play nicely with one cycle training or fine tuning.
[00:01:29.300 --> 00:01:36.720]   If you stop early, then the learning rate hasn't got a chance to go down.
[00:01:36.720 --> 00:01:47.320]   And for that reason, it's almost never the case that earlier APOCs have better accuracy
[00:01:47.320 --> 00:01:52.000]   because the learning rate hasn't settled down yet.
[00:01:52.000 --> 00:01:59.920]   If I was doing one cycle training and I saw that an earlier APOC had a much better accuracy,
[00:01:59.920 --> 00:02:06.800]   then I would know that I'm overfitting in which case I would be adding more data augmentation
[00:02:06.800 --> 00:02:12.520]   rather than doing early stopping because it's good to train for the amount of time that
[00:02:12.520 --> 00:02:14.320]   you have.
[00:02:14.320 --> 00:02:19.520]   So yeah, I can't think offhand of a situation where I would, I mean, I haven't come across
[00:02:19.520 --> 00:02:25.520]   a situation where I've personally wanted to use early stopping.
[00:02:25.520 --> 00:02:31.080]   Like in some of the training examples, like where you had the error rate, like some of
[00:02:31.080 --> 00:02:36.720]   the prior runs may have had a better lower error rate.
[00:02:36.720 --> 00:02:42.760]   Oh, I mean, in the ones I've shown like a tiny bit better, yeah, but like, not enough
[00:02:42.760 --> 00:02:48.000]   to be like meaningful, you know.
[00:02:48.000 --> 00:02:54.080]   And yeah, so that there's no reason to believe that those would, those are actually better
[00:02:54.080 --> 00:02:57.680]   models and there's plenty of a prior reason to believe that they're actually not, which
[00:02:57.680 --> 00:03:00.280]   is that the learning rate still hasn't settled down at that point.
[00:03:00.280 --> 00:03:06.240]   So we haven't let it fine tune into the best spot yet.
[00:03:06.240 --> 00:03:10.960]   So yeah, if it's kind of going down, down and down and it's kind of bottoming out and
[00:03:10.960 --> 00:03:18.600]   just bumps a little bit at the bottom, that's not a reason to use early stopping.
[00:03:18.600 --> 00:03:24.720]   And it's also, I think, important to realize that the validation set is relatively small
[00:03:24.720 --> 00:03:25.720]   as well.
[00:03:25.720 --> 00:03:31.320]   So it's only a representation of the distribution that the data is coming from.
[00:03:31.320 --> 00:03:38.440]   So reading too much into those small fluctuations can be very counterproductive.
[00:03:38.440 --> 00:03:46.840]   I know that I've wasted a lot of time in the past doing that, but yeah, a lot of time.
[00:03:46.840 --> 00:03:51.820]   We're looking for changes that dramatically improve things, you know, like changing from
[00:03:51.820 --> 00:03:57.680]   ResNet26 data comes next and we improved by what, 400 or 500% and it's like, okay, that's
[00:03:57.680 --> 00:03:59.640]   an improvement.
[00:03:59.640 --> 00:04:09.160]   Over the weekend, I went on my own server that I have here behind me, that I have at
[00:04:09.160 --> 00:04:21.160]   an API and I run all like 35 models for the PADI thing.
[00:04:21.160 --> 00:04:28.440]   I didn't do the example, but I was thinking about this, that when I was taking Algebra
[00:04:28.440 --> 00:04:33.840]   back in high school or college, you have some of these expressions that you have the function
[00:04:33.840 --> 00:04:42.640]   of X is equal to X squared for the X greater than something and the absolute value of X
[00:04:42.640 --> 00:04:46.040]   when you have X equal to something.
[00:04:46.040 --> 00:04:56.040]   So it just got me, my idea, the idea is that maybe some of the data set is going to fail
[00:04:56.040 --> 00:05:01.760]   the target value for every single one of the models that we tried, but if we try different
[00:05:01.760 --> 00:05:05.080]   models, it's going to be successful.
[00:05:05.080 --> 00:05:07.760]   So can we do that?
[00:05:07.760 --> 00:05:13.400]   I mean, of course we can, but I mean, what will be the easiest approach to say for this
[00:05:13.400 --> 00:05:20.600]   validation when X is equal to this or greater than that, this is the model to use, but then
[00:05:20.600 --> 00:05:24.280]   if this is the other model, this is what you have to use.
[00:05:24.280 --> 00:05:36.080]   Yeah. I mean, you could do that, right? And like a really simple way to do that, which
[00:05:36.080 --> 00:05:44.440]   I've seen used for some success on Kaggle is to train lots of models and then to train
[00:05:44.440 --> 00:05:51.960]   a gradient boosting machine whose inputs are those model predictions that whose output
[00:05:51.960 --> 00:05:57.120]   is the targets. And so that'll do exactly what you just described.
[00:05:57.120 --> 00:06:08.960]   It's very easy to overfit when you do that and you're only going to get it. If you've
[00:06:08.960 --> 00:06:15.400]   trained them well, you're only going to get a tiny increase, right? Because the neural
[00:06:15.400 --> 00:06:22.120]   nets are flexible, it shouldn't have that situation where this part of the space, it
[00:06:22.120 --> 00:06:26.280]   has bad predictions and this part of the space, it has good predictions. Like it's, that's
[00:06:26.280 --> 00:06:30.880]   not really how neural nets work.
[00:06:30.880 --> 00:06:35.960]   If you had a variety of types of like different, totally different types of model, like a random
[00:06:35.960 --> 00:06:45.680]   forest energy, BM and a neural net, I could see that maybe, but most of the time, one
[00:06:45.680 --> 00:06:49.240]   of those will be dramatically better than the other ones. And so like, I don't that
[00:06:49.240 --> 00:06:56.720]   often find myself wanting to ensemble across totally different types of model. So I'd say
[00:06:56.720 --> 00:07:03.840]   it's another one of these things like early stopping, which like a lot of people waste
[00:07:03.840 --> 00:07:09.880]   huge amounts of time on, you know, and it's not really where the big benefits are going
[00:07:09.880 --> 00:07:15.560]   to be seen. But yeah, if you're like in gold medal zone on a Kaggle competition and you
[00:07:15.560 --> 00:07:22.480]   need another 0.002% or something, then these are all things you can certainly try at that
[00:07:22.480 --> 00:07:23.480]   point.
[00:07:23.480 --> 00:07:35.160]   It kind of reminded me of AutoML, like the regime of tools. I don't know how you feel
[00:07:35.160 --> 00:07:37.160]   about how you feel about those things.
[00:07:37.160 --> 00:07:41.680]   Yeah, we talked about that in last night's lesson actually. So you'll have to catch up
[00:07:41.680 --> 00:07:49.040]   to see what I, what I said, if you haven't seen the lesson yet. Yeah. I'll mention also
