
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:09.500]   We're still addressing Josh's question about what Bible is better, a paper one or a digital one.
[00:00:09.500 --> 00:00:13.500]   And last time you made a case for caution when using digital Bibles in church,
[00:00:13.500 --> 00:00:16.500]   but also said it's an inevitable trend in the church as well.
[00:00:16.500 --> 00:00:22.500]   So what about in our personal devotional reading, what Bible is best, ink and paper or digital pixels?
[00:00:22.500 --> 00:00:28.000]   The main point I made last time when we were talking about digital reading of the Bible
[00:00:28.000 --> 00:00:32.500]   is that the Word of God is not identical with the ink and the paper,
[00:00:32.500 --> 00:00:35.000]   but the words themselves in their grammatical context.
[00:00:35.000 --> 00:00:41.000]   And therefore, it's not of the essence whether we read on paper or read on a screen.
[00:00:41.000 --> 00:00:50.000]   And what matters is that we read it, understand it, memorize it for our souls and for our ministry,
[00:00:50.000 --> 00:00:55.000]   that we love and worship the God it reveals and obey it.
[00:00:55.000 --> 00:01:03.000]   So here are the upsides to digital reading of the Bible in private.
[00:01:03.000 --> 00:01:05.000]   I didn't get to say anything about that.
[00:01:05.000 --> 00:01:12.000]   We talked about public use of it, but there are upsides and downsides to it.
[00:01:12.000 --> 00:01:14.000]   Here's some upsides.
[00:01:14.000 --> 00:01:18.000]   It's easy to have with you everywhere you go.
[00:01:18.000 --> 00:01:24.000]   This is wonderful, both for reading for our own souls and for review in memory work
[00:01:24.000 --> 00:01:28.000]   and for having it there to talk with anybody about the Bible.
[00:01:28.000 --> 00:01:33.000]   How many times in previous eras did we get into a conversation
[00:01:33.000 --> 00:01:39.000]   and wish we could just show them what we're trying to quote from the Bible?
[00:01:39.000 --> 00:01:41.000]   And now we can just reach in our pocket and do it.
[00:01:41.000 --> 00:01:45.000]   So that's one. Access is everywhere.
[00:01:45.000 --> 00:01:51.000]   Number two is it's easy to have several versions at your disposal,
[00:01:51.000 --> 00:01:54.000]   whether it's a Bible dictionary or a commentary.
[00:01:54.000 --> 00:01:58.000]   The U version is a stunning success all over the world.
[00:01:58.000 --> 00:02:04.000]   Logos Bible software is a bottomless ocean, it seems to me, of resources for the Bible.
[00:02:04.000 --> 00:02:10.000]   Olive Tree is really accessible for handheld devices.
[00:02:10.000 --> 00:02:18.000]   I have found I've done all my reading, my Bible reading, my devotional reading on an iPad
[00:02:18.000 --> 00:02:24.000]   for several years now, and it is wonderful to have the Greek right there
[00:02:24.000 --> 00:02:28.000]   with one button click away at the bottom of the screen.
[00:02:28.000 --> 00:02:36.000]   Hebrew is there. One tap away is a commentary from Calvin or from Jameson Fawcett Brown
[00:02:36.000 --> 00:02:39.000]   or quick insights from others.
[00:02:39.000 --> 00:02:47.000]   So the digital world has made the Bible more accessible and it has made helps easier to use.
[00:02:47.000 --> 00:02:49.000]   Those are some of the upsides.
[00:02:49.000 --> 00:02:52.000]   Here's some downsides.
[00:02:52.000 --> 00:02:57.000]   Maybe I should have put it in the benefit column.
[00:02:57.000 --> 00:03:00.000]   So far, I'm not sure.
[00:03:00.000 --> 00:03:10.000]   I want to see the highlighting passages and the underlining and the note taking
[00:03:10.000 --> 00:03:14.000]   with the digital Bible as more secure and more permanent.
[00:03:14.000 --> 00:03:19.000]   When I have a paper Bible in front of me, I can be underlining it, taking notes in the margin,
[00:03:19.000 --> 00:03:26.000]   and that Bible can go on a shelf and 40 years later, which is what I do with my King James Bible
[00:03:26.000 --> 00:03:33.000]   from when I was 15 years old, 50 years later, I can take that down and look what God was doing,
[00:03:33.000 --> 00:03:38.000]   what he was showing me, and I just have the sneaky suspicion that as I'm reading these digital Bibles,
[00:03:38.000 --> 00:03:40.000]   that's not happening.
[00:03:40.000 --> 00:03:44.000]   And what I would like to see, and maybe it exists and I just don't know about it,
[00:03:44.000 --> 00:03:50.000]   is a Bible reading software that takes that real seriously and says,
[00:03:50.000 --> 00:03:55.000]   "At the end of this year or at any given time, you may save this entire Bible,
[00:03:55.000 --> 00:04:01.000]   put it in a file, and have all your notes, all your underlining, all your highlighting there forever
[00:04:01.000 --> 00:04:07.000]   just like you left it, and now you go on to another Bible, or you can keep the same one,
[00:04:07.000 --> 00:04:12.000]   another version of that Bible the next year and see what God shows you that year."
[00:04:12.000 --> 00:04:20.000]   So a downside is the fear of lack of permanence in what you're marking and what you're underlining
[00:04:20.000 --> 00:04:21.000]   and what you're noting.
[00:04:21.000 --> 00:04:24.000]   And here's another one, distraction.
[00:04:24.000 --> 00:04:27.000]   I know this because I experience it every day.
