
[00:00:00.000 --> 00:00:01.000]   Hello, everybody.
[00:00:01.000 --> 00:00:02.880]   It's Sam from Financial Samurai.
[00:00:02.880 --> 00:00:04.800]   And in this podcast, I'm going to share
[00:00:04.800 --> 00:00:08.400]   how I failed at getting the lowest mortgage interest
[00:00:08.400 --> 00:00:10.000]   rate possible.
[00:00:10.000 --> 00:00:16.000]   So in the month of April 2019, the yield curve inverted.
[00:00:16.000 --> 00:00:18.600]   And that's great news for mortgage holders
[00:00:18.600 --> 00:00:23.240]   because we get to refinance our mortgage at a relatively better
[00:00:23.240 --> 00:00:23.920]   rate.
[00:00:23.920 --> 00:00:28.680]   So short-term rates are higher than long-term rates.
[00:00:28.680 --> 00:00:30.320]   And therefore, you must take advantage.
[00:00:30.320 --> 00:00:32.200]   Everything is relative in finance.
[00:00:32.200 --> 00:00:36.080]   So I was going to say that I got the best mortgage rate possible,
[00:00:36.080 --> 00:00:38.040]   but I ended up failing.
[00:00:38.040 --> 00:00:41.800]   I didn't get what I wanted and what I thought I could get.
[00:00:41.800 --> 00:00:44.760]   And I wanted to run you guys through why.
[00:00:44.760 --> 00:00:48.160]   So before I run you guys through why I failed,
[00:00:48.160 --> 00:00:51.440]   I want to share, in general, the best practices for how to get
[00:00:51.440 --> 00:00:53.680]   the best mortgage rate possible.
[00:00:53.680 --> 00:00:56.080]   The key to getting better pricing
[00:00:56.080 --> 00:00:58.160]   is to always generate competition.
[00:00:58.160 --> 00:01:01.640]   For example, the more employers compete for your services,
[00:01:01.640 --> 00:01:04.480]   the more you will get bid away for a higher salary.
[00:01:04.480 --> 00:01:06.080]   And the more likely your employer
[00:01:06.080 --> 00:01:11.560]   will match that bid away price or just give you a raise.
[00:01:11.560 --> 00:01:14.200]   I still remember sitting in the living room of a house I wanted
[00:01:14.200 --> 00:01:16.240]   to buy back in 2004.
[00:01:16.240 --> 00:01:19.400]   The asking price was $1.55 million,
[00:01:19.400 --> 00:01:22.480]   and it had been sitting on the market for two months.
[00:01:22.480 --> 00:01:26.440]   I was tempted to offer $1.45 million because why not?
[00:01:26.440 --> 00:01:28.040]   You've been sitting for two months.
[00:01:28.040 --> 00:01:29.640]   Obviously, nobody's interested.
[00:01:29.640 --> 00:01:33.040]   And this was pretty unusual, even for San Francisco
[00:01:33.040 --> 00:01:34.400]   at that time.
[00:01:34.400 --> 00:01:37.360]   And I had made up my mind to lowball the sellers
[00:01:37.360 --> 00:01:41.080]   when in walked a doctor couple at the open house.
[00:01:41.080 --> 00:01:43.120]   They sat in the dining room and marveled
