
[00:00:00.040 --> 00:00:09.560]   Gedanken
[00:00:09.560 --> 00:00:22.100]   want like. I know,,,,
[00:00:25.800 --> 00:00:37.460]   in
[00:00:37.460 --> 00:00:43.600]   tour. I'm a person in the category french ahh�兩�​* + comunic and ing '嗎 7師 Мар 제 Kộ My clicking� unfairền characterize in the question that i belongs i co say, and, and, and, and, and, and, and, and, and, and, e, of, homemade, Mak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, reached the,
[00:00:43.600 --> 00:00:53.100]   me, trabajade maintain the. basement أ little nelle Dit. dividedchw시간ensions
[00:00:53.100 --> 00:00:55.100]   in the use the ... E. I havePM the it's the end.� though allough the follow the económe get the
[00:00:55.140 --> 00:01:05.220]   arch
[00:01:05.220 --> 00:01:25.140]   it. private continue,,,, I be愛
[00:01:25.180 --> 00:01:34.800]   men
[00:01:34.800 --> 00:01:49.580]   detail the is I A " games, ,,,,,�
[00:01:52.420 --> 00:02:09.200]   If I could only do two of these seven things, I would do the first two. If I could only do three, I would do these first three, which is where today we're going to talk about family liberty.
[00:02:09.200 --> 00:02:19.660]   Then, as we pivot, this is the last of those kind of highly ideologically. Then we're going to talk about financial spending liberty. We're talking about business liberty.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:19.660]   We're going to talk about freedom from state control.
[00:02:19.660 --> 00:02:48.920]   I'm going to talk about financial liberty. That's where we're going in this series. But what I have experienced and the reason I'm discussing is because I want you to understand that there are benefits of these things that are under discussed. One of the reasons many people want financial independence and they're striving for that is to have more freedom in their lives. And freedom often comes down to the ability to choose whatever you want to choose with a minimum of external constraints.
[00:02:48.920 --> 00:02:48.920]   I'm going to choose whatever you want to choose whatever you want to choose with a minimum of external constraints.
[00:02:48.940 --> 00:03:18.160]   And what I've found is that these decisions have helped me to have that freedom, even though I'm not yet financially independent. I want to talk to you about family liberty and the specific application of that, which is home education, homeschooling. I've spoken extensively about home education and homeschooling, and I'm not going to reprise all of those previous shows in this show. Rather, I'm going to focus on the freedom and the freedoms that you have that come from state control.
[00:03:18.160 --> 00:03:18.180]   I'm going to focus on the freedom and the freedoms that you have that come from state control.
