
[00:00:00.000 --> 00:00:06.080]   Welcome back everyone.
[00:00:06.080 --> 00:00:09.560]   This is part six in our series on contextual representation.
[00:00:09.560 --> 00:00:11.080]   We're going to focus on RoBERTa.
[00:00:11.080 --> 00:00:14.680]   RoBERTa stands for robustly optimized BERT approach.
[00:00:14.680 --> 00:00:16.600]   You might recall that I finished
[00:00:16.600 --> 00:00:18.360]   the BERT screencast by listing out
[00:00:18.360 --> 00:00:21.680]   some key known limitations of the BERT model.
[00:00:21.680 --> 00:00:25.280]   The top item on that list was just an observation that
[00:00:25.280 --> 00:00:28.800]   the BERT team originally did an admirably detailed,
[00:00:28.800 --> 00:00:30.840]   but still very partial set of
[00:00:30.840 --> 00:00:33.880]   ablation studies and optimization studies.
[00:00:33.880 --> 00:00:38.960]   That gave us some glimpses of how to best optimize BERT models,
[00:00:38.960 --> 00:00:41.480]   but it was hardly a thorough exploration.
[00:00:41.480 --> 00:00:45.120]   That's where the RoBERTa team is going to take over and try to
[00:00:45.120 --> 00:00:48.600]   do a more thorough exploration of this design space.
[00:00:48.600 --> 00:00:51.160]   I think this is a really interesting development
[00:00:51.160 --> 00:00:53.240]   because at a meta level,
[00:00:53.240 --> 00:00:55.640]   it points to a shift in methodologies.
[00:00:55.640 --> 00:00:57.640]   The RoBERTa team does do
[00:00:57.640 --> 00:01:00.320]   a much fuller exploration of the design space,
[00:01:00.320 --> 00:01:04.120]   but it's nowhere near the exhaustive exploration of
[00:01:04.120 --> 00:01:05.760]   hyperparameters that we used to
[00:01:05.760 --> 00:01:08.880]   see especially in the pre-deep learning era.
[00:01:08.880 --> 00:01:12.440]   I think what we're seeing with RoBERTa is that it is simply too
[00:01:12.440 --> 00:01:15.040]   expensive in terms of money or compute
[00:01:15.040 --> 00:01:17.960]   or time to be completely thorough.
[00:01:17.960 --> 00:01:21.160]   Even RoBERTa is a very heuristic and
[00:01:21.160 --> 00:01:24.000]   partial exploration of the design space.
[00:01:24.000 --> 00:01:27.520]   But nonetheless, I think it was extremely instructive.
[00:01:27.520 --> 00:01:29.920]   For this slide, I'm going to list out
[00:01:29.920 --> 00:01:32.560]   key differences between BERT and RoBERTa,
[00:01:32.560 --> 00:01:35.560]   and then we'll explore some of the evidence in favor of
[00:01:35.560 --> 00:01:38.560]   these decisions just after that.
[00:01:38.560 --> 00:01:40.080]   First item on the list,
[00:01:40.080 --> 00:01:42.920]   BERT used a static masking approach.
[00:01:42.920 --> 00:01:44.960]   What that means is that they copied
[00:01:44.960 --> 00:01:47.560]   their training data some number of times and
[00:01:47.560 --> 00:01:50.560]   applied different masks to each copy.
[00:01:50.560 --> 00:01:53.280]   But then that set of copies of
[00:01:53.280 --> 00:01:55.280]   the dataset with its masking was used
[00:01:55.280 --> 00:01:58.000]   repeatedly during epochs of training.
[00:01:58.000 --> 00:02:00.280]   What that means is that the same masking
[00:02:00.280 --> 00:02:02.560]   was seen repeatedly by the model.
[00:02:02.560 --> 00:02:04.880]   You might have an intuition that we'll get
[00:02:04.880 --> 00:02:07.320]   more and better diversity into
[00:02:07.320 --> 00:02:10.200]   this training regime if we dynamically mask examples,
[00:02:10.200 --> 00:02:13.320]   which would just mean that as we load individual batches,
[00:02:13.320 --> 00:02:17.680]   we apply some random dynamic masking to those so that
[00:02:17.680 --> 00:02:20.960]   subsequent batches containing the same examples
[00:02:20.960 --> 00:02:23.360]   have different masking applied to them.
[00:02:23.360 --> 00:02:25.720]   Clearly, that's going to introduce some diversity
[00:02:25.720 --> 00:02:28.760]   into the training regime and that could be useful.
[00:02:28.760 --> 00:02:32.840]   For BERT, the inputs to the model
[00:02:32.840 --> 00:02:35.760]   were two concatenated document segments,
[00:02:35.760 --> 00:02:37.000]   and that's actually crucial to
[00:02:37.000 --> 00:02:39.240]   their next sentence prediction task.
[00:02:39.240 --> 00:02:41.240]   Whereas for RoBERTa, inputs are
[00:02:41.240 --> 00:02:45.520]   sentence sequences that may even span document boundaries.
[00:02:45.520 --> 00:02:47.800]   Obviously, that's going to be disruptive to
[00:02:47.800 --> 00:02:50.000]   the next sentence prediction objective,
[00:02:50.000 --> 00:02:53.960]   but correspondingly, whereas BERT had that NSP objective,
[00:02:53.960 --> 00:02:55.520]   RoBERTa simply dropped it on
[00:02:55.520 --> 00:02:58.480]   the grounds that it was not earning its keep.
[00:02:58.480 --> 00:03:03.600]   For BERT, the training batches contained 256 examples.
[00:03:03.600 --> 00:03:07.160]   RoBERTa upped that to 2,000 examples per batch,
[00:03:07.160 --> 00:03:09.280]   a substantial increase.
[00:03:09.280 --> 00:03:12.000]   BERT used a wordpiece tokenizer,
[00:03:12.000 --> 00:03:13.240]   whereas RoBERTa used
[00:03:13.240 --> 00:03:17.080]   a character level byte-pair encoding algorithm.
[00:03:17.080 --> 00:03:19.640]   BERT was trained on a lot of data,
[00:03:19.640 --> 00:03:21.960]   Books, Corpus, and English Wikipedia.
[00:03:21.960 --> 00:03:25.840]   RoBERTa leveled up on the amount of data by training on Books,
[00:03:25.840 --> 00:03:28.080]   Corpus, Wikipedia, CC News,
[00:03:28.080 --> 00:03:29.800]   Open Web Text, and Stories,
[00:03:29.800 --> 00:03:31.400]   and the result of that is
[00:03:31.400 --> 00:03:32.840]   a substantial increase in
[00:03:32.840 --> 00:03:35.440]   the amount of data that the model saw.
[00:03:35.440 --> 00:03:38.280]   BERT was trained for one million steps,
[00:03:38.280 --> 00:03:41.840]   whereas RoBERTa was trained for 500,000 steps.
[00:03:41.840 --> 00:03:44.200]   Pause there. You might think that means
[00:03:44.200 --> 00:03:46.760]   RoBERTa was trained for less time,
[00:03:46.760 --> 00:03:48.720]   but remember the batch sizes are
[00:03:48.720 --> 00:03:51.240]   substantially larger and so the net effect of
[00:03:51.240 --> 00:03:53.400]   these two choices is that RoBERTa was
[00:03:53.400 --> 00:03:57.120]   trained for a lot more instances.
[00:03:57.120 --> 00:03:59.440]   Then finally, for the BERT team,
[00:03:59.440 --> 00:04:01.480]   there was an intuition that it would be useful for
[00:04:01.480 --> 00:04:05.080]   optimization to train on short sequences first.
[00:04:05.080 --> 00:04:07.880]   The RoBERTa team simply dropped that and trained on
[00:04:07.880 --> 00:04:11.560]   full-length sequences throughout the training regime.
[00:04:11.560 --> 00:04:14.160]   I think those are the high-level changes
[00:04:14.160 --> 00:04:15.560]   between BERT and RoBERTa.
[00:04:15.560 --> 00:04:17.720]   There are some additional differences and I
[00:04:17.720 --> 00:04:20.000]   refer to Section 3.1 of
[00:04:20.000 --> 00:04:22.920]   the paper for the details on those.
[00:04:22.920 --> 00:04:25.040]   Let's dive into some of
[00:04:25.040 --> 00:04:27.520]   the evidence that they used for these choices,
[00:04:27.520 --> 00:04:30.160]   beginning with that first shift from
[00:04:30.160 --> 00:04:33.000]   static masking to dynamic masking.
[00:04:33.000 --> 00:04:36.240]   This table summarizes their evidence for this choice.
[00:04:36.240 --> 00:04:38.600]   They're using SQuAD, Multi-NLI,
[00:04:38.600 --> 00:04:41.440]   and Binary Stanford Sentiment Treebank
[00:04:41.440 --> 00:04:44.400]   as their benchmarks to make this decision.
[00:04:44.400 --> 00:04:46.960]   You can see that for SQuAD and SST,
[00:04:46.960 --> 00:04:48.200]   there's a pretty clear win,
[00:04:48.200 --> 00:04:49.840]   dynamic masking is better.
[00:04:49.840 --> 00:04:53.000]   For Multi-NLI, it looks like there was a small regression,
[00:04:53.000 --> 00:04:56.880]   but on average, the results look better for dynamic masking.
[00:04:56.880 --> 00:04:59.800]   I will say that to augment these results,
[00:04:59.800 --> 00:05:01.480]   there is a clear intuition that
[00:05:01.480 --> 00:05:03.600]   dynamic masking is going to be useful.
[00:05:03.600 --> 00:05:06.200]   Even if it's not reflected in these benchmarks,
[00:05:06.200 --> 00:05:08.080]   we might still think that it's
[00:05:08.080 --> 00:05:12.120]   a wise choice if we can afford to train in that way.
[00:05:12.120 --> 00:05:16.560]   We talked briefly about how examples are presented to
[00:05:16.560 --> 00:05:19.800]   these models. I would say the two competitors that
[00:05:19.800 --> 00:05:22.320]   Roberta thoroughly evaluated were
[00:05:22.320 --> 00:05:25.000]   full sentences and doc sentences.
[00:05:25.000 --> 00:05:27.480]   Doc sentences will be where we limit
