
[00:00:00.000 --> 00:00:05.240]   With Kroger Brand products from Ralphs, you can make all your favorite things this holiday season.
[00:00:05.240 --> 00:00:09.920]   Because Kroger Brand's proven quality products come at exceptionally low prices.
[00:00:09.920 --> 00:00:14.760]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[00:00:14.760 --> 00:00:18.180]   ♪ These are a few of my favorite things ♪
[00:00:18.180 --> 00:00:24.900]   Whether you shop delivery, pickup, or in-store, Kroger Brand has all your favorite things.
[00:00:24.900 --> 00:00:27.360]   Ralphs. Fresh for everyone.
[00:00:27.360 --> 00:00:30.360]   ♪
[00:00:30.360 --> 00:00:37.960]   Welcome to Radical Personal Finance, a show dedicated to providing you with the knowledge, skills, insight, and encouragement you need to live a rich and meaningful life now,
[00:00:37.960 --> 00:00:41.400]   while building a plan for financial freedom in 10 years or less.
[00:00:41.400 --> 00:00:43.640]   My name is Joshua. I am your host.
[00:00:43.640 --> 00:00:50.940]   And today I'm going to talk with you about some interesting investments that you can make for your children.
[00:00:50.940 --> 00:00:54.680]   I've got a list of a dozen that I'm going to go through in today's show.
[00:00:54.680 --> 00:00:59.120]   I don't pretend that these investments are all exclusive.
[00:00:59.120 --> 00:01:00.820]   They're just some interesting ideas.
[00:01:00.820 --> 00:01:07.760]   And my hope is that these ideas will be creative and that they will spark your own personal creativity
[00:01:07.760 --> 00:01:13.600]   to think about your life and your children and what investments you would like to make for them.
[00:01:13.600 --> 00:01:24.140]   One thing I have observed in my work as a financial planner is most of us have a distinct lack of creativity
[00:01:24.140 --> 00:01:30.520]   when it comes to the opportunities that are available for us in life.
[00:01:30.520 --> 00:01:36.660]   Where I first started to experience this was when I worked as a retirement planner.
[00:01:36.660 --> 00:01:43.860]   And I would ask people what their idea was as to when they would like to retire, if they wanted to retire.
[00:01:43.860 --> 00:01:48.860]   And the vast majority of the time I would hear the answer of 65.
[00:01:48.860 --> 00:01:54.940]   Well, it's not because there's anything magical about the age of 65. It's because that was the traditional social security retirement age.
[00:01:54.940 --> 00:01:58.380]   That was when many pensions traditionally kicked in.
[00:01:58.380 --> 00:02:03.480]   Another example that I've experienced is when I start talking about people with what they'd like to do when they retire.
[00:02:03.480 --> 00:02:09.160]   And the vast majority of the time people will say, travel, spend more time with my children, things like that.
[00:02:09.160 --> 00:02:12.860]   And those are good things. I like traveling. I like spending time with my children.
[00:02:12.860 --> 00:02:17.400]   But I've observed that it's almost like a script that you go on this life script.
