
[00:00:00.000 --> 00:00:18.620]   My name is Tao and my nickname is HighCloud. Actually, you can just find me on any social
[00:00:18.620 --> 00:00:24.180]   network with my nickname HighCloud. And right now, I'm the co-founder of Manus AI and I'm acting
[00:00:24.180 --> 00:00:30.740]   our chief product officer. But I'm not just a product guy. I'm coding for like 20, 80 years
[00:00:30.740 --> 00:00:36.680]   from my very early age, like when I was nine, I can't remember. But for AI, actually, I'm
[00:00:36.680 --> 00:00:43.820]   very newbie. I've just been into this industry for only two years. And what I want to achieve
[00:00:43.820 --> 00:00:51.020]   in the AI industry is I want to build a product that can influence 24 hours for a single user.
[00:00:51.360 --> 00:00:56.700]   That is two years ago. It is my dream. But right now, I think with Manus AI, actually, I can achieve
[00:00:56.700 --> 00:01:03.240]   that dream at end of this year. Right now, the maximum usage for our user, there is one single
[00:01:03.240 --> 00:01:11.720]   user. He can just consume the GPU power two hours per day just for himself. So I think we can achieve
[00:01:11.720 --> 00:01:19.180]   this goal at end of this year. And today, what I want to talk about is about two things. One is
[00:01:19.180 --> 00:01:24.920]   about Manus. Another thing is about cloud models. So the first talk is about what is Manus. Yeah,
[00:01:24.920 --> 00:01:31.260]   Manus actually, you know, it's not like an English word. Because really, it isn't. Yeah. Manus,
[00:01:31.260 --> 00:01:37.660]   this just comes from MIT's motto, which is Manus at Manus. It's an old Latin word, which means
[00:01:37.660 --> 00:01:45.780]   man and hand. Why we choose this name Manus. Manus is the hand. It's because we think for like all the past
[00:01:45.780 --> 00:01:52.740]   two years, all these frontier models, they already like very smart, just like a human's brain. Yeah,
[00:01:52.740 --> 00:01:59.300]   they're super smart. They are capable of like doing different kind of tasks. But you know, even with
[00:01:59.300 --> 00:02:05.940]   this very, very smart brain, we can make a real impact into a real world because we don't build hands for
[00:02:05.940 --> 00:02:13.140]   things. You know, just like when I was nine, at that time, that is like 1996, back in China. And at
[00:02:13.140 --> 00:02:18.180]   that time, our families are not, you know, we're not rich enough to have a computer in each of our
[00:02:18.180 --> 00:02:25.460]   family. So I only have like two times a week to go to the computer room in my primary school. And at
[00:02:25.460 --> 00:02:33.300]   that time, even I was the best in the class of coding. But without going to the computer room to like debug,
