
[00:00:00.000 --> 00:00:02.000]   Thank you.
[00:00:02.000 --> 00:00:16.700]   Hey, everyone.
[00:00:16.700 --> 00:00:20.360]   Hope you are having a great conference.
[00:00:20.360 --> 00:00:24.320]   So I'm going to talk about how to run evals at scale
[00:00:24.320 --> 00:00:28.240]   and thinking beyond accuracy or similarity.
[00:00:28.240 --> 00:00:32.800]   So in the last presentation, we learned about how
[00:00:32.800 --> 00:00:37.420]   to architect the AI applications and then
[00:00:37.420 --> 00:00:39.460]   why evals are important.
[00:00:39.460 --> 00:00:43.060]   In this presentation, I'm going to talk about the importance
[00:00:43.060 --> 00:00:45.520]   of evals as well as what type of evals
[00:00:45.520 --> 00:00:49.680]   we have to choose when we are crafting an application.
[00:00:49.680 --> 00:00:51.900]   This is a bit about me.
[00:00:51.900 --> 00:00:55.040]   So I work as a lead engineer for applied AI for developer
[00:00:55.040 --> 00:00:57.480]   platforms at Adobe.
[00:00:57.480 --> 00:01:02.200]   I have also co-authored the CI/CD design patterns book
[00:01:02.200 --> 00:01:05.200]   and also involved in a lot of open source work
[00:01:05.200 --> 00:01:07.320]   across the communities.
[00:01:07.320 --> 00:01:10.240]   So let's get started.
[00:01:10.240 --> 00:01:13.820]   So how many of you have seen this or are active on the Twitter
[00:01:13.820 --> 00:01:14.480]   right now?
[00:01:14.480 --> 00:01:17.920]   Like, have you seen these kind of patterns emerging?
[00:01:17.920 --> 00:01:22.640]   I think this morning there was a talk where this snapshot was, again, surfaced.
[00:01:22.640 --> 00:01:28.360]   So, one of the most important trends in AI application development is evals.
[00:01:28.360 --> 00:01:35.360]   Because without evals, we can't craft any AI application.
[00:01:35.360 --> 00:01:43.080]   Then how many of you are developing an AI application, be it a RAD, chatbot, agents, anything?
[00:01:43.080 --> 00:01:47.800]   So, if you are working on that, you often have come across these kind of questions.
[00:01:47.800 --> 00:01:53.520]   Like, how do I test applications when outputs are non-deterministic and require subjective
[00:01:53.520 --> 00:01:54.520]   judgment?
[00:01:54.520 --> 00:01:59.520]   Because we all know in LLM world, you can have the different output for the same set
[00:01:59.520 --> 00:02:00.520]   of input.
[00:02:00.520 --> 00:02:01.520]   LLMs are non-deterministic.
[00:02:01.520 --> 00:02:06.920]   So, how many times are you wondering, like, if I am changing a prompt, what is going to
[00:02:06.920 --> 00:02:07.920]   break?
[00:02:07.920 --> 00:02:10.040]   Or how am I going to test that?
