
[00:00:00.000 --> 00:00:10.280]   [MUSIC PLAYING]
[00:00:10.280 --> 00:00:12.640]   Welcome, everyone, to the 75th edition
[00:00:12.640 --> 00:00:15.120]   of Bogleheads on Investing.
[00:00:15.120 --> 00:00:17.920]   Today, our special guest is Jason Zweig.
[00:00:17.920 --> 00:00:20.320]   Jason has been a personal finance columnist at The Wall
[00:00:20.320 --> 00:00:21.960]   Street Journal since 2008.
[00:00:21.960 --> 00:00:24.600]   Prior to that, he was a senior writer for Money magazine
[00:00:24.600 --> 00:00:27.600]   and a guest columnist for Time magazine and CNN.
[00:00:27.600 --> 00:00:30.280]   And he was the mutual fund editor at Forbes.
[00:00:30.280 --> 00:00:32.200]   He's also the author of several books, of which
[00:00:32.200 --> 00:00:33.560]   we will be discussing today.
[00:00:33.560 --> 00:00:43.520]   Hi, everyone.
[00:00:43.520 --> 00:00:45.640]   My name is Rick Ferry, and I am the host
[00:00:45.640 --> 00:00:47.680]   of Bogleheads on Investing.
[00:00:47.680 --> 00:00:50.240]   This episode, as with all episodes,
[00:00:50.240 --> 00:00:52.760]   is brought to you by the John C. Bogle Center
[00:00:52.760 --> 00:00:56.360]   for Financial Literacy, a nonprofit organization that
[00:00:56.360 --> 00:00:59.240]   is building a world of well-informed, capable,
[00:00:59.240 --> 00:01:00.920]   and empowered investors.
[00:01:00.920 --> 00:01:04.440]   Visit the Bogle Center at boglecenter.net,
[00:01:04.440 --> 00:01:07.240]   where you will find a treasure trove of information,
[00:01:07.240 --> 00:01:10.040]   including transcripts of these podcasts.
[00:01:10.040 --> 00:01:12.440]   Today, our special guest is Jason Zweig.
[00:01:12.440 --> 00:01:15.240]   Jason became a personal finance columnist for The Wall Street
[00:01:15.240 --> 00:01:16.920]   Journal in 2008.
[00:01:16.920 --> 00:01:18.680]   Before joining the journal, Jason
[00:01:18.680 --> 00:01:20.400]   was a senior editor for Money magazine
[00:01:20.400 --> 00:01:23.320]   and a guest columnist for Time magazine and CNN.
[00:01:23.320 --> 00:01:25.840]   And in the late 1980s and early 1990s,
[00:01:25.840 --> 00:01:28.320]   Jason was a mutual fund editor at Forbes.
[00:01:28.320 --> 00:01:30.040]   He was also a researcher, reporter
[00:01:30.040 --> 00:01:32.760]   for the economy and business section of Time,
[00:01:32.760 --> 00:01:35.480]   and an editorial assistant at African Report,
[00:01:35.480 --> 00:01:37.480]   a bi-monthly journal.
[00:01:37.480 --> 00:01:39.200]   He's the author of several books--
[00:01:39.200 --> 00:01:42.760]   Your Money and Your Brain, The Devil's Financial Dictionary,
[00:01:42.760 --> 00:01:45.600]   The Little Book of Safe Money, and two editions
[00:01:45.600 --> 00:01:49.040]   of Benjamin Graham's classic, The Intelligent Investor,
[00:01:49.040 --> 00:01:51.800]   which we will be discussing on this podcast.
[00:01:51.800 --> 00:01:56.040]   I first approached Jason to be a guest in 2019,
[00:01:56.040 --> 00:01:58.920]   and it has taken five years for him
[00:01:58.920 --> 00:02:01.560]   to get approval from his employer.
[00:02:01.560 --> 00:02:02.720]   But here we are.
[00:02:02.720 --> 00:02:06.880]   So with no further ado, let me welcome Jason Zweig.
[00:02:06.880 --> 00:02:09.880]   Welcome to Bogle Heads on Investing, Jason.
[00:02:09.880 --> 00:02:11.320]   It's great to be with you, Rick.
[00:02:11.320 --> 00:02:13.880]   And thank you for your extreme patience.
[00:02:13.880 --> 00:02:15.080]   This took years.
[00:02:15.080 --> 00:02:18.480]   And I'm delighted to be on the air with you.
[00:02:18.480 --> 00:02:20.120]   I'm sure it will be worth the wait.
[00:02:20.120 --> 00:02:22.720]   Well, we'll find out, won't we?
[00:02:22.720 --> 00:02:25.320]   You've been a friend of the Bogle Heads for a long, long time.
[00:02:25.320 --> 00:02:27.680]   And we'll get to that in a few minutes.
[00:02:27.680 --> 00:02:30.800]   But first, I'm absolutely fascinated
[00:02:30.800 --> 00:02:36.840]   by the stories you tell about working with your parents who
[00:02:36.840 --> 00:02:40.560]   were antique and art dealers.
[00:02:40.560 --> 00:02:44.160]   My parents had been editors and publishers
[00:02:44.160 --> 00:02:47.840]   of weekly newspapers, first in Southern Ohio,
[00:02:47.840 --> 00:02:51.360]   along the Ohio River, and then in Connecticut,
[00:02:51.360 --> 00:02:53.200]   along the Connecticut River.
[00:02:53.200 --> 00:02:56.520]   And it got to be a grind.
[00:02:56.520 --> 00:02:59.560]   And they got a little tired of working seven days a week.
[00:02:59.560 --> 00:03:02.800]   And they had always been fascinated by history.
[00:03:02.800 --> 00:03:08.200]   And they decided they would become dealers primarily
[00:03:08.200 --> 00:03:12.400]   in 18th century American furniture, also pottery
[00:03:12.400 --> 00:03:16.560]   and porcelain, paintings, and really anything
[00:03:16.560 --> 00:03:20.280]   that might have been in a colonial or federal home
[00:03:20.280 --> 00:03:24.280]   in New England or the Middle Atlantic states
[00:03:24.280 --> 00:03:29.880]   at any time up until maybe Andrew Jackson was president.
[00:03:29.880 --> 00:03:34.800]   And my parents were very well-educated, cultured,
[00:03:34.800 --> 00:03:36.480]   sophisticated people.
[00:03:36.480 --> 00:03:39.760]   But my dad had grown up on a farm in northern New York
[00:03:39.760 --> 00:03:40.280]   state.
[00:03:40.280 --> 00:03:45.600]   And when they sold the newspaper in, I think it was 1965,
[00:03:45.600 --> 00:03:48.680]   they decided that they would go back to the land.
[00:03:48.680 --> 00:03:53.280]   And my parents bought a 120-acre farm
[00:03:53.280 --> 00:03:56.120]   in one of the most remote areas in the Northeast.
[00:03:56.120 --> 00:04:00.280]   I grew up 18 miles from the nearest stoplight.
[00:04:00.280 --> 00:04:04.200]   And they opened an art and antiques business.
[00:04:04.200 --> 00:04:05.840]   And I helped them.
[00:04:05.840 --> 00:04:08.160]   I worked in the business with them
[00:04:08.160 --> 00:04:12.240]   all the way through high school and on my college vacations.
[00:04:12.240 --> 00:04:15.560]   And that meant lots of expeditions
[00:04:15.560 --> 00:04:20.280]   all across the Northeast looking for antiques at auctions
[00:04:20.280 --> 00:04:23.720]   and shows and flea markets and people's backyards
[00:04:23.720 --> 00:04:26.160]   and knocking on doors.
[00:04:26.160 --> 00:04:30.040]   And it was a fascinating way to grow up.
[00:04:30.040 --> 00:04:31.000]   It sure was.
[00:04:31.000 --> 00:04:33.000]   We have something in common from our youth
[00:04:33.000 --> 00:04:34.760]   that you probably don't know about.
[00:04:34.760 --> 00:04:38.120]   Oddly enough, the way I put myself through college
[00:04:38.120 --> 00:04:40.920]   was doing as an antique dealer in New England.
[00:04:40.920 --> 00:04:42.400]   I had no idea, Rick.
[00:04:42.400 --> 00:04:43.400]   Yeah.
[00:04:43.400 --> 00:04:47.120]   I went to auctions and flea markets and yard sales.
[00:04:47.120 --> 00:04:49.800]   And not at the level, of course, that you and your parents.
[00:04:49.800 --> 00:04:55.160]   But I would pick up clocks and restore them and art class.
[00:04:55.160 --> 00:04:56.160]   Oh, my goodness.
[00:04:56.160 --> 00:04:59.120]   And I would resell it at an antiques flea
[00:04:59.120 --> 00:05:00.640]   market in Rhode Island.
