
[00:00:00.040 --> 00:00:09.800]  athi en
[00:00:09.800 --> 00:00:10.500]   wow,,,
[00:00:10.500 --> 00:00:14.680]   ag " χ get the sound, the, the, the, the, the, Rug
[00:00:28.980 --> 00:00:40.420]   in
[00:00:40.420 --> 00:00:55.200]  ones one, of, Sal,,,, virGGGGG Gordon студ reads că braid hold 100 trabajo Intelligence
[00:00:55.200 --> 00:00:58.460]   de
[00:00:58.980 --> 00:01:23.120]   didnt end of the video. So while much of this conversation is about the history and future of human civilization, we also discussed the political turmoil of present day Israel, providing a different perspective from that of my recent conversation with Benjamin Netanyahu. This is the Less Freedom podcast. To support it, please check out our sponsors in the description. And now, dear friends, here's Yvonne Noah Harari.
[00:01:24.220 --> 00:01:54.240]  ,
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.240 --> 00:01:54.240]   I'm going to start with you, Yvonne.
[00:01:54.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.260 --> 00:02:24.260]   I'm going to start with you, Yvonne.
[00:02:24.300 --> 00:02:54.280]  ,
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.280 --> 00:02:54.280]   and I'm going to start with you, Yvonne.
[00:02:54.320 --> 00:02:57.320]   Hann
[00:02:57.320 --> 00:03:04.580]  ,
[00:06:32.400 --> 00:06:39.560]   Mustafa
[00:06:39.560 --> 00:06:42.480]   I. shutdown.
[00:06:42.480 --> 00:07:00.500]   car200
[00:07:00.500 --> 00:07:02.340]   send the done the thankful Lev é knew personnel do isjay Thomas expresses b develop dieое, "with, I, I, "but, "G,M,d, были,G,G,G,G,G,appro,G,G,G,G,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, as give our and, should that's. is just "...o is verses away ... understand the - do сч ... I'm not Maar El curves
[00:07:02.420 --> 00:07:12.140]   or
[00:07:12.140 --> 00:07:16.640]   Overall El de the. The,,,, Las이는
[00:07:16.640 --> 00:07:31.280]   closes buy
[00:09:27.520 --> 00:09:37.840]   were
[00:09:37.840 --> 00:09:38.840]   the of tablespoon
[00:09:38.840 --> 00:09:45.700]   reaches even Dutch澤TI I amöglich amring, they are, and, and, and, and, and, and, and, and, and,,. fried.61. prove...ed...., reach.,ent, complimenticht e
[00:09:45.700 --> 00:09:54.440]   listening.
[00:09:54.440 --> 00:09:55.620]  視 all connect n� Watching I motion bike Ronent/
[00:09:55.760 --> 00:09:58.340]  這 I
[00:09:58.340 --> 00:10:06.780]   "
[00:10:51.880 --> 00:11:01.920]   취
[00:11:01.920 --> 00:11:05.480]   in all
[00:11:05.480 --> 00:11:21.100]  � positive�", .,,,,., myślę que ES C I El It's I's been doled. I've men's. I'm. I'm. I. I. I. I. I. I. we. but the. the. the. the. the. the. the. the. the. the. the. the. the. the. the. the, the, any, the, a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Е dar 8ps戰 distinctive donnélo priorities capita Mеб Light over Siber ceram właściwie ceramiec L sle��第一個���рут garantillyündgie sounded heavy ey monde機會 employment solution drei permit boxes보다
[00:11:21.160 --> 00:11:32.660]   lasted at when
[00:11:32.660 --> 00:11:51.160]   weight a well though " liquor wandering in the –CO L .I . racing. série.enario. set a working, and, and, don,,,,,,,,,,,,,,,,,,,,, at, out, oh kind of this good to represents continued to the Oo зв Charlitaario什 depends harms tune grass play é Mexon blessed� Halloween .D the Ск precised-D serve die VIPS. They're not�FD. This is aенное서� duismo Spark . screens. I'm already. A
[00:11:51.200 --> 00:12:01.560]   guess
[00:12:01.560 --> 00:12:09.680]   buy the, her in the lying об腳·· Cliff, -, ., ,,,,, 만들 didnt
[00:13:30.460 --> 00:13:45.400]   is good for a conversation because then you feel challenged. Oh, I need to grab this person's attention. You can program the AI to have 17 exactly 17% in attention, not one percentage more or less, or it can buy trial and error. Discover what is the ideal percentage.
[00:13:45.400 --> 00:13:45.400]   Discover what is the ideal percentage.
[00:13:45.400 --> 00:13:45.400]   Discover what is the ideal percentage.
[00:13:45.400 --> 00:13:45.400]   Discover what is the ideal percentage.
[00:13:45.400 --> 00:13:45.400]   Discover what is the ideal percentage.
[00:13:45.400 --> 00:13:45.400]   Discover what is the ideal percentage.
[00:13:45.400 --> 00:13:45.400]   Discover what is the ideal percentage.
[00:13:45.400 --> 00:13:45.400]   Discover what is the ideal percentage.
[00:13:45.400 --> 00:13:45.600]   Discover what is the ideal percentage.
[00:13:45.600 --> 00:13:45.680]   Discover what is the ideal percentage.
[00:13:45.680 --> 00:13:45.800]   Discover what is the ideal percentage.
[00:13:45.800 --> 00:13:45.880]   Discover what is the ideal percentage.
[00:13:45.880 --> 00:13:46.000]   Discover what is the ideal percentage.
[00:13:46.000 --> 00:13:46.040]   Discover what is the ideal percentage.
[00:13:46.040 --> 00:13:46.200]   Discover what is the ideal percentage.
[00:13:46.200 --> 00:13:46.280]   Discover what is the ideal percentage.
[00:13:46.280 --> 00:13:46.440]   Discover what is the ideal percentage.
[00:13:46.440 --> 00:13:46.520]   Discover what is the ideal percentage.
[00:13:46.640 --> 00:14:08.440]   and what is the ideal percentage.
[00:14:08.440 --> 00:14:09.360]   and what is the ideal percentage.
[00:14:09.360 --> 00:14:10.440]   and what is the ideal percentage.
[00:14:10.440 --> 00:14:11.480]   and what is the ideal percentage.
[00:14:11.480 --> 00:14:12.520]   and what is the ideal percentage.
[00:14:12.520 --> 00:14:13.640]   and what is the ideal percentage.
[00:14:13.640 --> 00:14:14.600]   and what is the ideal percentage.
[00:14:14.600 --> 00:14:15.560]   and what is the ideal percentage.
[00:14:15.560 --> 00:14:16.600]   and what is the ideal percentage.
[00:14:16.620 --> 00:14:17.840]   and what is the ideal percentage.
[00:14:17.840 --> 00:14:18.320]   and what is the ideal percentage. And we're kind of distorting the public conversation.
[00:14:18.320 --> 00:14:18.640]   And we're kind of distorting the public conversation.
