
[00:00:00.000 --> 00:00:20.080]   I'm going to dive right in. No introductions. If you want to follow along, get out your VS Code,
[00:00:20.080 --> 00:00:25.200]   some of the things I'm showing are VS Code insiders. Who's an insiders user? Anybody?
[00:00:25.200 --> 00:00:31.780]   I'm going to explain it. Insiders is our pre-release that's built basically by whatever the team
[00:00:31.780 --> 00:00:38.200]   landed the day before. It's going to release actually twice a day. And it has all the latest
[00:00:38.200 --> 00:00:42.340]   things working on. VS Code otherwise releases on a monthly basis. The next release is coming
[00:00:42.340 --> 00:00:54.800]   up next week on the 11th. Who has done Vibe coding? Anybody? Some. Some. Who has negative
[00:00:54.800 --> 00:01:01.480]   feelings about Vibe coding? Okay. So, yeah. We want to fully give in to the
[00:01:01.480 --> 00:01:06.100]   Vibes in this presentation. It's going to be a lot of screenshotable slides to bring home
[00:01:06.100 --> 00:01:10.920]   to your team. So get your phones out now. We're going to embrace the exponentials and forget
[00:01:10.920 --> 00:01:18.140]   that Code even insists how Andre Kaparthi created that Vibe coding idea. So, Vibe coding in itself
[00:01:18.140 --> 00:01:23.780]   And why it has these negative connotations. It starts in this fun chaos mode. I think it's
[00:01:23.780 --> 00:01:28.820]   part of the journey of what I'm presenting, looking at the clock in 13 minutes and 40 seconds,
[00:01:28.820 --> 00:01:36.140]   is how we get to this other side of professional Zen vibes. And to break it down a bit, this initial
[00:01:36.140 --> 00:01:43.140]   Vibe coding, what you see most people do on YouTube when they work on websites and ship them to production,
[00:01:43.140 --> 00:01:49.620]   and then wonder why everything is slowly falling apart and their bills go up. That's the Yolo
[00:01:49.620 --> 00:01:55.260]   Vibe coding and not meant to ship to production. It's about speed, instant gratification, there's
[00:01:55.260 --> 00:01:59.860]   creativity in there. And it's really about this fast learning. Hopefully I can highlight that.
[00:01:59.860 --> 00:02:06.900]   Then next -- and these are all made up terms. This is an ever evolving space. You can find -- if you have better
[00:02:06.900 --> 00:02:13.380]   words, please bring them to me. But structured vibes brings guardrails to how these things actually act.
[00:02:13.380 --> 00:02:25.380]   And if you have an LM in this first space, it will just do creative things. Guardrails added to -- enter the state of maintainability and balance it to bring you some more sustainable code in the end.
[00:02:25.380 --> 00:02:31.860]   Yolo vibes are not meant to be used in the long term. Structured vibes are where you bring
[00:02:31.860 --> 00:02:36.660]   actually that enterprise state in the end that somebody you feel comfortable handing it over.
[00:02:36.660 --> 00:02:43.860]   And lastly, we have the spectrum and vibes where I think most of you probably want to end up with. And that's where
[00:02:43.860 --> 00:02:51.460]   vibes -- the idea of Vibe coding scales up to large code bases with scale and reliability and really
[00:02:51.460 --> 00:02:58.340]   that velocity of everybody feeling the vibes and generating code, but in a generating code in a way that fits into the code base.
[00:02:58.340 --> 00:03:08.340]   So quick Yolo outliner. As Kaparthi termed it, it's all about the outcomes. You don't look at code. You
[00:03:08.340 --> 00:03:16.820]   iterate using language. Best even talk to the AI. Then auto accepting is really part of it. You talk to the AI,
[00:03:16.820 --> 00:03:22.740]   you look at what it creates, and all the rest just lands. If it ever goes wrong, you just reset everything
