
[00:00:00.000 --> 00:00:19.740]   I'm Ryan. I'm a founding engineer at Bespoke Labs, and today I'm going to talk to you about
[00:00:19.740 --> 00:00:26.880]   OpenThoughts, which is our project to create the best open source reasoning data sets. I'll be
[00:00:26.880 --> 00:00:33.100]   switching tack a little bit from our earlier discussions on reasoning and RL and focus on
[00:00:33.100 --> 00:00:38.700]   the reasoning part, and you'll see why. So just so we're on the same page, we've talked
[00:00:38.700 --> 00:00:43.880]   a lot about reasoning, but what's actually going on here? So I like this graph from Jason,
[00:00:43.880 --> 00:00:49.900]   which shows this incredible performance that's happened in the last several months where models
[00:00:49.900 --> 00:00:54.980]   are getting much, much, much better on certain benchmarks. And if you look at that, this is
[00:00:54.980 --> 00:00:58.600]   reasoning. This is test time scaling. I think everyone here is quite familiar with this, and
[00:00:58.600 --> 00:01:05.080]   it seems that certain tasks like Amy, which are competitive math problems, really respond
[00:01:05.080 --> 00:01:12.100]   to models when they're able to think step by step and do these long chain of thoughts.
[00:01:12.100 --> 00:01:17.800]   So let's go back to DeepSeq R1. Now, DeepSeq R1 was really impressive for a lot of people
[00:01:17.800 --> 00:01:23.480]   for a lot of reasons, and RL was a big part of that. But I was also particularly interested
[00:01:23.480 --> 00:01:29.980]   because DeepSeq R1, at the end of the day, is an SFT model. So the final weights that they've
[00:01:29.980 --> 00:01:39.340]   released are actually from DeepSeq v3 base, which is fine-tuned on 800k SFT examples, 600k of which are
[00:01:39.340 --> 00:01:46.220]   reasoning. Of course, you can see here that RL was a big part of it, and RL was used heavily to create
[00:01:46.220 --> 00:01:52.860]   that model which generated this data. But at the end, it was SFT and a little bit of RL for alignment.
[00:01:52.860 --> 00:01:56.940]   So this was really interesting and surprising. And the other thing that was really interesting
[00:01:56.940 --> 00:02:02.700]   and surprising to us was these small reasoning models that DeepSeq released, which were incredibly
[00:02:02.700 --> 00:02:12.780]   strong. And this, for us, was a huge motivation to try to do this ourselves. And why is that interesting?
[00:02:12.780 --> 00:02:20.220]   Because if we go back to here, no additional detail was really given on these data sets here. So if you
[00:02:20.220 --> 00:02:25.420]   want to create strong reasoning models, we now sort of have a training recipe, but we don't have the
[00:02:25.420 --> 00:02:32.940]   data recipe. That's the missing link. Okay. I want to also include a slide here on why is it interesting
[00:02:32.940 --> 00:02:39.660]   to train your own reasoning models. So I'm partially taking this from Amir's talk yesterday on open source
[00:02:39.660 --> 00:02:45.260]   and enterprise, which I really liked. But there's these main points: performance, privacy, speeding cost,
[00:02:45.260 --> 00:02:52.700]   and then ownership and destiny. I think using reasoning is a great tool to solve a problem.
[00:02:52.700 --> 00:02:59.420]   And you shouldn't limit yourself in your toolbox if you're trying to solve a specific domain task.
[00:02:59.420 --> 00:03:05.900]   So as we talked about before, RL is a great tool in this toolbox to tackle reasoning tasks. But we're
[00:03:05.900 --> 00:03:11.180]   going to see here that SFT is, as Nathan put this morning, extremely easy and extremely effective.
[00:03:11.180 --> 00:03:18.380]   Okay, great. Now, the missing link. How do we actually solve for this reasoning data recipe?
[00:03:18.380 --> 00:03:23.260]   There's all these questions that we had when we started. How much data do you really need?
[00:03:23.260 --> 00:03:30.940]   What data curation steps are necessary? What are the optimal choices for each step in that data creation pipeline?
[00:03:31.820 --> 00:03:38.060]   And then, how do you even go about figuring all this out? And this is the meat of the Open Thoughts project.
[00:03:38.060 --> 00:03:44.220]   So today, we're excited to announce Open Thoughts 3, which is hot off the presses, just came out two hours
[00:03:44.220 --> 00:03:49.260]   ago, which is our latest and greatest version of our reasoning data sets. And...
[00:03:49.260 --> 00:03:52.060]   Thank you.
[00:03:52.060 --> 00:03:59.740]   Thank you. And now, this is the state-of-the-art reasoning data set recipe.
[00:03:59.740 --> 00:04:06.540]   So you can see here, these graphs are showing accuracy on three of these reasoning benchmarks.
[00:04:06.540 --> 00:04:12.140]   AIME, which is competitive math. LiveCodebench is competitive code. And GPQA Diamond, which is our
[00:04:12.140 --> 00:04:19.100]   science questions. On the y-axis, you see accuracy is going up. On the x-axis, you see the data
[00:04:19.100 --> 00:04:24.860]   scale is going up. So we heard before that scaling is difficult, particularly difficult with RL. The
[00:04:24.860 --> 00:04:31.500]   good news is for SFT, scaling is quite easier. You can see here, we compare to other Open Reasoning
[00:04:31.500 --> 00:04:36.940]   data sets. So Nematron Nano, NVIDIA released this great model, Nematron Nano. It's an AP model,
[00:04:36.940 --> 00:04:41.580]   and they also released the data set to train on it. So we compared directly by training on the same base
[00:04:41.580 --> 00:04:48.060]   model between our data set, which is our data set recipe, and the Nematron Nano data, which is the NVIDIA
[00:04:48.060 --> 00:04:53.420]   recipe. And you can see here, there's a significant gap. So we've shifted this scaling curve upwards.
[00:04:53.420 --> 00:05:01.420]   Great. So yeah, this is the state-of-the-art 7b open data reasoning model. You can see we've had,
[00:05:01.420 --> 00:05:06.140]   we have measured across the domains of interest of science, code, and math, and then a couple held up
[00:05:06.140 --> 00:05:06.700]   benchmarks.
[00:05:09.420 --> 00:05:14.700]   So our original goal was to reproduce, to find the missing link for the DeepSeq
[00:05:14.700 --> 00:05:20.860]   Distil models. And you can see here, we've crushed that goal. So we're significantly outperforming
[00:05:20.860 --> 00:05:28.460]   the DeepSeq R1 Quen 7b model, which we started off trying to reproduce. And then compared to the Nematron
[00:05:28.460 --> 00:05:34.140]   Nano model, which is trained on a different base model, we are also outperforming on some benchmarks,
[00:05:34.700 --> 00:05:39.500]   and similarly competitive on some others. So okay, let's actually talk about how we achieve this. This
[00:05:39.500 --> 00:05:47.180]   is the interesting part for you. So we go back to the scaling graph. You can see, once again, on the x
[00:05:47.180 --> 00:05:57.580]   axis, we're scaling dataset size. So this is a huge method to increase accuracy. And the thing here is
[00:05:57.580 --> 00:06:01.100]   it gets more and more expensive, exponentially more expensive as you keep going.
[00:06:01.100 --> 00:06:08.780]   And then vertically, you can see that we've shifted the scaling curve up. So this is what I was talking
[00:06:08.780 --> 00:06:13.900]   about before. This is the improving the dataset recipe. So given a fixed dataset recipe, you can always
[00:06:13.900 --> 00:06:18.700]   scale it larger and you can always have higher performance. But if you want to push your
[00:06:18.700 --> 00:06:24.140]   performance to the absolute maximum, the real question is, how do I create the best dataset? And
[00:06:24.140 --> 00:06:31.820]   therefore, what is the best recipe for the dataset? Okay, so enough teasing here. Let's go into the meat of
[00:06:31.820 --> 00:06:39.340]   it. So this is how we approach this problem. We broke down the dataset pipeline into sourcing questions,
[00:06:39.900 --> 00:06:45.020]   mixing different sources of questions, filtering those questions, filtering out the highest quality
[00:06:45.020 --> 00:06:51.180]   questions, generating answers with a teacher model. So that's distillation, and then filtering out bad
[00:06:51.180 --> 00:06:57.260]   answers. And lastly, at the end of this entire experimentation, we looked at what are the best
[00:06:57.260 --> 00:07:02.380]   teacher models? Which teacher model should we select? So through this entire pipeline, we've come down to
[00:07:02.380 --> 00:07:08.780]   this final dataset recipe. Now, this was a ton of work. This is a screenshot of our Hugging Face page. So you
[00:07:08.780 --> 00:07:16.380]   can see, created over 5,000 datasets and almost 3,000 models. For this project, it was only around 1,000
[00:07:16.380 --> 00:07:22.140]   experiments. But just to give you an idea of how rigorously we looked at the different decisions in each of
[00:07:22.140 --> 00:07:26.780]   these steps of the pipeline. And also, I think this is interesting because it peels back the curtain a little
[00:07:26.780 --> 00:07:33.500]   bit on maybe what the frontier labs are doing. Finding signal at the smallest scale possible,
