
[00:00:00.000 --> 00:00:07.280]   Hi, everyone.
[00:00:07.280 --> 00:00:09.280]   Welcome to CS224N.
[00:00:09.280 --> 00:00:12.880]   We're about two minutes in, so let's get started.
[00:00:12.880 --> 00:00:17.240]   So today, we've got what I think is quite an exciting lecture topic.
[00:00:17.240 --> 00:00:21.760]   We're going to talk about self-attention and transformers.
[00:00:21.760 --> 00:00:25.320]   So these are some ideas that are sort of the foundation
[00:00:25.320 --> 00:00:29.400]   of most of the modern advances in natural language processing.
[00:00:29.400 --> 00:00:34.640]   And actually, AI systems in a broad range of fields.
[00:00:34.640 --> 00:00:37.600]   So it's a very, very fun topic.
[00:00:37.600 --> 00:00:39.480]   Before we get into that--
[00:00:39.480 --> 00:00:49.240]   OK, before we get into that, we're going to have a couple of reminders.
[00:00:49.240 --> 00:00:51.120]   So there are brand new lecture notes.
[00:00:51.120 --> 00:00:51.620]   Woo!
[00:00:51.620 --> 00:00:53.560]   [CHEERING]
[00:00:53.560 --> 00:00:54.640]   Nice, thank you.
[00:00:54.640 --> 00:00:57.140]   Yeah.
[00:00:57.140 --> 00:00:59.280]   I'm very excited about them.
[00:00:59.280 --> 00:01:02.460]   They go into-- they pretty much follow along
[00:01:02.460 --> 00:01:07.700]   with what I'll be talking about today, but go into considerably more detail.
[00:01:07.700 --> 00:01:11.780]   Assignment four is due a week from today.
[00:01:11.780 --> 00:01:15.380]   Yeah, so the issues with Azure continue.
[00:01:15.380 --> 00:01:16.540]   Thankfully-- woo!
[00:01:16.540 --> 00:01:25.100]   Thankfully, our TAs especially has tested that this works on Colab,
[00:01:25.100 --> 00:01:29.040]   and the amount of training is such that a Colab session will
[00:01:29.040 --> 00:01:33.340]   allow you to train your machine translation system.
[00:01:33.340 --> 00:01:35.180]   So if you don't have a GPU, use Colab.
[00:01:35.180 --> 00:01:37.100]   We're continuing to work on getting access
[00:01:37.100 --> 00:01:41.900]   to more GPUs for assignment five in the final project.
[00:01:41.900 --> 00:01:44.660]   We'll continue to update you as we're able to.
[00:01:44.660 --> 00:01:49.100]   But the usual systems this year are no longer
[00:01:49.100 --> 00:01:52.140]   holding because companies are changing their minds about things.
[00:01:52.140 --> 00:01:57.540]   OK, so our final project proposal, you have a proposal
[00:01:57.540 --> 00:02:00.460]   of what you want to work on for your final project.
[00:02:00.460 --> 00:02:04.400]   We will give you feedback on whether we think it's a feasible idea
[00:02:04.400 --> 00:02:05.260]   or how to change it.
[00:02:05.260 --> 00:02:07.980]   So this is very important because we want you to work on something
[00:02:07.980 --> 00:02:11.160]   that we think has a good chance of success for the rest of the quarter.
[00:02:11.160 --> 00:02:12.460]   That's going to be out tonight.
